,init,fp2,t1,fp1,fp3
x0,0,0,0,1,0
x1,0,1,0,0,1
x2,0,1,1,0,1
x4,0,1,1,0,1
x7,0,0,1,0,0
x9,0,1,0,0,1
x10,0,1,1,1,1
x12,0,1,0,0,1
x14,0,1,0,0,1
x15,0,1,1,1,1
x22,0,1,0,1,1
x23,0,0,1,0,0
x24,0,0,0,1,0
x25,0,1,1,1,1
x30,0,0,0,0,0
x31,0,1,0,0,1
x35,0,1,0,1,1
x40,0,1,0,1,1
x44,0,1,1,0,1
x46,0,0,0,0,0
x49,0,0,0,0,0
x52,0,1,0,1,1
x54,0,1,0,0,1
x55,0,0,0,1,0
x57,0,1,0,0,1
x58,0,1,0,0,1
x59,0,0,1,0,0
x61,0,1,0,1,1
x62,0,0,0,0,0
x63,0,0,0,1,0
x64,0,1,0,0,1
x65,0,1,1,1,1
x66,0,1,0,1,1
x69,0,0,1,1,0
x71,0,0,0,1,0
x77,0,1,0,1,1
x79,0,1,0,0,1
x82,0,0,0,1,0
x85,0,1,1,1,1
x86,0,1,1,1,1
x89,0,0,1,0,0
x91,0,0,1,1,0
x92,0,1,1,1,1
x93,0,0,0,1,0
x95,0,1,0,1,1
x97,0,0,0,0,0
x98,0,0,0,0,0
x99,0,1,1,0,0
x100,0,0,0,1,0
x102,0,0,0,0,0
x105,0,0,0,0,0
x107,0,1,0,0,1
x108,0,1,0,0,1
x109,0,0,1,1,1
x110,0,0,0,1,0
x112,0,0,0,0,0
x114,0,1,0,0,0
x115,0,0,0,1,0
x117,0,1,1,1,1
x118,0,1,0,0,1
x119,0,1,0,1,1
x124,0,0,0,0,0
x128,0,1,1,1,1
x130,0,0,0,0,0
x132,0,0,0,0,0
x134,0,0,0,0,0
x137,0,0,0,1,0
x138,0,1,0,0,1
x139,0,1,1,1,1
x140,0,0,1,1,0
x143,0,0,0,0,0
x144,0,1,1,1,1
x147,0,0,1,0,0
x149,0,1,0,0,1
x150,0,1,0,1,1
x153,0,1,0,1,1
