,fp2,fp3,init,fp1,t1
x4,0,0,0,1,0
x5,0,0,1,1,1
x6,0,0,1,1,1
x12,0,0,1,1,0
x18,0,0,1,1,0
x21,0,0,0,1,0
x22,0,0,0,1,1
x25,0,0,1,1,1
x27,0,0,0,0,0
x28,0,0,0,0,0
x29,0,0,1,1,1
x31,0,0,0,1,1
x33,0,0,1,1,1
x34,0,0,1,1,0
x36,0,0,1,1,0
x38,0,0,1,0,1
x39,0,0,0,1,1
x40,0,0,1,1,0
x41,0,0,1,1,0
x44,0,0,0,1,0
x46,0,0,0,1,0
x50,0,0,0,1,1
x54,0,0,0,0,1
x55,0,0,0,0,0
x56,0,0,0,0,0
x58,0,0,0,0,0
x62,0,0,0,0,0
x64,0,0,0,0,0
x67,0,0,0,1,0
x68,0,0,1,1,1
x70,0,0,1,0,0
x72,0,0,1,0,1
x76,0,0,0,1,1
x78,0,0,1,0,1
x80,0,0,0,1,1
x81,0,0,1,0,1
x82,0,1,0,1,0
x84,0,0,1,0,0
x87,0,0,1,1,0
x88,0,0,1,1,1
x90,0,0,0,1,1
x93,0,0,1,1,1
x94,0,0,1,1,0
x95,0,0,0,1,1
x98,0,0,1,1,1
x99,0,0,1,1,1
x102,0,0,1,1,1
x104,0,0,0,1,0
x105,0,0,0,1,0
x106,0,0,1,1,1
x107,0,0,1,1,1
x110,0,0,0,0,0
x111,0,0,0,1,0
x114,0,0,0,0,0
x115,0,0,1,1,1
x120,0,0,0,0,0
x123,0,0,0,0,0
x124,0,0,0,0,0
x126,0,0,1,1,1
x127,0,0,0,0,1
x128,0,0,1,0,1
x129,0,0,1,0,1
x132,0,0,0,1,0
x134,0,0,1,1,0
x135,0,0,1,1,1
x136,0,0,0,1,0
x138,0,0,0,0,1
x144,0,0,1,1,1
x149,0,0,1,1,1
x150,0,0,0,1,1
x151,0,0,0,0,0
x155,0,0,1,0,1
x159,0,0,0,1,0
x161,0,0,1,1,1
x163,0,0,1,1,1
x166,0,0,0,1,0
x168,0,0,1,1,1
x171,0,0,1,0,1
x172,0,0,0,0,0
x173,0,0,0,0,0
x175,0,0,1,1,1
x184,0,0,1,1,0
x186,0,1,0,1,1
x189,0,0,0,1,0
x191,0,0,1,0,1
x192,0,0,0,1,0
x195,0,0,1,0,1
x196,0,0,1,1,1
x197,0,0,1,1,1
x209,0,0,0,1,0
x213,0,0,0,1,0
x215,0,0,0,0,0
x216,0,0,1,1,1
x217,0,0,0,0,1
x218,0,0,1,1,0
x219,0,0,0,0,0
x224,0,0,0,1,0
x225,0,0,0,1,1
x226,0,0,1,1,1
x228,0,0,0,1,1
x229,0,0,1,1,1
x230,0,0,1,1,1
x232,0,0,0,0,0
x236,0,0,1,1,1
x237,0,0,1,1,1
x238,0,0,0,1,1
x241,0,0,0,0,0
x244,0,0,0,1,0
x245,0,1,1,1,1
x247,0,0,1,1,1
x249,0,0,0,1,1
x251,0,0,0,1,0
x254,0,0,0,0,0
x257,0,0,1,0,1
x260,0,0,0,0,0
x265,0,0,1,1,0
x268,0,0,0,0,0
x269,0,0,1,1,1
x273,0,0,1,1,1
x278,0,0,1,0,1
x280,0,0,0,1,1
x281,0,0,0,1,0
x282,0,0,1,1,1
x283,0,0,0,1,1
x287,0,0,0,1,0
x288,0,0,0,0,0
x290,0,0,0,1,0
x296,0,0,0,0,0
x297,0,0,0,0,0
x299,0,0,0,0,0
x0,1,1,0,0,1
x1,1,1,1,0,1
x2,1,1,1,0,1
x3,1,1,0,1,1
x7,1,1,0,0,1
x8,1,1,1,1,1
x9,1,1,1,1,0
x10,1,1,0,1,0
x11,1,1,0,1,0
x13,1,1,0,0,1
x14,1,1,0,1,0
x15,1,1,0,0,0
x16,1,1,1,1,0
x17,1,1,1,1,1
x19,1,1,1,1,0
x20,1,1,1,1,0
x23,1,1,0,0,0
x24,1,1,1,0,1
x26,1,1,1,0,1
x30,1,1,0,0,0
x32,1,1,1,1,0
x35,1,1,0,0,1
x37,1,1,1,1,1
x42,1,1,0,0,0
x43,1,1,0,1,1
x45,1,1,0,0,0
x47,1,1,0,1,1
x48,1,1,0,0,1
x49,1,1,1,0,0
x51,1,1,0,0,0
x52,1,1,0,0,1
x53,1,1,1,1,1
x57,1,1,1,0,1
x59,1,1,1,1,0
x60,1,1,1,1,1
x61,1,1,0,0,0
x63,1,1,1,1,0
x65,1,1,1,0,0
x66,1,1,0,0,1
x69,1,1,1,0,1
x71,1,1,1,0,0
x73,1,1,0,0,0
x74,1,1,1,1,1
x75,1,1,1,0,0
x77,1,1,1,1,1
x79,1,1,1,1,1
x83,1,1,1,0,0
x85,1,1,1,0,1
x86,1,1,1,0,1
x89,1,1,0,0,0
x91,1,1,0,0,0
x92,1,1,0,0,0
x96,1,1,0,0,1
x97,1,1,1,1,1
x100,1,1,1,1,1
x101,1,1,1,0,0
x103,1,1,1,0,0
x108,1,1,1,0,0
x109,1,1,1,0,1
x112,1,1,0,0,0
x113,1,1,0,0,0
x116,1,1,0,0,1
x117,1,1,1,0,1
x118,1,0,0,0,0
x119,1,0,1,0,0
x121,1,1,0,0,0
x122,1,1,0,0,0
x125,1,1,1,0,0
x130,1,1,1,1,0
x131,1,1,1,1,1
x133,1,1,0,1,0
x137,1,1,1,0,1
x139,1,1,1,1,0
x140,1,1,0,0,1
x141,1,1,1,1,0
x142,1,1,0,0,0
x143,1,1,1,0,1
x145,1,1,1,0,1
x146,1,1,1,0,1
x147,1,1,1,1,1
x148,1,1,0,1,0
x152,1,1,1,0,1
x153,1,1,0,0,0
x154,1,1,1,0,1
x156,1,1,1,0,1
x157,1,1,1,0,0
x158,1,1,0,0,0
x160,1,1,1,0,1
x162,1,1,1,0,1
x164,1,1,0,1,1
x165,1,1,0,0,0
x167,1,1,1,1,1
x169,1,1,0,0,0
x170,1,1,1,0,0
