,fp1,fp3,t1,fp2,init
x1,0,0,1,1,1
x2,0,0,0,1,0
x4,0,0,0,1,0
x5,0,0,1,1,1
x7,0,0,1,1,0
x13,0,0,1,0,0
x14,0,1,0,1,0
x18,0,0,0,0,0
x19,0,0,0,0,0
x20,0,0,1,1,0
x22,0,0,1,1,0
x23,0,0,1,0,1
x24,0,0,0,1,1
x27,0,0,0,0,0
x28,0,0,0,1,1
x29,0,0,1,0,0
x36,0,1,1,0,1
x38,0,0,1,1,0
x44,0,0,0,1,1
x46,0,0,0,1,1
x49,0,0,0,0,0
x60,0,1,0,1,0
x63,0,1,0,1,1
x65,0,0,1,1,1
x69,0,0,1,1,0
x70,0,0,1,0,0
x71,0,0,0,1,0
x73,0,0,1,0,1
x77,0,0,0,0,1
x78,0,0,1,0,0
x80,0,0,1,1,1
x83,0,1,0,1,0
x84,0,0,0,0,1
x85,0,0,0,1,0
x87,0,0,0,0,0
x90,0,0,1,0,1
x91,0,0,1,0,1
x92,0,0,1,0,1
x94,0,0,0,0,0
x96,0,0,1,1,0
x100,0,0,0,1,0
x102,0,0,0,1,0
x106,0,0,1,1,1
x109,0,0,0,1,0
x112,0,1,1,1,0
x114,0,0,1,1,0
x115,0,0,0,0,0
x117,0,0,0,1,0
x119,0,0,0,0,0
x120,0,0,1,1,1
x121,0,0,0,1,0
x126,0,0,1,1,0
x129,0,0,1,0,0
x130,0,0,1,1,1
x131,0,0,0,1,0
x133,0,0,0,1,0
x134,0,0,0,1,0
x136,0,1,0,1,0
x137,0,0,0,0,0
x138,0,0,0,1,0
x140,0,0,0,1,0
x143,0,1,1,0,1
x144,0,0,0,0,0
x145,0,0,0,1,0
x146,0,0,1,0,1
x147,0,0,0,0,0
x149,0,0,0,1,0
x155,0,1,1,0,1
x159,0,0,1,1,0
x160,0,0,1,0,1
x161,0,0,1,1,1
x163,0,0,1,0,1
x164,0,1,1,1,1
x168,0,1,1,1,1
x169,0,0,0,0,0
x170,0,0,1,0,1
x171,0,0,1,1,0
x174,0,0,1,0,0
x175,0,0,0,1,0
x177,0,0,0,1,0
x178,0,0,1,0,0
x179,0,0,1,1,1
x180,0,0,0,1,1
x182,0,0,1,0,1
x183,0,0,0,0,1
x185,0,1,0,1,1
x186,0,0,0,0,0
x188,0,0,0,0,0
x193,0,0,1,1,0
x194,0,0,1,0,1
x196,0,0,0,1,0
x197,0,1,0,1,0
x198,0,0,1,0,1
x200,0,0,0,0,0
x202,0,1,0,1,1
x203,0,0,0,0,0
x205,0,0,1,1,0
x206,0,0,0,1,1
x207,0,0,0,1,1
x209,0,0,1,1,1
x210,0,1,0,1,1
x211,0,1,1,1,1
x213,0,0,0,1,0
x214,0,0,1,0,1
x216,0,0,1,0,1
x220,0,0,0,1,1
x224,0,0,1,1,0
x225,0,0,1,1,1
x226,0,1,0,1,1
x231,0,0,1,0,0
x232,0,0,0,1,0
x234,0,0,0,1,0
x236,0,0,1,1,0
x238,0,0,0,0,0
x239,0,0,1,0,0
x240,0,0,1,0,1
x241,0,0,1,0,1
x243,0,0,0,1,1
x246,0,0,0,1,1
x247,0,0,1,0,1
x248,0,0,1,1,1
x249,0,0,0,0,0
x251,0,0,1,0,0
x253,0,0,0,0,0
x254,0,1,1,1,1
x257,0,0,0,0,0
x259,0,0,0,1,1
x260,0,0,0,1,0
x262,0,0,1,0,1
x263,0,0,1,1,0
x266,0,0,1,0,0
x267,0,0,1,0,1
x268,0,1,0,1,0
x270,0,0,1,1,0
x271,0,0,0,0,0
x274,0,0,0,0,1
x276,0,0,1,1,1
x279,0,1,1,1,1
x284,0,0,0,0,0
x286,0,0,0,1,0
x287,0,1,1,0,1
x291,0,0,1,1,1
x297,0,0,1,1,1
x299,0,0,0,1,0
x0,1,1,1,0,0
x3,1,1,1,1,1
x6,1,1,0,0,0
x8,1,1,1,1,1
x9,1,1,1,0,0
x10,1,0,0,0,0
x11,1,1,0,0,1
x12,1,1,0,0,1
x15,1,1,1,0,1
x16,1,1,1,1,0
x17,1,1,0,1,0
x21,1,1,1,0,0
x25,1,1,0,0,0
x26,1,0,0,0,1
x30,1,0,0,0,0
x31,1,1,1,1,0
x32,1,1,1,1,0
x33,1,0,0,0,1
x34,1,1,1,1,1
x35,1,1,0,0,0
x37,1,1,1,1,0
x39,1,1,1,0,1
x40,1,1,0,1,1
x41,1,1,0,0,0
x42,1,1,0,0,0
x43,1,1,1,0,1
x45,1,0,1,0,0
x47,1,1,0,0,1
x48,1,1,0,0,1
x50,1,0,0,1,0
x51,1,1,0,0,1
x52,1,1,0,1,1
x53,1,1,1,0,1
x54,1,1,0,0,0
x55,1,0,0,0,0
x56,1,1,0,0,1
x57,1,1,1,0,0
x58,1,0,1,0,0
x59,1,1,1,0,0
x61,1,1,1,0,0
x62,1,0,1,0,0
x64,1,0,1,0,1
x66,1,1,0,1,0
x67,1,1,0,1,0
x68,1,1,0,0,0
x72,1,1,1,1,1
x74,1,1,1,0,0
x75,1,1,1,0,1
x76,1,0,0,0,1
x79,1,1,0,0,0
x81,1,0,1,0,0
x82,1,1,1,1,0
x86,1,1,1,0,1
x88,1,1,0,0,0
x89,1,0,0,0,0
x93,1,1,1,0,1
x95,1,1,1,0,1
x97,1,1,1,0,0
x98,1,1,0,0,1
x99,1,1,1,0,1
x101,1,1,0,0,0
x103,1,1,0,1,0
x104,1,1,0,0,0
x105,1,1,1,1,1
x107,1,1,1,0,0
x108,1,0,1,0,0
x110,1,1,1,1,0
x111,1,1,1,0,1
x113,1,1,0,0,0
x116,1,1,0,1,0
x118,1,0,0,0,0
x122,1,1,1,0,1
x123,1,0,0,0,0
x124,1,1,1,1,1
x125,1,1,1,0,1
x127,1,1,1,0,0
x128,1,1,1,0,1
x132,1,1,1,0,0
x135,1,1,0,1,0
x139,1,1,1,1,0
x141,1,0,1,0,1
x142,1,1,0,0,1
x148,1,1,1,1,1
x150,1,1,1,0,1
x151,1,1,0,0,1
x152,1,1,1,1,0
x153,1,0,1,0,1
x154,1,1,1,1,1
x156,1,1,1,0,1
x157,1,1,1,0,1
x158,1,0,1,0,1
x162,1,1,1,1,0
x165,1,1,1,1,0
x166,1,1,0,0,0
x167,1,1,0,0,0
x172,1,1,0,0,0
x173,1,1,1,0,0
x176,1,1,1,0,1
x181,1,1,1,0,1
x184,1,1,1,1,1
x187,1,1,1,0,0
x189,1,1,0,1,0
x190,1,1,1,1,1
x191,1,1,0,0,1
x192,1,1,1,0,1
x195,1,0,0,0,1
x199,1,1,0,0,1
x201,1,1,0,0,0
x204,1,1,0,0,0
x208,1,1,0,1,0
x212,1,1,0,0,1
x215,1,1,0,0,0
x217,1,1,1,0,0
x218,1,1,1,1,1
x219,1,1,0,1,1
x221,1,0,0,0,0
x222,1,1,0,0,0
x223,1,1,0,0,1
x227,1,1,0,0,1
x228,1,1,0,1,0
x229,1,1,1,1,1
x230,1,1,0,1,1
x233,1,0,1,0,0
x235,1,1,1,0,1
x237,1,1,0,0,0
x242,1,1,0,0,1
x244,1,1,1,0,0
x245,1,0,0,0,0
x250,1,1,1,0,1
x252,1,1,1,0,0
x255,1,0,1,0,0
x256,1,1,0,0,0
x258,1,1,0,0,0
x261,1,1,0,0,1
x264,1,1,0,1,1
x265,1,0,1,0,1
x269,1,1,0,1,0
x272,1,1,0,0,0
x273,1,1,1,0,1
x275,1,1,0,0,0
x277,1,1,0,0,0
x278,1,0,0,0,0
x280,1,1,1,0,0
x281,1,1,0,0,0
x282,1,1,0,0,0
x283,1,1,1,0,1
x285,1,1,1,1,1
x288,1,1,1,0,1
x289,1,1,0,0,1
x290,1,0,0,0,0
x292,1,1,1,0,1
x293,1,0,0,0,0
x294,1,1,1,0,1
x295,1,0,1,0,0
x296,1,1,1,0,1
x298,1,1,1,1,1
