,t1,fp1,init,fp2,fp3
x3,0,1,1,0,0
x4,0,1,0,0,0
x6,0,1,1,0,0
x7,0,0,0,1,0
x8,0,0,0,1,1
x10,0,1,0,0,0
x11,0,0,1,1,1
x13,0,0,0,1,1
x17,0,0,0,1,1
x19,0,0,0,0,0
x20,0,0,1,1,0
x23,0,0,1,1,1
x24,0,0,1,0,0
x25,0,1,1,1,1
x26,0,0,1,1,1
x30,0,0,0,0,0
x37,0,0,1,0,1
x38,0,1,0,1,1
x39,0,0,0,0,0
x44,0,1,0,0,0
x48,0,0,0,0,0
x49,0,1,1,0,0
x53,0,0,0,1,1
x54,0,0,1,0,0
x55,0,0,0,1,1
x68,0,0,1,0,0
x69,0,0,0,0,0
x70,0,1,0,1,1
x74,0,0,0,1,1
x77,0,0,0,0,0
x78,0,0,0,0,0
x80,0,0,1,1,1
x81,0,0,0,1,1
x82,0,0,0,0,0
x84,0,0,0,0,0
x86,0,0,1,1,1
x88,0,0,0,1,1
x91,0,1,1,0,0
x92,0,0,0,1,1
x93,0,0,0,1,1
x94,0,1,0,1,1
x95,0,0,0,0,1
x96,0,0,0,0,1
x97,0,0,0,1,1
x98,0,0,0,1,1
x99,0,1,0,0,0
x102,0,0,0,1,1
x103,0,1,1,0,0
x104,0,1,0,0,0
x105,0,0,1,0,0
x109,0,1,0,1,1
x110,0,1,0,0,0
x117,0,1,0,0,1
x118,0,1,1,1,1
x119,0,0,0,1,1
x120,0,0,0,1,1
x125,0,0,0,1,1
x128,0,1,0,1,0
x129,0,1,1,1,1
x131,0,0,0,1,1
x133,0,1,1,0,0
x134,0,0,0,1,1
x136,0,0,0,1,1
x137,0,0,0,0,0
x138,0,0,1,1,1
x142,0,1,0,0,0
x143,0,1,1,0,0
x146,0,0,0,1,1
x147,0,0,0,0,0
x150,0,0,0,1,0
x151,0,0,0,0,0
x159,0,0,0,0,0
x160,0,0,1,1,1
x162,0,0,0,1,1
x163,0,1,0,0,0
x167,0,0,0,0,0
x169,0,0,0,0,0
x170,0,0,1,1,1
x171,0,0,0,1,1
x173,0,0,0,1,1
x174,0,0,1,1,1
x177,0,0,0,1,1
x179,0,1,0,0,0
x181,0,0,0,1,1
x182,0,1,0,0,0
x183,0,1,0,0,0
x184,0,1,1,1,1
x185,0,0,1,0,0
x187,0,0,0,0,0
x190,0,1,1,1,1
x192,0,0,0,0,0
x193,0,0,0,1,1
x194,0,0,1,1,1
x195,0,1,1,0,0
x199,0,0,0,0,0
x200,0,0,0,0,0
x201,0,0,1,1,1
x203,0,1,0,0,0
x204,0,0,1,1,1
x205,0,0,0,1,1
x207,0,1,0,1,1
x208,0,0,1,1,1
x209,0,0,0,0,0
x211,0,1,0,0,0
x213,0,1,0,0,0
x215,0,0,0,1,1
x216,0,0,0,1,1
x217,0,0,0,0,0
x218,0,0,1,1,1
x219,0,0,1,1,1
x221,0,0,1,0,0
x223,0,0,0,0,0
x224,0,0,0,0,0
x225,0,0,0,0,0
x227,0,1,0,0,0
x228,0,0,0,0,0
x229,0,0,1,0,0
x239,0,0,0,1,1
x240,0,1,1,1,1
x246,0,0,1,0,0
x249,0,1,1,0,0
x250,0,1,1,1,1
x251,0,0,1,1,1
x252,0,0,1,1,1
x253,0,0,1,1,1
x255,0,1,1,1,1
x259,0,0,0,0,0
x260,0,1,0,0,0
x261,0,0,1,0,0
x262,0,0,1,0,0
x263,0,0,1,1,1
x264,0,0,1,0,0
x266,0,0,0,0,0
x269,0,0,0,0,0
x271,0,1,1,1,1
x274,0,0,0,0,0
x275,0,0,0,0,0
x277,0,1,1,1,0
x280,0,1,0,0,0
x281,0,0,0,1,1
x282,0,0,0,1,1
x283,0,0,0,0,0
x284,0,0,1,1,1
x286,0,0,0,1,1
x288,0,0,0,0,1
x289,0,0,0,1,1
x290,0,0,0,0,0
x295,0,1,1,1,1
x297,0,1,1,1,1
x299,0,1,0,1,1
x0,1,1,1,1,0
x1,1,1,1,1,1
x2,1,0,1,1,1
x5,1,1,1,1,1
x9,1,0,1,1,1
x12,1,1,1,0,0
x14,1,0,0,0,0
x15,1,1,1,1,1
x16,1,0,1,0,0
x18,1,0,0,0,0
x21,1,0,0,0,0
x22,1,0,0,0,0
x27,1,0,1,0,0
x28,1,1,1,1,1
x29,1,0,0,0,0
x31,1,0,1,1,1
x32,1,0,1,0,1
x33,1,1,1,1,1
x34,1,1,1,0,0
x35,1,0,1,1,1
x36,1,1,1,0,0
x40,1,0,1,1,1
x41,1,1,0,1,1
x42,1,1,1,1,1
x43,1,1,1,1,1
x45,1,0,0,1,1
x46,1,0,1,0,0
x47,1,0,0,0,0
x50,1,1,0,0,0
x51,1,1,0,1,1
x52,1,0,0,1,1
x56,1,0,1,0,0
x57,1,1,1,1,1
x58,1,1,1,0,0
x59,1,0,0,0,0
x60,1,1,1,0,0
x61,1,0,0,1,1
x62,1,1,1,1,1
x63,1,0,0,1,1
x64,1,1,0,0,0
x65,1,1,1,0,0
x66,1,1,0,1,1
x67,1,0,1,0,0
x71,1,1,1,1,1
x72,1,1,1,0,0
x73,1,1,1,0,0
x75,1,0,0,1,1
x76,1,1,0,1,1
x79,1,1,1,0,0
x83,1,0,1,1,1
x85,1,1,1,1,0
x87,1,1,1,1,1
x89,1,1,1,1,1
x90,1,1,0,0,0
x100,1,0,1,0,0
x101,1,1,1,1,1
x106,1,0,1,1,1
x107,1,0,1,0,0
x108,1,0,1,0,0
x111,1,0,0,1,1
x112,1,1,1,1,1
x113,1,1,1,1,1
x114,1,1,1,1,1
x115,1,0,1,1,1
x116,1,0,1,0,0
x121,1,0,0,0,1
x122,1,1,1,0,0
x123,1,1,0,0,1
x124,1,1,1,0,0
x126,1,1,0,1,1
x127,1,0,1,1,1
x130,1,1,1,1,1
x132,1,1,0,1,1
x135,1,1,1,0,0
x139,1,1,1,1,1
x140,1,1,1,1,1
x141,1,1,1,0,0
x144,1,1,1,0,0
x145,1,0,1,0,0
x148,1,0,1,1,1
x149,1,1,0,0,0
x152,1,1,1,0,0
x153,1,0,0,1,1
x154,1,0,1,1,1
x155,1,1,1,1,1
x156,1,0,0,1,1
x157,1,0,0,0,0
x158,1,1,0,1,1
x161,1,1,1,0,0
x164,1,0,1,0,0
x165,1,1,1,0,0
x166,1,1,1,1,1
x168,1,1,0,0,0
x172,1,1,1,1,1
x175,1,1,1,0,0
x176,1,0,1,1,1
x178,1,0,0,1,1
x180,1,0,1,1,1
x186,1,1,1,1,1
x188,1,1,1,1,1
x189,1,0,1,1,1
x191,1,1,1,1,1
x196,1,0,1,0,0
x197,1,0,1,1,1
x198,1,1,1,0,0
x202,1,1,1,1,1
x206,1,0,1,0,0
x210,1,1,1,0,0
x212,1,1,0,0,0
x214,1,0,0,0,0
x220,1,1,1,0,0
x222,1,1,1,1,1
x226,1,0,0,0,1
x230,1,0,0,1,1
x231,1,0,1,0,0
x232,1,1,0,1,1
x233,1,1,0,0,0
x234,1,0,1,1,1
x235,1,0,1,0,0
x236,1,0,1,0,0
x237,1,1,1,0,0
x238,1,0,1,1,1
x241,1,1,0,0,0
x242,1,0,1,0,1
x243,1,1,0,1,0
x244,1,0,0,0,0
x245,1,0,0,1,1
x247,1,1,0,1,1
x248,1,0,1,1,1
x254,1,1,1,1,1
x256,1,1,1,1,1
x257,1,1,1,1,1
x258,1,1,1,0,0
x265,1,0,0,0,0
x267,1,1,1,0,0
x268,1,1,0,1,1
x270,1,0,1,1,1
x272,1,1,1,1,1
x273,1,1,1,1,1
x276,1,0,1,1,1
x278,1,1,1,1,1
x279,1,1,0,0,0
x285,1,0,0,0,0
x287,1,1,1,1,1
x291,1,1,1,1,1
x292,1,0,1,1,1
x293,1,1,1,1,1
x294,1,1,1,1,1
x296,1,1,1,0,0
x298,1,1,1,0,1
