,fp1,t1,fp3,init,fp2
x0,0,1,1,0,1
x1,0,0,0,1,0
x2,0,0,0,0,0
x4,0,1,1,0,1
x5,0,0,0,1,0
x6,0,0,0,0,0
x9,0,0,1,1,1
x10,0,0,0,0,0
x14,0,1,1,1,1
x16,0,1,0,0,0
x17,0,1,1,0,1
x18,0,1,1,1,1
x20,0,0,1,0,1
x24,0,0,0,1,0
x25,0,1,0,0,0
x29,0,0,0,1,0
x32,0,1,1,1,1
x33,0,1,1,1,1
x34,0,0,0,0,0
x35,0,0,1,1,1
x36,0,1,1,1,1
x39,0,0,1,0,1
x42,0,1,1,1,1
x46,0,0,0,0,0
x48,0,1,0,1,0
x50,0,0,0,0,0
x55,0,0,0,1,0
x56,0,0,1,1,1
x58,0,0,0,0,0
x59,0,0,1,1,1
x63,0,0,0,0,0
x64,0,1,0,1,0
x66,0,1,0,1,0
x75,0,1,1,1,1
x76,0,0,1,0,1
x81,0,0,1,1,1
x84,0,1,0,1,0
x85,0,0,0,0,0
x93,0,1,1,0,1
x95,0,1,1,1,1
x96,0,0,1,0,1
x97,0,0,1,0,1
x98,0,1,0,0,0
x99,0,1,0,0,0
x101,0,0,1,0,1
x104,0,1,0,1,0
x111,0,1,1,1,1
x115,0,1,0,1,0
x119,0,1,0,1,0
x122,0,1,0,1,0
x131,0,1,0,1,0
x132,0,1,0,1,0
x134,0,0,1,1,1
x136,0,1,1,1,1
x138,0,1,1,1,1
x139,0,0,0,0,0
x141,0,1,0,1,1
x142,0,1,0,1,0
x143,0,0,0,0,0
x144,0,0,0,1,0
x146,0,0,0,0,0
x149,0,1,0,0,0
x150,0,0,1,0,1
x152,0,0,0,0,0
x153,0,1,0,1,0
x155,0,0,0,0,0
x156,0,0,1,1,1
x157,0,1,1,0,1
x158,0,1,0,1,0
x161,0,0,1,1,1
x163,0,1,0,0,0
x164,0,1,0,0,0
x165,0,0,0,1,0
x166,0,0,1,0,1
x168,0,0,1,0,1
x173,0,1,1,1,1
x175,0,0,1,1,1
x179,0,0,1,0,1
x180,0,1,0,1,0
x181,0,1,1,0,1
x185,0,0,1,0,1
x186,0,0,0,0,0
x190,0,1,0,0,0
x191,0,1,0,1,0
x192,0,0,0,1,0
x193,0,1,1,1,1
x194,0,0,0,0,0
x195,0,1,1,1,1
x197,0,1,0,1,0
x199,0,0,1,0,1
x202,0,0,0,0,0
x204,0,1,1,0,1
x207,0,1,0,1,0
x214,0,0,1,0,1
x217,0,0,0,0,0
