,fp3,t1,fp1,fp2,init
x0,0,0,1,0,0
x5,0,0,0,0,0
x7,0,1,0,0,0
x8,0,0,0,0,0
x9,0,0,0,0,0
x10,0,1,0,0,0
x12,0,1,0,0,0
x13,0,1,1,0,1
x15,0,1,1,0,1
x16,0,1,1,0,0
x17,0,0,0,0,1
x18,0,1,1,0,0
x21,0,0,0,0,0
x22,0,1,0,1,1
x24,0,1,0,0,1
x26,0,0,1,0,0
x28,0,1,1,0,0
x29,0,0,0,0,1
x30,0,1,0,0,1
x31,0,1,0,0,1
x33,0,1,0,0,1
x35,0,1,1,0,0
x36,0,0,1,0,0
x37,0,1,0,0,0
x38,0,0,1,0,0
x39,0,1,0,0,1
x40,0,1,1,0,1
x43,0,0,0,0,1
x45,0,1,1,0,1
x46,0,0,0,0,0
x48,0,0,0,0,1
x50,0,0,1,0,0
x58,0,0,0,0,0
x59,0,1,1,0,1
x60,0,0,0,0,0
x62,0,0,0,0,0
x64,0,0,1,0,0
x66,0,1,0,0,1
x67,0,0,0,0,0
x68,0,1,0,0,1
x70,0,1,1,0,1
x73,0,1,1,0,1
x77,0,1,0,0,1
x80,0,0,0,0,0
x81,0,0,0,0,0
x82,0,1,1,0,1
x83,0,1,0,0,1
x85,0,0,1,0,0
x86,0,1,0,0,0
x87,0,1,1,0,0
x89,0,1,0,0,1
x90,0,1,1,0,1
x91,0,0,1,0,1
x92,0,0,1,0,0
x93,0,0,0,0,0
x96,0,0,0,0,0
x97,0,1,0,0,1
x99,0,1,0,0,1
x103,0,0,1,0,1
x104,0,0,0,0,0
x105,0,1,0,0,1
x111,0,1,1,0,0
x114,0,1,1,0,1
x116,0,1,1,0,1
x117,0,0,0,0,1
x118,0,1,0,0,1
x119,0,1,0,0,1
x120,0,1,1,0,1
x122,0,0,1,0,1
x125,0,0,0,0,1
x127,0,0,0,0,0
x131,0,1,0,0,1
x133,0,1,1,0,1
x134,0,1,0,0,1
x136,0,1,0,0,0
x140,0,0,0,0,0
x141,0,1,0,0,1
x143,0,1,0,0,1
x144,0,1,1,0,1
x145,0,1,0,0,1
x147,0,0,1,0,0
x148,0,1,1,0,0
x149,0,0,0,0,0
x157,0,0,0,0,0
x158,0,1,1,0,0
x159,0,0,0,0,0
x161,0,0,0,0,0
x162,0,1,1,0,1
x164,0,0,0,0,0
x165,0,1,0,0,1
x169,0,0,0,0,0
x170,0,1,0,0,0
x173,0,0,0,0,0
x174,0,0,0,1,0
x175,0,1,0,0,1
x176,0,0,0,0,0
x181,0,1,0,1,1
x182,0,0,1,0,0
x183,0,0,0,0,0
x184,0,0,1,0,0
x185,0,1,1,0,0
x186,0,1,1,0,1
x190,0,1,0,0,0
x191,0,0,1,0,0
x193,0,1,1,0,0
x194,0,1,1,0,1
x196,0,1,0,0,1
x197,0,0,1,0,0
x199,0,0,1,0,1
x200,0,1,0,0,1
x202,0,1,1,0,1
x203,0,0,1,0,1
x204,0,1,0,0,1
x208,0,1,1,0,0
x209,0,0,0,0,0
x210,0,1,1,0,1
x213,0,1,0,0,1
x214,0,1,0,0,1
x215,0,0,0,0,0
x221,0,0,0,0,0
x224,0,0,0,0,1
x228,0,1,0,0,1
x230,0,0,0,0,0
x232,0,1,0,0,1
x233,0,0,0,0,0
x234,0,0,0,0,0
x235,0,1,0,0,0
x236,0,1,0,0,1
x237,0,1,0,0,0
x238,0,1,1,0,0
x239,0,0,0,0,0
x240,0,0,0,0,1
x241,0,0,0,0,0
x242,0,1,0,0,1
x243,0,1,0,0,0
x248,0,0,1,0,1
x249,0,1,0,0,1
x250,0,1,0,0,0
x252,0,1,1,0,0
x253,0,0,0,0,0
x254,0,0,0,0,0
x256,0,1,1,0,1
x261,0,1,1,0,1
x262,0,1,0,0,1
x266,0,1,1,0,0
x269,0,1,1,0,0
x271,0,1,1,0,0
x273,0,0,1,0,1
x274,0,1,1,0,1
x276,0,0,0,0,1
x279,0,1,1,0,0
x280,0,0,0,0,0
x281,0,1,1,0,1
x283,0,0,1,0,0
x287,0,1,1,0,1
x288,0,0,0,0,0
x291,0,0,0,0,0
x292,0,0,0,0,0
x293,0,1,0,0,1
x296,0,0,0,0,0
x297,0,1,0,0,0
x1,1,0,1,1,0
x2,1,1,0,1,0
x3,1,0,1,1,0
x4,1,0,0,1,1
x6,1,0,0,1,1
x11,1,0,1,1,0
x14,1,1,1,1,1
x19,1,1,1,1,0
x20,1,0,1,1,0
x23,1,0,0,1,0
x25,1,0,0,1,1
x27,1,1,1,1,1
x32,1,1,1,0,1
x34,1,0,1,1,1
x41,1,1,1,1,0
x42,1,1,0,1,1
x44,1,0,1,1,0
x47,1,0,0,1,1
x49,1,1,0,1,0
x51,1,0,1,1,0
x52,1,0,1,1,0
x53,1,1,1,1,1
x54,1,1,1,1,1
x55,1,0,1,1,1
x56,1,0,1,1,0
x57,1,0,0,1,0
x61,1,1,0,1,1
x63,1,0,0,1,0
x65,1,1,1,1,0
x69,1,1,1,1,0
x71,1,1,1,1,0
x72,1,1,1,1,1
x74,1,0,1,1,1
x75,1,1,0,1,1
x76,1,1,0,1,1
x78,1,0,0,1,1
x79,1,1,1,1,1
x84,1,1,1,1,1
x88,1,0,0,1,0
x94,1,0,1,1,0
x95,1,0,0,1,1
x98,1,1,1,1,1
x100,1,0,1,1,1
x101,1,1,1,1,1
x102,1,0,1,1,0
x106,1,1,1,1,0
x107,1,1,1,1,1
x108,1,1,0,1,1
x109,1,0,0,1,0
x110,1,1,0,1,1
x112,1,1,0,1,1
x113,1,0,0,1,1
x115,1,1,0,1,0
x121,1,0,0,1,1
x123,1,0,1,1,0
x124,1,1,0,1,1
x126,1,0,1,1,0
x128,1,1,0,1,0
x129,1,0,0,1,0
x130,1,0,1,1,0
x132,1,0,0,1,0
x135,1,1,0,1,1
x137,1,0,0,1,1
x138,1,0,0,1,1
x139,1,1,1,1,1
x142,1,0,1,1,0
x146,1,1,1,1,0
x150,1,1,1,1,1
x151,1,1,0,1,1
x152,1,0,0,1,0
x153,1,0,1,1,1
x154,1,0,0,1,1
x155,1,1,1,1,1
x156,1,0,0,1,1
x160,1,0,1,1,0
x163,1,0,1,1,0
x166,1,1,1,1,1
x167,1,1,1,1,1
x168,1,1,0,1,1
x171,1,0,0,1,1
x172,1,1,1,1,1
x177,1,1,0,1,1
x178,1,0,0,1,0
x179,1,0,0,1,1
x180,1,1,0,1,0
x187,1,0,0,1,1
x188,1,1,0,1,0
x189,1,0,1,1,1
x192,1,1,0,1,0
x195,1,0,0,1,0
x198,1,0,1,1,0
x201,1,1,0,1,1
x205,1,0,1,1,1
x206,1,1,0,1,1
x207,1,1,0,1,1
x211,1,0,1,1,1
x212,1,1,1,1,1
x216,1,1,0,1,1
x217,1,1,1,1,1
x218,1,0,0,1,1
x219,1,0,0,1,0
x220,1,1,0,1,1
x222,1,1,1,1,1
x223,1,1,1,1,1
x225,1,1,1,1,1
x226,1,1,0,1,1
x227,1,1,1,1,0
x229,1,1,0,1,1
x231,1,1,1,1,1
x244,1,1,0,1,1
x245,1,0,0,1,0
x246,1,1,1,1,0
x247,1,1,1,1,1
x251,1,1,1,1,1
x255,1,0,0,1,1
x257,1,0,0,1,1
x258,1,1,1,1,1
x259,1,0,0,1,0
x260,1,0,0,1,0
x263,1,1,0,1,0
x264,1,0,1,1,1
x265,1,1,1,1,1
x267,1,0,1,1,1
x268,1,0,0,1,0
x270,1,0,0,1,1
x272,1,0,1,1,0
x275,1,1,0,1,0
x277,1,0,0,1,0
x278,1,1,1,1,1
x282,1,0,0,1,0
x284,1,1,1,1,0
x285,1,1,1,1,1
x286,1,0,0,1,0
x289,1,0,0,1,0
x290,1,1,0,1,1
x294,1,1,1,1,1
x295,1,0,0,1,1
x298,1,0,1,1,1
x299,1,0,0,1,0
