,t1,init,fp1,fp2,fp3
x0,0,0,1,0,1
x4,0,0,0,0,0
x5,0,0,0,0,0
x6,0,0,1,0,1
x8,0,0,0,0,0
x11,0,0,1,0,0
x13,0,0,0,0,0
x17,0,0,1,0,1
x19,0,1,1,0,1
x20,0,0,1,1,1
x22,0,1,0,1,1
x24,0,0,0,0,0
x26,0,1,0,0,0
x27,0,0,1,1,1
x28,0,1,1,0,1
x31,0,1,0,0,0
x32,0,0,0,0,0
x38,0,0,1,1,1
x39,0,0,0,0,0
x40,0,0,0,1,1
x45,0,0,0,1,1
x49,0,0,1,0,1
x53,0,1,0,0,0
x56,0,0,1,1,1
x57,0,0,1,0,1
x59,0,0,1,0,1
x61,0,0,0,0,0
x63,0,0,0,0,0
x65,0,1,0,0,0
x66,0,0,1,0,1
x67,0,0,1,0,1
x69,0,0,1,1,1
x70,0,0,0,1,0
x72,0,1,0,1,0
x75,0,1,1,0,1
x77,0,1,0,1,0
x80,0,0,1,1,1
x82,0,0,0,1,1
x85,0,1,0,0,0
x86,0,1,1,0,1
x87,0,0,1,1,1
x89,0,0,0,0,0
x90,0,1,0,1,0
x93,0,1,1,0,1
x95,0,0,0,0,0
x97,0,0,0,0,0
x99,0,0,0,1,0
x100,0,0,0,1,0
x103,0,1,0,0,0
x108,0,0,0,0,0
x109,0,0,0,1,0
x112,0,0,1,1,1
x113,0,0,0,0,0
x114,0,0,1,1,1
x116,0,0,0,1,1
x119,0,1,1,1,1
x120,0,1,1,1,1
x121,0,1,1,0,1
x122,0,1,1,0,1
x123,0,1,0,0,0
x125,0,0,0,1,0
x126,0,0,1,0,1
x127,0,0,1,1,1
x128,0,0,0,0,0
x130,0,0,1,0,1
x131,0,0,1,1,1
x132,0,0,1,0,1
x135,0,0,0,0,0
x136,0,0,0,1,1
x137,0,1,1,0,1
x142,0,1,0,0,0
x145,0,1,0,1,0
x147,0,0,0,1,0
x149,0,1,1,1,1
x151,0,0,1,1,1
x155,0,0,0,0,0
x157,0,1,1,1,1
x159,0,1,0,1,1
x161,0,0,1,0,1
x164,0,1,0,1,0
x166,0,0,1,0,1
x171,0,1,0,0,0
x172,0,0,0,0,0
x179,0,1,1,0,1
x180,0,0,0,0,0
x181,0,0,1,1,1
x182,0,0,1,0,1
x183,0,1,1,0,1
x184,0,1,0,0,0
x185,0,1,0,0,0
x186,0,0,1,0,1
x188,0,0,0,0,0
x189,0,0,0,1,0
x193,0,0,0,0,0
x194,0,0,0,0,0
x197,0,0,1,0,0
x198,0,0,1,1,1
x201,0,1,0,1,0
x203,0,0,1,1,1
x207,0,0,1,0,1
x210,0,0,0,1,0
x211,0,0,1,0,1
x212,0,0,0,0,0
x213,0,1,0,0,0
x215,0,0,0,1,1
x217,0,0,0,1,0
x218,0,0,1,0,0
x219,0,1,0,1,0
x220,0,0,0,0,0
x221,0,1,0,1,0
x224,0,0,0,0,0
x225,0,0,1,0,1
x226,0,0,1,0,0
x227,0,1,0,1,0
x231,0,0,1,0,1
x232,0,1,0,1,1
x233,0,1,1,1,1
x235,0,0,1,0,1
x237,0,0,0,1,0
x244,0,0,1,1,1
x245,0,0,1,1,1
x246,0,1,1,1,1
x247,0,0,0,0,0
x248,0,0,1,0,0
x250,0,0,0,0,0
x251,0,0,0,0,0
x252,0,0,0,0,0
x255,0,0,0,0,0
x258,0,1,0,0,0
x260,0,0,0,0,0
x263,0,0,0,0,0
x267,0,0,1,1,1
x270,0,0,0,1,0
x271,0,0,0,0,0
x273,0,1,1,0,1
x274,0,0,0,0,0
x275,0,0,1,0,1
x280,0,0,1,1,1
x283,0,0,0,0,0
x284,0,0,1,0,0
x285,0,0,0,1,0
x286,0,1,1,1,1
x289,0,0,1,1,1
x290,0,0,0,0,0
x291,0,0,0,0,0
x293,0,1,1,1,1
x296,0,0,1,1,1
x298,0,0,0,0,0
x299,0,1,1,0,1
x1,1,1,1,0,1
x2,1,1,0,1,0
x3,1,0,0,1,1
x7,1,1,0,0,0
x9,1,0,0,1,1
x10,1,1,0,0,0
x12,1,1,1,1,1
x14,1,1,1,0,1
x15,1,1,0,1,1
x16,1,1,1,1,1
x18,1,1,0,0,0
x21,1,1,1,0,1
x23,1,0,1,0,1
x25,1,0,0,0,0
x29,1,1,0,0,0
x30,1,1,0,1,0
x33,1,1,1,0,0
x34,1,1,0,1,0
x35,1,1,1,1,1
x36,1,1,1,0,1
x37,1,1,0,0,0
x41,1,1,1,1,1
x42,1,0,1,1,1
x43,1,1,1,1,1
x44,1,1,1,1,1
x46,1,0,0,1,0
x47,1,1,1,0,1
x48,1,1,0,0,0
x50,1,1,0,0,0
x51,1,1,0,1,0
x52,1,1,1,1,1
x54,1,1,1,0,1
x55,1,1,1,1,1
x58,1,0,1,1,1
x60,1,0,0,1,0
x62,1,0,0,1,0
x64,1,1,0,1,0
x68,1,0,0,0,0
x71,1,1,1,0,1
x73,1,1,0,0,0
x74,1,1,1,1,1
x76,1,1,1,1,1
x78,1,1,0,1,1
x79,1,1,1,0,1
x81,1,0,0,0,0
x83,1,0,1,0,1
x84,1,1,1,0,0
x88,1,1,1,0,1
x91,1,1,0,1,1
x92,1,1,1,1,1
x94,1,0,0,0,0
x96,1,0,0,0,0
x98,1,1,1,0,1
x101,1,1,1,1,1
x102,1,1,0,1,0
x104,1,0,1,1,1
x105,1,1,1,1,1
x106,1,1,0,1,1
x107,1,1,1,1,1
x110,1,0,1,1,1
x111,1,0,1,1,1
x115,1,1,0,1,0
x117,1,1,1,0,1
x118,1,0,1,0,1
x124,1,1,0,0,0
x129,1,1,1,1,1
x133,1,0,1,1,1
x134,1,0,1,0,1
x138,1,1,1,0,1
x139,1,1,1,0,1
x140,1,0,1,1,1
x141,1,1,1,1,1
x143,1,1,0,0,0
x144,1,1,1,0,1
x146,1,0,1,0,1
x148,1,1,1,0,1
x150,1,0,1,0,1
x152,1,1,1,0,1
x153,1,1,0,1,0
x154,1,1,1,1,1
x156,1,0,0,0,0
x158,1,1,1,0,1
x160,1,1,0,0,0
x162,1,0,0,1,0
x163,1,0,0,0,0
x165,1,1,1,1,1
x167,1,1,1,1,1
x168,1,0,0,0,0
x169,1,1,1,1,1
x170,1,0,1,1,1
x173,1,1,1,1,1
x174,1,1,0,1,0
x175,1,0,1,1,1
x176,1,1,0,1,0
x177,1,0,0,0,0
x178,1,1,1,1,1
x187,1,1,1,1,1
x190,1,1,1,0,1
x191,1,1,0,1,1
x192,1,1,1,1,1
x195,1,1,0,1,1
x196,1,1,1,0,1
x199,1,1,1,1,1
x200,1,1,1,1,1
x202,1,1,1,1,1
x204,1,1,0,1,0
x205,1,1,1,0,1
x206,1,1,1,1,1
x208,1,1,0,0,0
x209,1,0,0,0,0
x214,1,0,1,0,1
x216,1,1,1,1,1
x222,1,0,0,0,0
x223,1,1,1,1,1
x228,1,1,1,1,1
x229,1,1,1,0,1
x230,1,0,0,1,0
x234,1,1,0,0,0
x236,1,1,0,0,0
x238,1,1,1,0,1
x239,1,1,1,1,1
x240,1,1,1,0,1
x241,1,0,0,0,0
x242,1,1,1,0,1
x243,1,1,1,1,1
x249,1,0,1,0,1
x253,1,0,1,1,1
x254,1,1,0,1,1
x256,1,1,1,1,1
x257,1,0,0,0,0
x259,1,0,1,1,1
x261,1,0,0,0,0
x262,1,1,1,1,1
x264,1,0,0,0,0
x265,1,1,1,0,1
x266,1,1,1,0,1
x268,1,1,1,0,1
x269,1,1,0,1,0
x272,1,1,0,1,0
x276,1,1,0,1,0
x277,1,1,0,1,0
x278,1,0,1,0,1
x279,1,1,1,1,1
x281,1,1,1,1,1
x282,1,0,0,0,0
x287,1,1,0,1,0
x288,1,1,0,0,0
x292,1,1,1,0,0
x294,1,1,1,1,1
x295,1,0,1,0,1
x297,1,0,1,0,1
