,init,fp1,fp2,fp3,t1
x1,0,1,1,1,1
x3,0,1,1,1,1
x4,0,0,0,0,0
x5,0,0,0,0,0
x7,0,1,1,1,0
x8,0,0,0,0,1
x9,0,0,0,0,1
x10,0,0,1,1,1
x12,0,1,1,1,0
x16,0,0,0,0,0
x17,0,1,1,1,1
x19,0,0,0,0,1
x22,0,0,0,0,0
x24,0,1,0,0,1
x26,0,0,0,0,0
x28,0,1,1,1,0
x29,0,1,1,1,1
x31,0,0,0,0,1
x33,0,0,0,0,1
x34,0,1,0,0,0
x35,0,1,0,0,0
x37,0,0,0,1,0
x39,0,0,0,0,1
x40,0,0,0,0,1
x42,0,1,1,1,0
x46,0,1,1,1,0
x47,0,1,1,1,1
x48,0,0,0,0,1
x49,0,1,1,1,0
x52,0,0,0,0,0
x57,0,0,0,1,1
x59,0,0,0,0,0
x65,0,0,0,0,0
x68,0,0,0,0,1
x69,0,0,0,0,1
x70,0,0,0,0,0
x71,0,0,0,1,0
x75,0,0,0,0,0
x76,0,0,0,0,1
x77,0,0,0,0,1
x78,0,0,0,0,1
x79,0,0,0,0,0
x82,0,0,0,0,1
x84,0,0,0,0,1
x85,0,1,1,1,0
x88,0,0,0,0,0
x91,0,0,0,0,1
x92,0,0,0,0,1
x94,0,1,1,1,1
x100,0,0,0,0,0
x101,0,0,0,0,1
x105,0,0,0,0,0
x106,0,1,1,1,0
x110,0,1,1,1,0
x117,0,0,0,0,1
x118,0,0,0,0,0
x119,0,1,1,1,0
x120,0,0,0,0,0
x123,0,0,0,0,1
x126,0,1,1,1,1
x127,0,0,1,1,0
x134,0,0,0,0,1
x135,0,0,0,0,0
x137,0,0,0,0,0
x139,0,0,0,0,0
x140,0,0,1,1,0
x143,0,1,1,1,0
x148,0,1,1,1,0
x149,0,0,0,0,0
x151,0,0,0,0,0
x153,0,0,0,0,0
x158,0,0,0,0,0
x159,0,0,0,0,1
x160,0,0,0,0,0
x162,0,1,1,1,1
x163,0,0,0,0,0
x167,0,0,0,0,0
x170,0,1,1,1,0
x174,0,1,1,1,1
x177,0,1,1,1,0
x179,0,0,0,0,0
x183,0,0,0,0,0
x187,0,0,0,0,0
x188,0,1,1,1,0
x190,0,0,0,0,0
x191,0,0,0,0,1
x193,0,0,0,0,1
x194,0,0,1,1,1
x197,0,0,0,0,1
x198,0,0,0,0,0
x200,0,1,1,1,0
x201,0,1,1,0,1
x205,0,0,0,0,0
x213,0,1,1,1,0
x214,0,0,0,0,0
x215,0,0,0,0,0
x217,0,0,0,0,0
x221,0,0,0,0,0
x226,0,0,0,0,1
x227,0,0,0,0,0
x228,0,0,0,0,1
x231,0,0,1,1,1
x232,0,0,0,0,0
x233,0,1,0,0,1
x234,0,0,0,0,0
x235,0,0,0,0,0
x237,0,0,0,0,1
x242,0,0,0,0,1
x243,0,1,1,1,1
x244,0,0,0,0,0
x245,0,0,0,0,1
x246,0,0,0,0,1
x247,0,0,0,0,0
x249,0,1,0,0,0
x250,0,0,0,0,0
x253,0,0,0,0,0
x254,0,0,1,1,1
x258,0,0,0,0,0
x260,0,1,1,1,0
x262,0,0,0,0,1
x263,0,1,1,1,0
x267,0,1,0,0,0
x268,0,0,0,0,1
x269,0,0,0,0,1
x272,0,1,1,0,1
x274,0,1,0,0,0
x276,0,1,1,0,0
x277,0,1,0,0,1
x278,0,0,0,0,0
x279,0,0,0,0,1
x280,0,0,0,0,1
x283,0,0,0,0,0
x285,0,0,0,0,0
x287,0,1,1,1,1
x288,0,0,0,0,0
x290,0,1,1,1,0
x292,0,0,1,1,0
x295,0,1,1,1,0
x296,0,1,0,0,0
x297,0,0,0,1,0
x0,1,0,0,0,0
x2,1,0,0,0,0
x6,1,1,1,1,0
x11,1,1,1,1,1
x13,1,0,1,1,1
x14,1,0,0,0,0
x15,1,1,1,1,0
x18,1,0,0,0,1
x20,1,0,0,0,1
x21,1,1,1,1,0
x23,1,0,0,0,1
x25,1,0,1,1,1
x27,1,0,0,0,1
x30,1,0,0,0,0
x32,1,1,1,1,1
x36,1,0,0,0,1
x38,1,0,0,0,0
x41,1,0,0,0,1
x43,1,1,1,1,0
x44,1,1,1,1,1
x45,1,0,0,0,1
x50,1,0,0,0,1
x51,1,0,1,1,1
x53,1,0,0,1,1
x54,1,0,1,1,1
x55,1,0,0,0,1
x56,1,1,1,1,0
x58,1,0,0,0,0
x60,1,0,0,0,1
x61,1,1,1,1,1
x62,1,0,0,0,1
x63,1,1,1,1,0
x64,1,0,1,1,1
x66,1,0,0,0,0
x67,1,1,1,1,1
x72,1,1,1,1,0
x73,1,0,0,0,0
x74,1,1,1,1,0
x80,1,1,0,0,0
x81,1,0,0,0,1
x83,1,1,1,1,0
x86,1,1,1,1,1
x87,1,1,1,1,1
x89,1,1,1,1,0
x90,1,0,0,1,0
x93,1,1,1,1,0
x95,1,1,1,1,0
x96,1,1,1,1,0
x97,1,1,1,1,0
x98,1,1,1,1,1
x99,1,1,1,1,1
x102,1,1,1,1,1
x103,1,1,1,1,1
x104,1,1,1,1,0
x107,1,0,0,0,1
x108,1,0,0,0,1
x109,1,1,1,1,1
x111,1,1,0,0,0
x112,1,0,0,0,1
x113,1,1,1,1,0
x114,1,1,1,1,0
x115,1,1,1,1,0
x116,1,1,1,1,1
x121,1,1,1,1,0
x122,1,0,0,0,1
x124,1,1,1,1,0
x125,1,0,0,0,1
x128,1,0,1,1,0
x129,1,0,0,0,0
x130,1,0,0,0,1
x131,1,0,0,0,1
x132,1,1,1,1,1
x133,1,1,0,0,1
x136,1,1,1,1,0
x138,1,0,0,1,0
x141,1,0,0,0,0
x142,1,0,1,1,1
x144,1,1,1,1,1
x145,1,1,1,1,1
x146,1,1,1,1,1
x147,1,1,1,1,0
x150,1,1,1,1,1
x152,1,1,1,1,0
x154,1,1,1,1,0
x155,1,1,1,1,1
x156,1,1,1,1,1
x157,1,1,1,1,1
x161,1,0,0,0,1
x164,1,1,1,1,0
x165,1,1,1,1,1
x166,1,1,1,1,1
x168,1,1,1,1,1
x169,1,1,1,1,1
x171,1,0,0,0,0
x172,1,1,1,1,1
x173,1,0,0,0,0
x175,1,1,1,1,1
x176,1,1,1,1,1
x178,1,0,0,0,1
x180,1,0,1,1,0
x181,1,1,1,1,0
x182,1,1,0,0,1
x184,1,0,0,0,1
x185,1,1,0,0,1
x186,1,1,1,1,1
x189,1,0,1,1,0
x192,1,1,1,1,1
x195,1,1,1,1,0
x196,1,1,0,0,1
x199,1,0,0,0,1
x202,1,1,0,0,1
x203,1,1,1,1,0
x204,1,0,0,0,1
x206,1,0,0,0,1
x207,1,1,1,1,0
x208,1,1,1,1,0
x209,1,0,0,0,1
x210,1,1,1,1,0
x211,1,0,0,0,1
x212,1,1,1,1,1
x216,1,1,1,1,0
x218,1,0,0,0,0
x219,1,1,1,1,0
x220,1,0,0,0,0
x222,1,1,1,1,0
x223,1,1,1,1,0
x224,1,1,1,1,1
x225,1,1,1,1,0
x229,1,1,1,1,0
x230,1,1,1,1,1
x236,1,1,0,0,1
x238,1,0,0,0,1
x239,1,1,1,1,1
x240,1,1,1,1,0
x241,1,0,0,0,1
x248,1,1,1,1,1
x251,1,1,1,1,1
x252,1,1,1,1,1
x255,1,1,1,1,1
x256,1,1,1,1,0
x257,1,1,1,0,1
x259,1,0,0,1,1
x261,1,0,1,1,0
x264,1,0,0,0,1
x265,1,1,1,1,0
x266,1,1,1,1,1
x270,1,1,1,1,1
x271,1,1,1,1,1
x273,1,0,0,0,0
x275,1,0,0,0,1
x281,1,1,1,1,0
x282,1,0,0,1,1
x284,1,0,1,1,1
x286,1,1,1,1,1
x289,1,1,1,1,1
x291,1,1,1,1,1
x293,1,1,1,1,1
x294,1,1,1,1,1
x298,1,1,1,1,1
x299,1,1,1,1,1
