,fp3,t1,init,fp2,fp1
x2,0,1,1,0,0
x4,0,1,1,0,1
x6,0,1,1,0,0
x8,0,0,0,0,0
x9,0,1,0,0,0
x10,0,0,1,0,0
x11,0,0,0,0,1
x13,0,1,0,0,0
x14,0,1,1,0,0
x16,0,0,0,0,0
x19,0,0,1,0,0
x21,0,0,0,0,0
x22,0,0,0,0,1
x24,0,0,1,0,0
x26,0,1,1,0,0
x27,0,1,0,0,0
x29,0,1,1,0,0
x31,0,0,0,0,0
x32,0,0,1,0,0
x33,0,1,1,0,0
x36,0,0,0,0,1
x37,0,0,1,1,1
x40,0,1,1,0,0
x41,0,1,1,1,1
x42,0,1,1,0,0
x43,0,1,0,0,0
x44,0,1,1,0,1
x45,0,0,1,0,0
x46,0,0,0,0,0
x48,0,1,1,0,0
x49,0,0,0,0,0
x50,0,0,1,0,0
x52,0,1,1,1,1
x55,0,1,1,0,0
x57,0,1,1,0,0
x58,0,0,0,0,0
x60,0,0,0,0,0
x61,0,1,1,0,0
x62,0,0,0,0,0
x63,0,1,1,0,1
x64,0,0,1,0,0
x65,0,1,0,0,0
x66,0,0,0,0,0
x67,0,1,1,0,0
x68,0,0,1,0,0
x71,0,1,1,0,0
x72,0,1,1,0,0
x73,0,1,1,0,0
x76,0,0,0,0,0
x78,0,0,1,0,0
x79,0,1,1,0,0
x81,0,1,0,0,0
x83,0,1,1,0,0
x84,0,0,0,0,1
x86,0,1,1,0,0
x93,0,0,1,1,1
x95,0,1,1,0,0
x96,0,1,0,0,0
x97,0,1,1,0,0
x100,0,0,0,0,0
x102,0,0,0,0,0
x105,0,0,1,0,0
x108,0,0,0,0,0
x110,0,1,0,0,0
x112,0,1,0,0,0
x114,0,1,0,0,1
x117,0,0,0,0,0
x121,0,0,0,0,0
x123,0,1,1,0,0
x124,0,1,0,0,0
x125,0,1,1,0,0
x127,0,1,1,0,0
x128,0,1,1,0,1
x131,0,1,1,0,0
x132,0,0,0,0,0
x133,0,1,1,0,0
x135,0,0,1,0,0
x139,0,0,0,0,0
x140,0,0,1,0,0
x141,0,0,0,0,0
x143,0,1,1,0,0
x144,0,0,0,0,0
x145,0,0,0,0,0
x146,0,0,0,0,0
x148,0,0,0,0,0
x150,0,1,1,0,0
x151,0,0,0,0,0
x154,0,0,0,0,0
x155,0,1,1,0,0
x157,0,1,1,0,1
x159,0,0,0,0,0
x160,0,0,1,0,0
x161,0,0,0,0,0
x164,0,0,0,0,0
x166,0,1,1,0,0
x167,0,1,1,0,1
x169,0,0,0,0,0
x172,0,0,0,0,0
x173,0,1,1,0,0
x174,0,0,1,0,0
x175,0,1,1,0,0
x177,0,0,0,0,0
x178,0,1,1,0,0
x179,0,1,0,0,0
x181,0,0,1,0,1
x184,0,1,1,0,1
x191,0,1,1,0,0
x192,0,1,0,0,1
x194,0,0,0,0,0
x201,0,0,0,0,0
x202,0,0,0,0,0
x205,0,0,0,0,0
x209,0,0,1,0,0
x211,0,1,0,0,0
x212,0,0,0,0,0
x214,0,1,1,0,0
x215,0,1,1,0,0
x216,0,0,0,0,0
x217,0,1,0,0,0
x220,0,0,0,0,0
x226,0,0,0,0,0
x227,0,0,0,0,0
x232,0,0,0,0,0
x233,0,1,1,0,0
x234,0,1,1,1,1
x235,0,1,1,0,0
x236,0,1,1,0,0
x241,0,0,0,0,0
x242,0,1,1,0,0
x245,0,1,1,0,0
x247,0,1,0,0,0
x248,0,1,1,0,0
x249,0,1,1,0,0
x251,0,1,1,0,0
x252,0,1,1,0,0
x253,0,0,1,0,0
x261,0,1,1,0,0
x266,0,1,1,1,1
x267,0,0,0,0,0
x268,0,0,0,0,0
x269,0,0,0,0,0
x270,0,1,1,0,0
x274,0,1,1,0,0
x275,0,0,0,0,1
x277,0,1,1,1,1
x280,0,1,0,0,0
x282,0,0,0,0,0
x283,0,0,0,1,1
x284,0,0,0,0,0
x287,0,1,0,0,0
x288,0,0,0,0,0
x289,0,0,0,0,0
x292,0,0,0,0,0
x295,0,1,1,0,0
x298,0,0,0,0,0
x299,0,1,1,0,0
x300,0,1,1,0,0
x301,0,0,0,0,0
x302,0,0,0,0,0
x306,0,0,0,0,0
x310,0,1,0,0,0
x311,0,0,0,0,0
x312,0,0,1,0,0
x313,0,1,1,0,0
x314,0,1,1,0,1
x319,0,0,1,0,0
x321,0,0,0,0,0
x322,0,0,0,0,0
x324,0,1,1,0,0
x325,0,0,1,0,0
x326,0,0,0,0,0
x327,0,1,1,0,1
x329,0,0,0,0,0
x332,0,1,1,0,0
x334,0,0,0,0,0
x335,0,0,0,0,0
x337,0,1,1,0,0
x344,0,1,1,0,1
x345,0,1,1,0,0
x346,0,1,0,0,0
x347,0,0,0,0,0
x350,0,1,0,0,1
x354,0,1,0,0,1
x357,0,1,1,1,0
x358,0,0,0,0,0
x360,0,1,0,0,1
x361,0,1,1,0,0
x363,0,1,0,0,0
x368,0,0,0,0,0
x371,0,0,1,1,1
x372,0,1,1,0,0
x377,0,1,1,0,0
x378,0,0,0,0,0
x382,0,1,1,0,0
x389,0,0,0,0,1
x392,0,1,1,0,0
x393,0,0,0,0,0
x394,0,0,0,0,0
x395,0,1,0,0,0
x396,0,0,0,0,0
x397,0,0,0,0,0
x398,0,1,1,0,0
x401,0,1,0,0,0
x402,0,1,1,0,0
x403,0,1,0,0,0
x405,0,0,0,0,0
x407,0,0,1,0,0
x409,0,0,0,0,1
x410,0,0,0,0,0
x411,0,1,1,0,0
x414,0,1,1,0,0
x417,0,0,0,0,0
x418,0,1,1,0,1
x420,0,1,1,0,0
x421,0,0,0,0,0
x426,0,0,0,0,0
x427,0,0,0,0,0
x428,0,0,1,0,0
x429,0,1,0,1,1
x430,0,1,1,0,0
x432,0,0,0,0,0
x433,0,1,1,0,0
x435,0,0,1,0,0
x437,0,1,1,0,0
x438,0,0,0,0,0
x441,0,1,1,0,0
x442,0,1,1,0,0
x443,0,0,1,0,0
x444,0,1,0,0,0
x445,0,0,1,0,0
x446,0,1,1,0,0
x447,0,0,1,0,0
x449,0,0,0,0,0
x453,0,0,1,0,0
x455,0,1,1,0,0
x457,0,1,1,1,1
x459,0,0,0,0,0
x460,0,0,1,0,0
x461,0,1,0,0,1
x462,0,0,0,0,0
x465,0,1,1,0,0
x469,0,1,1,0,0
x470,0,0,0,1,1
x476,0,1,0,0,0
x479,0,1,1,0,0
x480,0,0,0,0,0
x483,0,1,0,0,0
x487,0,0,0,1,1
x488,0,1,1,0,0
x489,0,0,1,0,0
x490,0,1,1,0,0
x491,0,0,0,0,0
x492,0,1,1,0,0
x494,0,0,0,0,0
x495,0,0,1,0,0
x497,0,1,1,0,0
x498,0,1,1,0,1
x499,0,0,0,1,1
x501,0,0,0,0,0
x502,0,1,1,0,0
x503,0,0,0,0,1
x504,0,1,0,1,1
x506,0,1,1,0,0
x507,0,0,0,0,0
x509,0,1,1,0,0
x513,0,1,1,0,0
x517,0,0,0,0,0
x520,0,0,0,0,0
x521,0,0,1,0,0
x528,0,0,0,0,0
x529,0,0,0,0,0
x530,0,1,1,0,0
x532,0,0,1,1,1
x536,0,1,1,0,1
x539,0,0,0,0,1
x540,0,1,1,1,1
x541,0,1,1,0,0
x543,0,0,0,0,1
x544,0,0,0,0,0
x545,0,0,0,0,0
x547,0,0,0,0,0
x548,0,0,1,0,0
x549,0,0,0,0,0
x550,0,1,0,0,0
x555,0,1,1,0,0
x556,0,1,1,0,1
x558,0,0,0,0,0
x559,0,0,0,0,0
x561,0,0,1,1,1
x566,0,0,0,0,0
x569,0,1,1,0,0
x571,0,1,1,0,1
x572,0,0,0,0,1
x574,0,1,1,1,1
x576,0,1,0,0,0
x577,0,0,0,0,1
x578,0,0,0,0,0
x579,0,0,0,0,1
x582,0,0,0,0,0
x583,0,1,0,0,0
x585,0,1,1,0,0
x587,0,0,0,0,0
x588,0,0,1,0,0
x590,0,1,1,0,0
x592,0,0,1,0,0
x596,0,1,0,0,1
x597,0,1,1,0,0
x0,1,1,1,1,1
x1,1,1,0,1,0
x3,1,0,1,0,0
x5,1,1,1,1,1
x7,1,1,1,1,0
x12,1,1,1,1,1
x15,1,1,1,1,1
x17,1,0,0,1,1
x18,1,1,1,0,0
x20,1,1,1,1,1
x23,1,1,1,0,0
x25,1,0,1,1,1
x28,1,1,0,1,1
x30,1,1,1,1,1
x34,1,0,0,1,0
x35,1,1,0,1,1
x38,1,0,1,1,1
x39,1,1,1,1,1
x47,1,1,1,1,1
x51,1,0,0,1,1
x53,1,0,1,1,1
x54,1,0,0,1,1
x56,1,1,1,1,1
x59,1,0,0,1,0
x69,1,1,1,1,1
x70,1,0,1,1,1
x74,1,1,1,1,1
x75,1,0,0,1,1
x77,1,0,1,1,1
x80,1,1,1,1,1
x82,1,0,0,1,0
x85,1,0,0,1,1
x87,1,0,1,1,1
x88,1,1,1,1,1
x89,1,0,0,1,1
x90,1,1,1,1,1
x91,1,0,0,1,1
x92,1,0,1,1,1
x94,1,1,1,1,1
x98,1,0,0,1,1
x99,1,0,0,1,1
x101,1,1,1,1,1
x103,1,0,0,1,1
x104,1,0,1,1,0
x106,1,0,0,0,0
x107,1,0,0,1,1
x109,1,0,0,1,0
x111,1,1,1,1,1
x113,1,0,0,1,0
x115,1,1,1,1,1
x116,1,1,1,1,1
x118,1,0,0,1,0
x119,1,0,0,1,1
x120,1,1,1,1,1
x122,1,1,0,1,1
x126,1,1,0,1,1
x129,1,0,0,1,1
x130,1,1,1,1,1
x134,1,0,1,1,1
x136,1,1,1,1,1
x137,1,1,1,1,1
x138,1,1,1,1,1
x142,1,1,0,1,1
x147,1,0,0,1,1
x149,1,0,1,1,1
x152,1,1,0,1,1
x153,1,1,1,1,1
x156,1,0,1,1,1
x158,1,1,1,1,1
x162,1,1,1,1,1
x163,1,0,1,1,1
x165,1,0,1,1,1
x168,1,1,1,1,0
x170,1,0,0,1,1
x171,1,0,1,1,0
x176,1,1,1,1,0
x180,1,1,1,1,0
x182,1,0,1,1,1
x183,1,0,0,1,1
x185,1,0,0,1,0
x186,1,1,1,1,1
x187,1,0,1,1,1
x188,1,1,1,1,1
x189,1,0,1,1,0
x190,1,1,1,1,0
x193,1,0,1,0,0
x195,1,0,1,1,1
x196,1,0,1,1,0
x197,1,0,1,1,1
x198,1,0,1,1,1
x199,1,1,1,1,1
x200,1,1,1,1,1
x203,1,0,0,1,1
x204,1,1,1,1,1
x206,1,0,1,1,1
x207,1,0,0,1,1
x208,1,0,0,1,1
x210,1,0,1,1,1
x213,1,0,1,1,1
x218,1,0,0,1,1
x219,1,1,1,1,0
x221,1,0,1,1,1
x222,1,1,1,1,1
x223,1,1,1,1,1
x224,1,1,1,1,1
x225,1,1,1,1,1
x228,1,1,1,1,1
x229,1,1,1,1,0
x230,1,1,1,1,1
x231,1,0,0,1,1
x237,1,0,1,1,1
x238,1,1,1,1,0
x239,1,0,0,1,1
x240,1,1,1,1,1
x243,1,1,0,1,1
x244,1,0,1,1,1
x246,1,0,0,1,1
x250,1,1,1,1,1
x254,1,1,1,1,1
x255,1,1,1,1,1
x256,1,1,0,1,1
x257,1,0,1,1,1
x258,1,0,1,1,1
x259,1,1,1,1,1
x260,1,1,0,1,1
x262,1,0,1,1,1
x263,1,1,1,1,0
x264,1,1,1,1,1
x265,1,1,1,1,1
x271,1,0,0,0,0
x272,1,0,0,1,1
x273,1,1,1,1,0
x276,1,1,1,1,1
x278,1,1,1,1,1
x279,1,1,1,1,1
x281,1,1,1,1,1
x285,1,0,1,1,1
x286,1,1,1,1,1
x290,1,0,0,1,1
x291,1,0,1,1,1
x293,1,0,0,1,1
x294,1,1,1,0,0
x296,1,0,0,0,0
x297,1,0,0,1,0
x303,1,1,1,1,1
x304,1,0,1,0,0
x305,1,0,1,1,1
x307,1,0,1,1,0
x308,1,0,0,1,0
x309,1,0,1,1,1
x315,1,1,0,1,1
x316,1,0,0,1,0
x317,1,0,1,1,1
x318,1,0,0,1,1
x320,1,1,1,1,1
x323,1,1,1,1,1
x328,1,1,1,0,0
x330,1,0,1,1,1
x331,1,1,1,1,1
x333,1,0,0,0,0
x336,1,1,0,1,1
x338,1,0,1,1,1
x339,1,0,1,1,1
x340,1,0,0,1,1
x341,1,0,1,1,1
x342,1,0,0,1,0
x343,1,0,1,1,0
x348,1,0,0,1,1
x349,1,1,1,1,1
x351,1,1,1,1,1
x352,1,0,1,1,1
x353,1,1,1,1,1
x355,1,0,0,1,1
x356,1,1,1,1,1
x359,1,1,1,1,0
x362,1,1,1,1,1
x364,1,0,0,1,1
x365,1,1,1,1,1
x366,1,1,1,1,1
x367,1,0,0,1,1
x369,1,0,0,1,1
x370,1,0,0,0,0
x373,1,0,0,0,0
x374,1,0,0,1,0
x375,1,1,1,1,1
x376,1,1,1,0,0
x379,1,0,0,1,1
x380,1,0,0,1,1
x381,1,1,1,1,1
x383,1,0,0,1,1
x384,1,0,1,0,0
x385,1,1,1,1,1
x386,1,0,1,0,0
x387,1,0,1,1,1
x388,1,0,1,1,0
x390,1,0,0,1,1
x391,1,1,1,1,1
x399,1,0,0,1,1
x400,1,1,1,1,1
x404,1,0,0,1,1
x406,1,1,0,1,1
x408,1,0,1,1,1
x412,1,1,1,0,0
x413,1,0,0,1,1
x415,1,1,1,1,1
x416,1,0,0,1,1
x419,1,0,0,1,1
x422,1,0,0,0,0
x423,1,0,0,1,1
x424,1,0,0,1,1
x425,1,1,1,1,0
x431,1,1,1,1,0
x434,1,0,1,1,1
x436,1,0,0,1,1
x439,1,0,0,1,0
x440,1,0,1,1,1
x448,1,1,1,1,1
