,fp1,init,fp2,t1,fp3
x0,0,0,0,0,0
x3,0,0,1,1,1
x9,0,1,0,1,1
x10,0,0,0,0,0
x11,0,1,0,0,0
x14,0,1,0,0,0
x15,0,0,0,1,0
x16,0,1,0,0,0
x17,0,1,0,0,0
x18,0,0,0,0,0
x20,0,0,0,1,1
x21,0,1,0,0,0
x23,0,1,0,1,0
x24,0,1,0,0,0
x25,0,0,1,1,1
x27,0,0,0,1,0
x29,0,1,1,1,1
x30,0,0,0,0,0
x34,0,1,0,1,0
x35,0,0,0,0,1
x37,0,0,0,0,0
x39,0,0,0,0,0
x41,0,0,0,0,1
x43,0,0,0,0,0
x45,0,1,0,0,0
x47,0,0,0,0,0
x48,0,0,0,0,0
x51,0,0,0,1,0
x52,0,1,0,1,0
x55,0,0,0,1,0
x57,0,1,0,1,0
x58,0,1,0,0,0
x60,0,1,0,1,0
x63,0,0,0,0,0
x65,0,1,0,1,0
x69,0,1,0,1,0
x76,0,0,0,0,0
x82,0,1,0,1,0
x84,0,1,0,0,0
x88,0,0,1,0,1
x91,0,1,0,0,0
x98,0,1,0,0,1
x100,0,1,0,0,0
x101,0,1,0,1,0
x102,0,1,0,0,0
x103,0,0,0,0,0
x104,0,1,0,1,0
x105,0,0,0,1,0
x106,0,1,0,1,0
x109,0,0,0,1,0
x111,0,1,0,1,0
x114,0,1,0,1,0
x117,0,1,0,1,0
x118,0,1,0,1,0
x120,0,1,0,1,0
x121,0,1,0,1,0
x122,0,0,0,0,0
x124,0,0,0,0,1
x126,0,0,0,1,1
x128,0,1,0,1,0
x130,0,0,0,0,0
x137,0,1,0,1,0
x142,0,0,0,0,0
x143,0,1,0,0,1
x144,0,1,0,1,1
x145,0,0,0,0,0
x150,0,1,0,1,0
x153,0,0,0,0,0
x155,0,0,1,0,1
x156,0,0,0,0,0
x158,0,1,0,1,0
x161,0,1,0,1,0
x162,0,0,0,0,0
x163,0,1,0,1,0
x165,0,0,0,0,0
x166,0,1,0,1,0
x168,0,1,0,1,0
x169,0,1,1,0,1
x171,0,0,0,1,0
x176,0,0,0,1,0
x177,0,1,0,1,0
x179,0,0,0,1,0
x181,0,1,0,1,0
x182,0,1,0,0,0
x184,0,1,0,1,0
x185,0,0,0,1,0
x188,0,0,0,0,0
x189,0,1,1,0,1
x196,0,1,0,1,0
x199,0,0,0,1,0
x203,0,1,0,0,0
