,init,fp2,fp1,fp3,t1
x0,0,0,0,1,0
x1,0,0,0,0,0
x2,0,0,0,1,1
x3,0,1,1,0,1
x4,0,1,1,1,1
x5,0,1,1,0,0
x6,0,1,1,1,0
x7,0,1,1,1,1
x10,0,0,0,0,0
x13,0,0,0,0,1
x16,0,0,0,0,0
x17,0,0,0,0,1
x23,0,0,0,1,1
x25,0,0,0,0,0
x26,0,0,0,1,1
x30,0,0,0,0,0
x31,0,1,1,1,0
x32,0,1,1,0,1
x33,0,0,0,1,1
x39,0,1,1,1,1
x40,0,1,1,1,0
x43,0,0,0,0,0
x44,0,0,0,1,1
x45,0,1,1,0,0
x46,0,0,0,1,1
x47,0,1,1,0,0
x48,0,1,1,1,0
x49,0,1,1,1,1
x50,0,1,1,1,0
x51,0,1,1,1,0
x52,0,0,0,0,0
x53,0,1,1,1,1
x56,0,0,0,1,1
x57,0,0,0,1,1
x58,0,1,1,0,1
x59,0,1,1,0,0
x61,0,0,0,1,0
x63,0,0,0,0,0
x64,0,1,1,1,0
x65,0,1,1,1,0
x67,0,0,0,0,0
x70,0,0,0,1,0
x71,0,0,0,1,0
x73,0,0,0,0,1
x78,0,1,1,0,1
x79,0,0,0,0,0
x80,0,1,1,0,0
x81,0,0,0,0,0
x82,0,1,1,1,0
x84,0,1,1,0,0
x85,0,1,1,0,0
x86,0,1,1,1,0
x88,0,0,0,0,0
x89,0,0,0,0,0
x90,0,1,1,1,0
x91,0,1,1,0,1
x92,0,0,0,0,1
x93,0,0,0,0,0
x95,0,1,1,1,0
x98,0,0,0,1,0
x99,0,0,0,0,1
x100,0,1,1,1,0
x102,0,1,1,1,1
x107,0,1,1,1,0
x108,0,0,0,0,1
x109,0,0,0,0,0
x110,0,0,0,1,0
x113,0,0,0,0,0
x114,0,0,0,1,1
x117,0,1,1,1,1
x118,0,1,1,0,1
x119,0,1,1,1,1
x121,0,0,0,0,0
x122,0,1,1,1,1
x126,0,0,0,0,1
x128,0,0,0,1,0
x132,0,1,1,1,0
x138,0,1,1,1,1
x139,0,0,0,0,0
x140,0,0,0,1,0
x142,0,1,1,1,1
x143,0,0,0,0,0
x144,0,1,1,1,0
x148,0,1,1,1,0
x150,0,0,0,0,0
x151,0,1,1,1,0
x152,0,1,0,1,0
x154,0,1,1,0,0
x155,0,0,0,1,0
x157,0,0,0,1,0
x158,0,0,0,0,1
x159,0,1,1,0,0
x165,0,0,0,0,0
x166,0,1,1,1,0
x167,0,0,0,0,0
x170,0,0,0,0,0
x173,0,1,1,1,1
x174,0,0,0,1,1
x175,0,0,0,0,1
x178,0,0,0,0,0
x181,0,0,0,0,0
x182,0,1,1,1,1
x183,0,0,0,0,1
x185,0,0,0,1,1
x189,0,0,0,0,0
x200,0,0,0,0,0
x201,0,0,0,0,0
x202,0,1,1,1,1
x205,0,0,0,0,0
x209,0,0,0,0,1
x210,0,0,0,0,0
x211,0,1,1,1,0
x212,0,0,0,0,0
x214,0,1,1,1,0
x216,0,1,1,0,0
x217,0,0,0,0,0
x220,0,1,1,0,1
x221,0,0,0,1,0
x224,0,1,1,1,0
x226,0,1,1,1,0
x231,0,1,1,0,0
x233,0,0,0,0,0
x235,0,0,0,0,0
x236,0,0,0,1,0
x238,0,1,1,1,1
x240,0,1,1,0,1
x242,0,1,1,1,1
x244,0,0,0,0,0
x245,0,0,0,1,0
x246,0,0,0,0,0
x247,0,0,0,1,1
x248,0,0,0,0,0
x250,0,1,1,0,0
x254,0,1,1,1,1
x255,0,1,1,1,0
x259,0,0,0,1,0
x261,0,1,1,1,0
x263,0,0,0,0,0
x264,0,0,0,1,0
x266,0,1,1,0,0
x267,0,0,0,1,0
x268,0,1,1,1,0
x269,0,0,0,1,1
x270,0,0,0,0,0
x272,0,0,0,1,0
x273,0,1,1,0,1
x277,0,0,0,0,0
x281,0,0,0,1,0
x282,0,0,0,0,0
x285,0,0,0,1,1
x286,0,0,0,1,0
x287,0,1,1,1,0
x288,0,0,0,0,0
x289,0,0,0,1,1
x294,0,1,1,1,1
x295,0,1,1,1,1
x298,0,1,1,0,0
x299,0,1,1,1,0
x302,0,0,0,1,0
x303,0,1,1,1,0
x304,0,0,0,1,0
x307,0,1,1,1,0
x308,0,0,0,0,0
x314,0,1,1,1,0
x316,0,0,0,0,0
x317,0,0,0,0,1
x322,0,0,0,0,0
x323,0,0,0,0,0
x325,0,1,1,1,0
x326,0,0,0,0,0
x327,0,1,1,0,0
x329,0,1,1,1,0
x330,0,1,1,1,0
x332,0,1,1,1,0
x333,0,1,1,0,1
x336,0,0,0,0,0
x339,0,1,1,1,0
x340,0,0,0,1,1
x341,0,0,0,0,0
x342,0,0,0,0,0
x343,0,0,0,0,1
x344,0,1,1,0,0
x346,0,0,0,0,0
x348,0,1,1,0,0
x349,0,1,1,1,0
x350,0,0,0,0,0
x355,0,1,1,1,1
x358,0,1,1,1,1
x361,0,1,1,0,0
x363,0,1,1,1,1
x366,0,0,0,0,0
x369,0,1,1,1,0
x370,0,1,1,0,0
x372,0,0,0,0,0
x373,0,0,0,1,0
x374,0,0,0,1,0
x376,0,1,1,0,1
x379,0,1,1,1,0
x382,0,0,0,1,1
x383,0,0,0,0,0
x388,0,0,0,0,0
x389,0,0,0,0,0
x391,0,0,0,1,1
x395,0,0,0,0,0
x397,0,0,0,0,1
x398,0,1,1,1,1
x401,0,1,1,1,1
x402,0,1,1,1,1
x403,0,1,1,0,0
x405,0,1,1,0,0
x406,0,0,0,1,0
x407,0,1,1,0,0
x410,0,1,1,1,0
x413,0,1,1,1,1
x416,0,1,1,1,1
x418,0,0,0,0,0
x419,0,1,1,1,0
x420,0,0,0,0,0
x423,0,0,0,0,0
x425,0,1,1,1,0
x426,0,0,0,1,0
x428,0,0,0,0,0
x429,0,1,1,1,1
x431,0,0,0,1,1
x434,0,1,1,1,0
x439,0,1,1,0,0
x440,0,1,1,1,1
x441,0,0,0,0,0
x443,0,0,0,1,1
x444,0,0,0,0,0
x446,0,0,0,0,0
x447,0,1,1,1,0
x448,0,1,1,0,1
x450,0,0,0,0,1
x454,0,1,1,1,0
x455,0,0,0,0,0
x456,0,1,1,0,0
x458,0,0,0,0,0
x459,0,0,0,0,1
x460,0,0,0,0,1
x462,0,0,0,0,1
x465,0,0,0,0,1
x469,0,1,1,1,1
x470,0,0,0,0,0
x471,0,1,1,0,0
x476,0,0,0,0,0
x477,0,1,1,1,1
x482,0,1,1,1,1
x483,0,0,0,1,0
x490,0,1,1,0,1
x491,0,1,1,1,0
x493,0,1,1,1,0
x494,0,0,0,0,0
x501,0,1,1,0,0
x503,0,0,0,0,0
x504,0,1,1,1,1
x505,0,0,0,0,0
x509,0,0,0,0,0
x510,0,0,0,0,1
x514,0,0,0,0,0
x516,0,0,0,0,0
