,t1,fp3,init,fp2,fp1
x0,0,1,0,0,1
x3,0,0,0,0,0
x5,0,0,1,0,1
x6,0,1,0,1,1
x7,0,0,1,0,1
x8,0,1,1,0,1
x9,0,1,1,0,1
x10,0,0,0,0,1
x11,0,1,1,1,1
x12,0,0,0,0,0
x13,0,0,0,0,1
x15,0,0,0,1,0
x18,0,1,1,1,1
x19,0,0,0,0,0
x21,0,1,0,1,1
x22,0,0,1,1,1
x23,0,0,0,0,0
x24,0,1,0,1,1
x25,0,1,1,1,0
x27,0,1,0,1,1
x29,0,0,1,0,1
x30,0,1,0,0,1
x31,0,1,0,1,1
x32,0,1,0,1,0
x33,0,0,0,0,1
x34,0,1,1,1,0
x35,0,1,0,1,1
x40,0,1,1,1,0
x41,0,1,1,1,1
x43,0,1,0,1,0
x45,0,1,1,1,1
x47,0,1,1,1,0
x48,0,0,0,0,1
x49,0,0,0,0,1
x53,0,0,1,0,0
x54,0,0,0,0,0
x55,0,0,1,0,1
x57,0,0,0,0,1
x58,0,0,0,0,0
x61,0,0,0,0,0
x63,0,1,1,0,1
x65,0,1,1,1,0
x66,0,1,1,1,1
x70,0,0,0,0,0
x74,0,1,0,1,1
x75,0,1,0,1,1
x77,0,0,1,0,0
x78,0,0,1,0,0
x79,0,1,0,1,1
x81,0,1,1,1,0
x82,0,0,0,0,1
x83,0,1,0,1,1
x85,0,1,1,1,1
x88,0,1,1,1,0
x90,0,0,0,0,1
x91,0,1,1,1,0
x94,0,0,0,0,1
x96,0,0,1,0,0
x100,0,1,0,1,1
x101,0,0,1,0,0
x102,0,1,1,1,1
x104,0,1,1,1,1
x107,0,0,0,0,0
x108,0,1,0,1,1
x109,0,1,1,1,0
x112,0,0,1,1,0
x113,0,1,1,1,1
x114,0,0,1,0,0
x116,0,0,1,1,0
x117,0,1,0,1,1
x118,0,1,0,1,0
x120,0,0,0,1,0
x121,0,1,0,1,1
x122,0,0,0,0,0
x125,0,1,0,1,0
x128,0,1,0,1,1
x129,0,0,0,1,0
x130,0,0,1,1,0
x132,0,1,0,1,1
x134,0,1,0,1,1
x135,0,0,0,1,1
x136,0,1,0,1,0
x139,0,1,1,1,1
x142,0,0,0,0,0
x144,0,1,1,1,0
x146,0,0,1,1,0
x148,0,1,1,0,1
