,init,t1,fp2,fp3,fp1
x0,0,0,1,1,0
x1,0,0,0,0,1
x2,0,1,1,1,0
x5,0,1,1,1,0
x6,0,0,0,1,0
x7,0,0,1,0,0
x8,0,1,1,1,0
x9,0,0,1,1,0
x10,0,1,1,1,0
x13,0,0,1,1,0
x14,0,1,1,1,0
x16,0,1,1,0,0
x17,0,0,1,1,0
x20,0,0,1,1,0
x21,0,0,0,1,1
x24,0,0,1,1,0
x25,0,0,0,1,0
x27,0,0,1,1,0
x28,0,0,0,1,0
x29,0,0,1,1,0
x30,0,0,1,1,1
x31,0,1,0,0,1
x33,0,0,1,1,0
x34,0,1,1,1,0
x36,0,1,1,1,1
x38,0,1,0,0,1
x40,0,0,0,0,1
x41,0,1,0,0,0
x42,0,1,1,1,0
x43,0,0,1,1,0
x49,0,1,0,1,1
x50,0,1,1,1,0
x53,0,0,1,1,1
x54,0,1,1,1,1
x55,0,1,1,1,1
x56,0,0,1,1,1
x57,0,1,0,0,1
x60,0,0,1,1,1
x61,0,1,1,1,0
x63,0,1,1,1,0
x69,0,0,0,0,0
x71,0,1,0,0,0
x72,0,0,0,1,1
x76,0,1,1,1,1
x82,0,1,1,1,1
x83,0,0,1,1,0
x86,0,0,1,0,0
x88,0,1,1,1,0
x89,0,0,1,1,1
x92,0,1,0,0,0
x94,0,1,0,0,0
x95,0,1,1,1,0
x97,0,1,1,1,1
x98,0,1,0,0,1
x100,0,1,0,0,1
x101,0,1,1,1,0
x102,0,1,0,1,1
x103,0,1,0,1,1
x104,0,0,1,1,0
x106,0,0,0,0,0
x109,0,0,1,1,0
x110,0,1,0,0,0
x112,0,0,0,0,1
x115,0,0,1,1,1
x116,0,1,0,0,0
x117,0,0,1,1,0
x118,0,1,0,0,0
x123,0,0,0,0,0
x124,0,0,0,0,0
x126,0,0,0,1,1
x127,0,1,1,1,1
x129,0,0,1,0,0
x130,0,0,0,0,1
x131,0,1,0,0,0
x134,0,1,0,0,0
x135,0,0,1,0,0
x136,0,0,0,0,0
x137,0,0,1,1,1
x138,0,0,0,0,1
x141,0,1,1,1,1
x142,0,0,0,0,0
x143,0,1,1,1,1
x144,0,1,0,0,1
x145,0,1,1,1,1
x147,0,1,0,0,0
x151,0,0,0,0,0
x152,0,0,0,0,0
x153,0,0,1,1,1
x155,0,0,1,1,0
x157,0,1,1,1,0
x158,0,1,0,1,1
x159,0,1,1,1,0
x160,0,1,1,1,1
x162,0,0,0,0,1
x164,0,1,0,0,1
x165,0,0,1,1,1
x166,0,1,1,1,0
x168,0,1,1,1,1
x169,0,1,1,1,1
x170,0,0,1,1,1
x172,0,0,0,0,1
x173,0,0,1,1,1
x174,0,0,1,0,0
x177,0,1,0,0,1
x184,0,0,0,0,0
x185,0,1,1,1,0
x186,0,0,0,0,0
x187,0,1,0,0,1
x188,0,0,0,0,0
x189,0,0,1,1,0
x193,0,0,0,0,1
x201,0,0,1,1,1
x202,0,1,1,1,0
x203,0,1,1,1,0
x204,0,1,1,1,1
x205,0,1,0,0,0
x206,0,1,1,1,1
x207,0,0,0,0,0
x208,0,1,1,1,1
x211,0,0,1,1,1
x212,0,1,0,0,0
x214,0,0,0,0,0
x216,0,1,1,0,0
x218,0,1,1,1,1
x220,0,1,1,1,0
x221,0,1,0,0,1
x225,0,0,1,0,0
x226,0,0,0,1,1
x227,0,1,1,1,1
x228,0,1,1,1,1
x229,0,0,0,1,1
x230,0,1,0,0,0
x231,0,1,0,0,0
x237,0,0,1,1,1
x238,0,1,1,1,1
x239,0,1,1,0,1
x242,0,0,1,1,0
x245,0,1,0,0,0
x254,0,1,1,1,0
x257,0,0,0,0,0
x258,0,0,0,1,0
x261,0,1,0,0,0
x263,0,0,0,0,0
x269,0,0,1,1,1
x273,0,0,1,1,0
x274,0,0,0,0,1
x277,0,0,1,1,0
x284,0,1,1,1,1
x287,0,1,1,0,0
x290,0,1,1,1,1
x291,0,0,0,0,0
x294,0,1,0,0,0
x296,0,1,0,0,0
x298,0,1,0,0,0
x303,0,1,1,1,1
x305,0,0,0,1,0
x306,0,1,0,0,0
x307,0,1,0,1,1
x309,0,1,1,1,1
x310,0,1,1,1,1
x312,0,1,1,1,0
x313,0,1,1,1,0
x314,0,0,0,0,1
x315,0,1,0,0,0
x317,0,1,1,1,0
x320,0,0,0,0,0
x322,0,0,1,1,0
x323,0,0,0,1,0
