,t1,fp1,fp3,fp2,init
x5,0,0,1,1,1
x8,0,0,1,1,0
x9,0,0,0,0,0
x10,0,1,0,0,0
x11,0,0,0,0,1
x12,0,0,1,1,1
x13,0,1,1,1,0
x16,0,0,1,1,1
x18,0,0,1,1,1
x19,0,0,1,1,0
x20,0,0,0,0,1
x21,0,1,0,0,1
x22,0,0,0,0,1
x23,0,0,1,1,0
x25,0,1,1,1,0
x28,0,0,0,0,0
x31,0,1,0,0,0
x32,0,0,0,0,1
x34,0,0,0,1,1
x37,0,0,1,1,1
x38,0,1,0,0,1
x41,0,0,0,0,0
x44,0,1,1,1,0
x46,0,1,0,0,0
x49,0,1,1,1,1
x51,0,0,0,0,0
x56,0,0,1,1,1
x57,0,1,0,0,0
x59,0,1,0,0,0
x60,0,0,1,1,1
x61,0,1,1,1,0
x64,0,0,1,1,1
x67,0,0,1,1,0
x70,0,0,1,1,0
x71,0,1,1,1,1
x74,0,0,1,1,1
x76,0,0,0,1,0
x77,0,1,0,0,0
x80,0,0,0,0,1
x81,0,1,1,1,0
x82,0,1,1,1,0
x83,0,1,1,1,0
x85,0,1,1,0,0
x88,0,0,1,1,1
x89,0,0,1,1,0
x91,0,0,0,1,1
x92,0,0,0,0,0
x94,0,0,1,1,1
x98,0,1,1,1,0
x101,0,1,1,1,1
x102,0,1,0,0,1
x104,0,1,0,0,0
x106,0,1,1,1,1
x107,0,1,0,0,0
x111,0,0,1,1,1
x112,0,1,0,1,1
x113,0,1,0,0,0
x116,0,1,1,1,0
x122,0,0,0,1,1
x127,0,0,0,0,1
x128,0,1,0,0,0
x130,0,1,1,1,0
x131,0,0,0,0,1
x133,0,1,0,0,1
x134,0,1,1,1,1
x137,0,0,0,0,1
x139,0,1,0,0,0
x146,0,1,0,0,1
x148,0,1,1,1,0
x149,0,1,1,1,0
x152,0,1,1,1,1
x153,0,0,1,1,0
x154,0,1,1,1,0
x155,0,1,0,0,1
x158,0,0,0,0,0
x160,0,1,0,0,0
x162,0,1,1,0,0
x164,0,0,0,0,0
x168,0,0,1,1,1
x169,0,0,0,0,0
x170,0,1,1,1,0
x173,0,1,1,1,1
x175,0,1,1,1,0
x178,0,1,0,0,1
x181,0,1,0,0,1
x183,0,0,0,0,1
x184,0,1,1,1,0
x187,0,0,1,1,0
x188,0,1,1,1,0
x189,0,1,1,1,1
x193,0,0,0,0,0
x197,0,0,1,1,1
x198,0,1,1,1,1
x199,0,1,1,1,1
x200,0,0,0,0,1
x202,0,1,0,0,0
x203,0,1,1,1,0
x204,0,0,1,1,1
x205,0,0,1,1,0
x207,0,0,0,0,0
x210,0,0,1,1,0
x212,0,0,1,1,1
x213,0,1,1,1,1
x214,0,0,0,0,0
x215,0,0,1,1,0
x216,0,0,0,0,0
x218,0,0,0,1,1
x220,0,0,0,0,0
x221,0,1,1,1,0
x223,0,0,1,1,1
x224,0,0,1,1,1
x226,0,0,0,0,1
x227,0,0,1,1,1
x228,0,1,1,1,1
x229,0,1,1,1,1
x230,0,0,0,0,0
x231,0,0,1,1,0
x232,0,1,1,1,1
x233,0,0,1,1,0
x236,0,0,1,1,1
x237,0,0,0,0,0
x238,0,1,0,0,0
x243,0,0,0,0,0
x246,0,1,0,0,1
x252,0,0,1,1,1
x254,0,0,1,1,1
x255,0,0,0,0,0
x257,0,1,1,1,0
x258,0,1,0,0,1
x263,0,0,1,1,1
x264,0,1,0,0,1
