,fp2,t1,fp3,init,fp1
x4,0,1,0,1,0
x7,0,0,0,0,1
x9,0,0,0,1,0
x10,0,1,0,1,1
x11,0,0,0,0,1
x12,0,0,0,0,1
x13,0,0,0,1,0
x16,0,0,0,1,1
x20,0,1,0,1,0
x22,0,0,0,0,0
x23,0,1,0,0,0
x24,0,1,0,0,0
x26,0,1,0,0,0
x27,0,1,0,1,1
x28,0,0,0,0,1
x29,0,1,0,0,0
x31,0,0,0,0,0
x38,0,0,0,1,1
x42,0,1,0,1,0
x43,0,0,0,1,1
x44,0,1,0,1,0
x47,0,1,0,1,0
x51,0,1,0,1,1
x53,0,0,0,0,0
x54,0,1,0,0,0
x56,0,0,0,1,0
x57,0,1,0,1,0
x58,0,1,0,1,0
x60,0,0,0,0,0
x61,0,1,0,1,1
x62,0,0,0,1,0
x65,0,0,1,1,0
x66,0,0,0,0,0
x68,0,1,0,0,1
x71,0,0,0,0,1
x72,0,0,0,1,1
x75,0,0,0,0,0
x76,0,1,0,0,0
x77,0,1,0,1,0
x78,0,1,0,1,0
x79,0,1,0,0,1
x80,0,0,0,1,0
x82,0,1,0,1,1
x83,0,0,0,0,1
x84,0,1,0,1,0
x88,0,0,0,0,1
x89,0,1,0,1,0
x91,0,1,0,0,1
x95,0,0,1,0,0
x99,0,0,0,0,1
x100,0,1,0,1,1
x102,0,1,0,0,0
x104,0,1,0,0,1
x106,0,0,0,0,0
x109,0,1,0,0,0
x113,0,0,1,0,0
x118,0,0,0,0,0
x121,0,1,0,0,0
x122,0,0,0,0,1
x129,0,1,1,1,0
x131,0,0,0,0,1
x134,0,0,0,0,0
x136,0,0,0,1,0
x137,0,1,0,0,0
x138,0,1,0,0,1
x140,0,1,0,0,1
x141,0,1,0,0,0
x145,0,0,0,1,1
x146,0,1,0,1,0
x147,0,1,0,0,0
x148,0,1,0,1,0
x152,0,0,0,0,0
x157,0,1,0,0,0
x158,0,1,0,1,1
x160,0,1,0,0,1
x161,0,0,0,1,1
x162,0,1,0,1,1
x164,0,1,0,1,1
x165,0,0,0,0,1
x166,0,0,0,1,0
x167,0,0,0,0,0
x170,0,1,0,1,0
x171,0,1,1,1,0
x172,0,1,0,1,0
x177,0,1,0,0,0
x178,0,0,0,0,0
x180,0,1,0,0,0
x181,0,1,0,1,1
x183,0,1,0,1,0
x184,0,1,0,1,0
x185,0,1,0,1,1
x189,0,1,0,0,0
x190,0,1,0,1,0
x191,0,1,0,1,0
x192,0,1,0,1,1
x193,0,1,0,1,0
x196,0,1,0,1,1
x198,0,1,0,1,0
x202,0,0,0,0,0
x203,0,0,0,0,0
x205,0,1,0,1,0
x206,0,0,0,1,0
x207,0,0,0,0,1
x210,0,1,0,0,0
x212,0,1,0,0,1
x220,0,1,0,0,0
x221,0,0,0,1,0
x223,0,1,0,1,0
x224,0,0,0,0,0
x226,0,1,0,0,0
x228,0,1,0,0,0
x230,0,0,0,1,1
x231,0,0,0,1,0
x232,0,1,0,0,0
x235,0,0,0,0,0
x237,0,1,0,0,1
x241,0,0,0,0,0
x242,0,1,0,0,0
x245,0,0,0,1,0
x246,0,1,0,1,0
x247,0,1,0,0,0
x248,0,1,0,1,1
x250,0,0,0,1,1
x252,0,1,0,1,0
x253,0,1,0,0,1
x258,0,0,0,1,0
x265,0,1,0,1,1
x267,0,0,0,0,0
x271,0,1,0,0,1
x273,0,1,0,0,0
x275,0,0,0,1,1
x276,0,0,0,0,0
x277,0,1,0,0,1
x280,0,0,0,0,1
x282,0,1,0,1,0
x284,0,1,0,0,0
x285,0,0,0,0,0
x286,0,1,0,1,0
x289,0,1,0,0,0
x292,0,1,0,0,0
x295,0,1,0,0,0
x297,0,0,0,0,0
x305,0,0,0,1,0
x307,0,0,0,0,1
x308,0,0,0,0,0
x309,0,1,0,0,0
x310,0,1,0,0,0
x311,0,0,0,0,0
x315,0,0,0,1,0
x316,0,1,0,0,0
x317,0,0,0,0,1
x318,0,0,0,0,0
x319,0,1,0,1,0
x322,0,0,1,0,0
x324,0,1,0,0,0
x327,0,0,1,1,0
x329,0,0,0,1,0
x330,0,0,0,0,0
x331,0,0,0,1,1
x332,0,0,0,0,0
x336,0,0,0,1,0
x337,0,1,0,0,0
x339,0,1,0,1,1
x342,0,0,0,1,0
x346,0,0,0,1,0
x348,0,1,0,0,0
