,fp1,fp2,t1,fp3,init
x6,0,0,0,0,1
x7,0,1,0,1,0
x11,0,1,0,0,0
x12,0,0,0,0,0
x13,0,1,0,1,1
x15,0,0,0,0,0
x18,0,0,0,0,1
x20,0,1,0,1,0
x21,0,0,1,0,1
x22,0,1,1,0,0
x24,0,1,1,0,1
x25,0,1,0,1,0
x26,0,0,0,0,1
x27,0,1,1,0,1
x28,0,1,1,1,1
x34,0,0,0,0,1
x39,0,0,0,0,0
x40,0,1,0,1,1
x46,0,1,0,1,1
x47,0,0,1,0,1
x48,0,1,1,1,1
x52,0,0,0,0,0
x53,0,1,1,1,1
x54,0,1,0,1,1
x55,0,1,0,1,1
x56,0,1,0,0,0
x58,0,0,1,0,1
x60,0,1,1,1,1
x62,0,1,1,1,1
x63,0,1,0,0,0
x64,0,1,0,0,0
x65,0,1,0,1,0
x66,0,0,0,0,1
x67,0,1,0,0,1
x71,0,1,1,1,1
x75,0,0,1,0,1
x78,0,0,0,0,0
x79,0,0,0,0,0
x80,0,1,0,1,1
x81,0,0,1,0,1
x82,0,1,1,0,1
x84,0,1,1,0,1
x87,0,1,0,0,0
x88,0,1,0,1,0
x95,0,1,0,1,1
x96,0,1,1,1,1
x97,0,1,1,1,1
x99,0,1,1,1,1
x102,0,1,0,1,1
x103,0,1,1,1,1
x106,0,1,1,1,1
x108,0,0,0,0,1
x113,0,1,0,1,1
x115,0,1,1,1,1
x116,0,1,1,1,1
x119,0,0,1,0,1
x121,0,0,0,0,1
x122,0,1,1,0,1
x124,0,0,0,0,0
x0,1,0,0,0,1
x1,1,0,0,0,0
x2,1,0,0,0,1
x3,1,1,1,1,1
x4,1,0,0,0,1
x5,1,0,0,0,1
x8,1,0,1,0,1
x9,1,0,0,1,0
x10,1,0,0,0,1
x14,1,0,0,0,1
x16,1,1,1,1,1
x17,1,0,0,0,0
x19,1,0,0,1,0
x23,1,0,1,0,1
x29,1,1,0,1,0
x30,1,0,0,1,1
x31,1,1,0,1,0
x32,1,0,1,0,1
x33,1,0,0,0,1
x35,1,0,1,0,0
x36,1,0,1,0,1
x37,1,0,1,0,1
x38,1,1,1,1,1
x41,1,0,1,0,1
x42,1,1,0,1,0
x43,1,0,0,0,1
x44,1,0,0,0,0
x45,1,0,1,0,0
x49,1,0,1,0,1
x50,1,0,0,1,1
x51,1,0,1,0,1
x57,1,1,1,1,1
x59,1,0,1,0,1
x61,1,0,1,1,1
x68,1,1,1,1,1
x69,1,0,0,0,1
x70,1,1,1,1,1
x72,1,0,0,0,1
x73,1,0,1,1,1
x74,1,0,1,0,1
x76,1,0,1,0,1
x77,1,0,0,0,1
x83,1,0,1,0,0
x85,1,0,1,1,1
x86,1,0,1,0,1
x89,1,1,0,1,0
x90,1,0,1,0,1
x91,1,0,0,0,1
x92,1,1,1,1,1
x93,1,0,0,1,1
x94,1,0,1,0,1
x98,1,0,1,0,1
x100,1,1,1,1,1
x101,1,0,1,1,1
x104,1,1,0,1,0
x105,1,1,1,1,0
x107,1,0,0,0,1
x109,1,1,1,1,1
x110,1,0,0,0,1
x111,1,0,1,0,1
x112,1,0,0,0,1
x114,1,1,1,1,1
x117,1,0,0,1,1
x118,1,0,0,0,0
x120,1,1,1,1,1
x123,1,0,1,0,1
x125,1,0,1,0,1
x126,1,0,0,1,0
x127,1,1,1,1,1
