,fp2,fp1,t1,init,fp3
x5,0,0,0,0,0
x7,0,1,1,1,1
x8,0,0,0,1,0
x9,0,1,0,0,1
x14,0,0,1,1,0
x18,0,0,1,1,0
x19,0,0,1,1,0
x20,0,0,1,1,0
x23,0,1,1,1,1
x25,0,0,0,1,0
x26,0,1,1,1,1
x27,0,1,1,0,1
x28,0,1,1,1,1
x29,0,1,0,1,0
x30,0,0,1,1,0
x31,0,1,1,1,1
x32,0,0,1,1,0
x33,0,0,1,1,0
x34,0,0,1,1,0
x41,0,0,1,1,0
x46,0,0,0,0,0
x47,0,0,0,0,0
x48,0,1,0,0,1
x49,0,0,0,1,0
x50,0,1,1,0,1
x51,0,1,0,0,1
x53,0,0,0,0,0
x55,0,1,1,0,1
x58,0,0,1,1,0
x59,0,0,1,1,0
x60,0,0,1,1,0
x61,0,0,1,1,0
x63,0,0,1,1,0
x64,0,0,1,1,0
x65,0,0,1,1,0
x66,0,0,0,0,0
x67,0,0,1,1,0
x72,0,0,0,0,0
x73,0,0,1,1,0
x74,0,0,1,0,0
x76,0,0,0,0,0
x79,0,0,0,0,0
x84,0,0,0,1,0
x85,0,1,1,1,1
x86,0,0,1,1,0
x87,0,0,0,0,0
x90,0,1,0,1,1
x91,0,0,0,0,0
x92,0,0,1,1,0
x93,0,0,1,1,0
x95,0,0,1,0,0
x96,0,1,0,0,1
x101,0,0,0,0,0
x102,0,0,1,1,0
x106,0,1,0,0,1
x108,0,0,0,0,0
x111,0,0,0,0,0
x112,0,0,1,1,0
x113,0,0,1,0,0
x115,0,0,0,0,0
x116,0,0,1,0,0
x117,0,0,1,1,0
x119,0,0,0,0,0
x122,0,0,0,0,0
x125,0,1,0,0,1
x127,0,0,1,1,0
x0,1,0,1,1,0
x1,1,0,0,0,0
x2,1,0,0,0,0
x3,1,0,0,0,0
x4,1,0,0,0,0
x6,1,1,0,0,1
x10,1,0,1,1,0
x11,1,1,0,0,1
x12,1,1,1,0,1
x13,1,0,0,0,0
x15,1,1,0,1,1
x16,1,1,0,0,1
x17,1,0,0,0,0
x21,1,1,1,0,1
x22,1,1,0,1,1
x24,1,1,1,1,1
x35,1,1,1,0,1
x36,1,0,0,0,0
x37,1,1,1,1,1
x38,1,1,1,1,1
x39,1,1,1,1,1
x40,1,1,0,0,1
x42,1,0,1,1,0
x43,1,1,1,1,1
x44,1,0,0,1,1
x45,1,1,1,1,1
x52,1,1,0,0,1
x54,1,0,0,1,0
x56,1,0,1,1,0
x57,1,1,1,1,1
x62,1,1,0,0,1
x68,1,1,0,1,1
x69,1,1,0,0,1
x70,1,0,0,1,0
x71,1,1,1,1,1
x75,1,1,1,0,1
x77,1,1,1,0,1
x78,1,0,1,1,0
x80,1,0,0,0,0
x81,1,0,1,0,0
x82,1,1,0,1,1
x83,1,1,0,0,1
x88,1,1,1,1,1
x89,1,0,1,1,0
x94,1,0,0,1,0
x97,1,1,1,1,1
x98,1,1,1,1,1
x99,1,0,0,0,0
x100,1,0,0,0,0
x103,1,0,1,1,0
x104,1,1,1,1,1
x105,1,1,0,0,1
x107,1,1,0,0,1
x109,1,1,1,0,1
x110,1,0,1,1,0
x114,1,1,1,1,1
x118,1,0,0,0,0
x120,1,1,1,1,1
x121,1,1,1,1,1
x123,1,0,0,0,0
x124,1,1,1,1,1
x126,1,1,0,0,1
