,t1,fp2,fp3,fp1,init
x0,0,1,1,1,0
x6,0,0,1,0,0
x9,0,0,0,0,0
x12,0,0,0,0,1
x13,0,1,1,1,0
x14,0,1,1,1,1
x15,0,0,0,1,0
x16,0,0,1,0,0
x27,0,1,0,1,0
x29,0,0,0,0,0
x30,0,0,0,0,1
x31,0,1,0,0,1
x34,0,0,0,1,1
x35,0,0,1,1,0
x36,0,0,0,0,1
x37,0,0,0,0,0
x38,0,0,0,0,0
x40,0,1,1,1,0
x41,0,0,0,0,0
x43,0,0,1,0,0
x44,0,0,0,0,0
x47,0,0,0,0,0
x50,0,0,0,0,0
x52,0,0,0,0,0
x53,0,0,0,0,0
x55,0,0,0,0,1
x59,0,1,0,1,1
x60,0,0,1,1,0
x62,0,0,0,0,0
x63,0,0,0,0,0
x64,0,0,1,0,0
x65,0,1,0,1,0
x70,0,1,1,1,1
x71,0,0,0,0,0
x72,0,0,1,0,0
x76,0,1,1,1,0
x77,0,0,0,0,0
x79,0,0,0,0,0
x80,0,1,1,1,0
x83,0,0,0,0,0
x84,0,1,1,1,0
x89,0,0,1,1,1
x92,0,0,0,0,0
x93,0,0,0,0,1
x95,0,1,1,1,0
x98,0,0,0,0,0
x107,0,0,0,0,0
x108,0,1,1,1,0
x112,0,0,0,0,1
x113,0,0,0,0,0
x114,0,0,1,1,0
x120,0,1,0,1,1
x121,0,1,1,1,0
x122,0,1,0,1,1
x124,0,1,1,1,0
x126,0,0,0,0,0
x129,0,0,0,0,0
x130,0,1,1,1,0
x131,0,1,1,1,0
x132,0,0,1,0,0
x134,0,0,0,0,0
x136,0,0,1,0,1
x138,0,0,0,0,0
x140,0,0,0,0,0
x143,0,0,1,0,1
x147,0,1,0,1,1
x151,0,0,0,0,0
x152,0,0,0,0,0
x154,0,0,0,0,0
x156,0,1,1,1,0
x160,0,0,1,1,0
x162,0,0,0,1,1
x163,0,0,0,0,0
x164,0,1,1,0,1
x166,0,0,0,0,0
x169,0,1,1,1,1
x173,0,1,1,1,0
x174,0,0,0,1,1
x180,0,0,0,0,0
x181,0,1,1,1,1
x184,0,1,1,1,0
x186,0,1,1,0,1
x188,0,1,1,1,0
x189,0,0,0,0,0
x191,0,0,0,0,0
x1,1,1,1,0,0
x2,1,0,0,0,1
x3,1,0,1,0,0
x4,1,0,0,0,1
x5,1,0,1,1,0
x7,1,1,0,1,0
x8,1,1,0,1,1
x10,1,0,0,0,0
x11,1,1,1,1,0
x17,1,0,0,0,1
x18,1,0,0,0,1
x19,1,1,1,0,0
x20,1,1,0,1,1
x21,1,1,0,1,1
x22,1,0,0,0,1
x23,1,0,0,0,1
x24,1,1,1,0,0
x25,1,1,0,0,0
x26,1,1,0,1,1
x28,1,1,1,1,1
x32,1,1,1,1,1
x33,1,1,1,1,1
x39,1,0,1,1,1
x42,1,0,1,0,0
x45,1,1,0,1,1
x46,1,0,0,0,1
x48,1,0,0,0,1
x49,1,0,0,0,1
x51,1,0,0,0,1
x54,1,0,0,0,1
x56,1,0,0,0,1
x57,1,1,1,1,1
x58,1,0,0,0,1
x61,1,1,0,1,1
x66,1,1,1,1,1
x67,1,0,0,0,1
x68,1,1,0,1,1
x69,1,1,1,1,0
x73,1,0,0,0,1
x74,1,0,0,0,1
x75,1,0,0,0,1
x78,1,1,0,0,0
x81,1,1,1,1,1
x82,1,1,1,1,0
x85,1,0,0,0,0
x86,1,1,0,0,1
x87,1,0,0,0,1
x88,1,0,0,0,0
x90,1,1,1,1,1
x91,1,0,0,0,1
x94,1,0,0,1,1
x96,1,0,0,0,1
x97,1,0,0,1,0
x99,1,0,0,0,1
x100,1,1,1,1,1
x101,1,1,0,1,1
x102,1,0,0,0,1
x103,1,1,0,1,1
x104,1,1,1,1,1
x105,1,1,0,1,0
x106,1,1,1,1,1
x109,1,0,0,0,1
x110,1,0,1,1,1
x111,1,1,0,1,1
x115,1,1,0,1,1
x116,1,1,0,0,1
x117,1,0,1,0,0
x118,1,0,0,1,1
x119,1,1,0,0,1
x123,1,1,1,1,0
x125,1,0,1,0,0
x127,1,1,1,1,1
x128,1,0,0,0,1
x133,1,0,0,0,0
x135,1,0,0,1,1
x137,1,1,0,1,1
x139,1,0,0,1,0
x141,1,1,1,1,1
x142,1,0,0,1,0
x144,1,0,0,0,0
x145,1,1,0,1,0
x146,1,1,1,1,1
x148,1,0,0,0,1
x149,1,1,1,0,1
x150,1,0,0,0,1
x153,1,0,0,0,0
x155,1,0,0,1,1
x157,1,0,0,0,0
x158,1,0,0,1,0
x159,1,1,1,1,1
x161,1,1,1,1,1
x165,1,0,0,0,1
x167,1,1,0,0,0
x168,1,1,1,1,1
x170,1,1,1,1,1
x171,1,0,0,0,1
x172,1,0,0,0,1
x175,1,0,0,0,0
x176,1,0,0,0,1
x177,1,0,0,0,0
x178,1,0,0,1,1
x179,1,0,0,0,0
x182,1,1,1,1,1
x183,1,1,0,1,1
x185,1,0,0,0,1
x187,1,1,1,1,1
x190,1,1,1,1,1
