,fp1,init,fp3,t1,fp2
x0,0,1,0,1,1
x3,0,0,1,1,1
x5,0,0,1,0,1
x8,0,1,1,1,1
x11,0,0,1,1,1
x13,0,0,0,1,1
x14,0,1,1,1,1
x16,0,0,1,0,1
x17,0,1,0,0,0
x23,0,1,1,0,1
x25,0,1,0,0,0
x30,0,0,1,1,1
x31,0,0,0,0,0
x32,0,1,0,1,0
x34,0,1,1,1,1
x35,0,0,1,1,1
x36,0,1,0,1,0
x39,0,0,0,1,0
x40,0,1,0,1,1
x43,0,1,1,0,1
x44,0,1,0,1,0
x45,0,1,1,1,1
x48,0,1,0,0,0
x50,0,0,0,1,0
x51,0,1,1,1,1
x53,0,1,0,0,0
x54,0,1,1,1,1
x55,0,1,0,1,0
x57,0,0,0,1,0
x59,0,1,0,1,0
x60,0,0,0,0,0
x62,0,1,0,1,0
x64,0,0,1,1,1
x66,0,1,1,0,1
x75,0,1,0,1,0
x76,0,1,1,1,1
x79,0,0,1,0,1
x80,0,0,1,0,1
x83,0,0,0,1,0
x84,0,0,1,0,1
x85,0,1,0,1,0
x88,0,1,0,0,0
x92,0,1,1,1,1
x96,0,0,1,0,1
x99,0,0,0,0,0
x103,0,0,0,0,0
x104,0,0,0,0,0
x105,0,1,1,1,1
x106,0,1,0,1,0
x108,0,0,0,0,0
x110,0,0,1,0,1
x112,0,1,0,0,0
x114,0,0,1,0,1
x118,0,0,1,0,1
x119,0,0,0,0,0
x120,0,1,0,0,0
x124,0,0,0,0,0
x125,0,1,0,1,0
x127,0,1,0,0,0
x129,0,1,0,1,0
x131,0,1,1,1,1
x133,0,0,1,1,1
x136,0,0,1,0,1
x137,0,1,1,1,1
x138,0,1,1,1,1
x141,0,0,1,1,1
x144,0,0,0,1,0
x145,0,1,0,1,0
x147,0,0,0,0,0
x148,0,0,0,0,0
x149,0,1,0,1,0
x151,0,0,0,0,0
x152,0,0,0,0,0
x153,0,0,0,0,0
x157,0,1,1,1,1
x159,0,1,0,1,0
x162,0,1,0,1,0
x163,0,0,0,0,0
x173,0,0,0,0,1
x174,0,1,1,1,1
x175,0,1,0,0,0
x177,0,1,0,0,0
x180,0,1,0,0,0
x181,0,0,0,1,0
x182,0,0,1,0,1
x184,0,0,0,0,0
x187,0,0,0,0,0
x188,0,1,1,0,1
x193,0,1,1,0,1
x196,0,0,0,0,0
x197,0,0,0,1,0
x198,0,0,0,0,0
x200,0,1,1,0,1
x202,0,0,1,0,1
x203,0,1,1,0,1
x204,0,0,1,0,1
x207,0,0,1,0,1
x208,0,0,1,1,1
x212,0,1,0,1,0
x215,0,0,0,1,0
x218,0,1,0,1,0
x220,0,0,1,0,1
x221,0,0,0,0,0
x223,0,0,0,0,0
x224,0,0,1,0,1
x230,0,1,1,1,1
x232,0,1,0,1,1
x233,0,1,0,0,1
x234,0,0,0,0,0
x237,0,1,0,1,0
x238,0,0,0,0,0
x242,0,1,1,0,1
x245,0,0,0,1,0
x249,0,1,0,1,0
x251,0,0,0,0,0
x254,0,0,1,0,1
x255,0,1,0,1,1
x256,0,0,0,0,0
x257,0,1,0,0,0
x261,0,0,0,0,1
x264,0,0,1,0,1
x265,0,0,0,1,0
x266,0,1,1,1,1
x268,0,1,1,1,1
x270,0,1,0,1,0
x272,0,1,1,1,1
x274,0,0,1,1,1
x278,0,0,0,1,0
x281,0,0,1,1,1
x282,0,1,0,1,0
x283,0,1,0,1,0
x284,0,0,0,0,0
x285,0,0,0,0,0
x286,0,0,1,0,1
x287,0,0,0,0,0
x288,0,1,0,1,0
x290,0,0,0,0,0
x291,0,0,0,0,0
x293,0,0,0,0,0
x298,0,0,1,0,1
x299,0,1,0,0,0
x300,0,0,1,1,1
x302,0,1,0,1,0
x303,0,1,0,1,0
x305,0,1,1,1,1
x307,0,0,1,0,1
x308,0,1,1,1,1
x309,0,0,1,0,1
x310,0,1,0,0,0
x311,0,0,0,0,0
x312,0,0,0,0,1
x315,0,0,0,1,0
x317,0,0,0,0,0
x318,0,0,0,0,0
x319,0,1,0,1,0
x321,0,0,0,0,0
x322,0,0,1,1,1
x326,0,0,0,1,1
x327,0,0,0,0,0
x329,0,0,1,0,1
x332,0,0,0,0,0
x333,0,1,1,0,1
x336,0,0,0,0,0
x337,0,0,0,0,0
x338,0,1,1,1,1
x339,0,0,0,0,0
x340,0,0,0,0,0
x342,0,0,0,0,0
x343,0,0,0,0,0
x347,0,1,1,0,1
x349,0,0,0,0,0
x350,0,0,0,0,0
x354,0,0,1,0,1
x355,0,0,0,0,0
x356,0,0,0,1,0
x363,0,0,1,0,1
x370,0,0,0,0,0
x372,0,0,1,1,1
x375,0,1,1,1,1
x381,0,1,0,1,0
x1,1,1,0,0,0
x2,1,1,0,0,0
x4,1,1,0,0,0
x6,1,1,1,0,1
x7,1,0,1,0,1
x9,1,0,1,1,0
x10,1,1,1,1,1
x12,1,1,1,1,1
x15,1,0,0,0,0
x18,1,0,1,1,1
x19,1,0,1,0,1
x20,1,1,0,0,0
x21,1,0,1,0,1
x22,1,0,1,1,1
x24,1,0,1,0,1
x26,1,1,0,1,0
x27,1,0,1,0,1
x28,1,0,1,0,1
x29,1,0,1,0,1
x33,1,0,1,0,1
x37,1,0,1,1,1
x38,1,0,1,1,1
x41,1,1,1,1,1
x42,1,1,1,1,1
x46,1,1,1,0,0
x47,1,1,1,1,1
x49,1,0,1,1,0
x52,1,0,1,0,1
x56,1,0,0,1,0
x58,1,0,0,1,0
x61,1,1,1,0,0
x63,1,0,1,0,1
x65,1,1,1,0,1
x67,1,0,0,0,0
x68,1,1,1,1,1
x69,1,0,0,1,0
x70,1,1,1,1,1
x71,1,1,1,1,1
x72,1,1,1,1,1
x73,1,0,1,0,1
x74,1,0,0,0,0
x77,1,0,0,1,0
x78,1,1,1,1,1
x81,1,0,1,1,1
x82,1,1,1,0,1
x86,1,1,1,1,1
x87,1,1,0,0,0
x89,1,1,0,0,0
x90,1,1,1,0,1
x91,1,1,1,1,1
x93,1,1,1,1,1
x94,1,1,0,1,0
x95,1,1,1,0,1
x97,1,0,1,0,1
x98,1,0,1,0,0
x100,1,1,1,1,1
x101,1,0,1,0,1
x102,1,0,1,0,1
x107,1,0,1,0,1
x109,1,1,1,1,1
x111,1,0,0,1,0
x113,1,1,0,1,0
x115,1,1,0,1,0
