,init,fp3,fp2,fp1,t1
x2,0,0,0,1,0
x3,0,0,0,1,0
x5,0,1,0,0,0
x6,0,0,0,1,0
x9,0,1,1,0,1
x11,0,0,0,0,0
x12,0,0,0,0,0
x14,0,0,0,0,0
x16,0,0,0,1,1
x18,0,0,0,0,0
x19,0,1,0,1,1
x23,0,1,1,1,1
x24,0,0,0,0,0
x28,0,1,1,1,1
x29,0,1,1,1,0
x31,0,1,1,1,0
x33,0,0,0,1,0
x35,0,1,1,1,1
x36,0,1,1,1,0
x38,0,1,1,1,1
x46,0,1,1,1,0
x48,0,0,0,1,0
x50,0,0,0,1,1
x52,0,1,1,0,0
x53,0,1,1,1,1
x56,0,0,0,1,0
x57,0,0,0,0,1
x58,0,1,1,1,0
x59,0,1,1,1,0
x60,0,1,1,1,0
x62,0,1,1,1,1
x64,0,1,1,1,1
x65,0,0,0,1,1
x67,0,1,1,1,0
x68,0,1,1,1,1
x70,0,0,0,1,1
x71,0,0,0,1,0
x73,0,1,1,1,0
x74,0,1,1,1,0
x78,0,0,1,0,1
x82,0,0,0,0,0
x83,0,1,1,1,0
x89,0,0,0,0,0
x90,0,1,1,0,0
x93,0,1,1,1,0
x95,0,0,0,0,0
x96,0,1,1,1,1
x98,0,1,1,1,1
x101,0,1,0,0,1
x102,0,0,0,0,0
x104,0,1,1,1,1
x107,0,1,1,0,0
x110,0,1,0,1,1
x111,0,1,1,1,1
x112,0,1,1,1,0
x113,0,0,0,0,1
x114,0,0,0,1,0
x115,0,0,0,0,0
x118,0,1,1,0,0
x119,0,1,1,1,0
x120,0,0,0,0,1
x121,0,1,1,1,0
x122,0,0,0,0,0
x123,0,0,0,1,0
x124,0,1,1,1,0
x125,0,1,1,1,1
x128,0,1,1,1,0
x129,0,1,1,0,0
x131,0,0,0,0,1
x133,0,0,0,0,0
x135,0,1,1,1,0
x142,0,0,0,0,0
x144,0,1,1,0,0
x145,0,0,0,0,0
x147,0,1,1,1,1
x149,0,0,0,0,0
x150,0,1,1,0,1
x151,0,0,0,0,1
x152,0,1,1,0,0
x153,0,1,1,1,0
x155,0,1,1,0,1
x158,0,1,1,1,0
x159,0,1,1,1,0
x162,0,1,1,1,0
x166,0,1,1,0,1
x169,0,1,1,1,0
x170,0,1,1,1,1
x172,0,1,1,0,0
x177,0,0,0,1,1
x178,0,1,1,1,0
x179,0,1,1,1,0
x180,0,0,0,0,1
x182,0,0,0,0,0
x186,0,1,1,0,0
x187,0,0,0,1,0
x190,0,1,1,1,0
x191,0,0,0,0,0
x192,0,1,1,1,0
x193,0,0,0,0,0
x195,0,0,0,0,1
x196,0,0,0,0,1
x197,0,1,1,1,1
x200,0,1,1,1,0
x201,0,1,1,1,0
x207,0,0,0,1,0
x209,0,1,1,1,1
x211,0,0,0,0,0
x216,0,0,0,0,0
x218,0,1,1,1,0
x222,0,0,0,0,1
x225,0,0,0,1,0
x231,0,1,1,0,0
x233,0,1,1,0,0
x236,0,1,1,1,0
