,init,t1,fp1,fp3,fp2
x3,0,0,1,0,0
x6,0,0,1,0,0
x7,0,0,1,1,1
x8,0,1,0,1,1
x11,0,1,1,0,1
x13,0,1,0,1,1
x14,0,0,0,0,0
x17,0,1,0,1,0
x18,0,0,1,0,0
x20,0,0,1,0,0
x21,0,0,0,1,1
x23,0,0,1,0,0
x28,0,1,0,1,1
x29,0,1,0,1,0
x31,0,1,1,1,1
x33,0,0,1,1,1
x35,0,0,1,1,1
x36,0,1,1,1,1
x38,0,1,0,1,1
x39,0,0,0,0,0
x42,0,0,1,0,1
x43,0,0,0,1,1
x46,0,1,1,1,1
x47,0,1,1,1,1
x48,0,0,1,1,1
x51,0,0,1,0,0
x52,0,0,0,0,0
x53,0,0,1,1,1
x55,0,0,0,0,0
x57,0,1,1,1,1
x58,0,1,0,1,1
x59,0,1,1,1,1
x61,0,0,1,0,0
x63,0,0,0,1,1
x64,0,0,1,1,1
x68,0,0,1,1,1
x70,0,0,0,1,1
x77,0,0,0,0,0
x78,0,0,1,1,1
x79,0,0,1,1,1
x81,0,0,1,1,1
x87,0,0,0,1,1
x90,0,0,0,1,1
x92,0,0,1,1,1
x93,0,0,0,0,0
x95,0,1,1,0,0
x98,0,1,1,0,0
x100,0,0,1,0,0
x101,0,0,1,0,0
x102,0,0,1,0,0
x108,0,1,1,1,1
x110,0,0,1,1,1
x111,0,0,0,0,0
x113,0,0,0,0,0
x115,0,0,0,1,1
x116,0,0,0,0,0
x117,0,0,0,1,1
x118,0,1,1,0,0
x120,0,1,0,1,1
x122,0,1,1,0,0
x123,0,0,0,1,1
x124,0,0,0,0,0
x126,0,0,1,0,1
x127,0,0,0,1,1
x128,0,0,0,0,0
x129,0,0,1,0,1
x130,0,1,1,1,1
x131,0,1,1,0,1
x137,0,0,0,0,0
x138,0,0,1,1,1
x140,0,0,0,1,0
x141,0,0,0,0,0
x143,0,0,0,0,0
x148,0,1,1,0,0
x150,0,1,1,1,1
x152,0,0,1,1,1
x155,0,0,1,0,0
x157,0,0,0,1,1
x158,0,1,1,1,1
x159,0,0,0,1,1
x160,0,0,1,1,1
x162,0,0,1,1,1
x163,0,0,0,0,0
x166,0,0,0,0,0
x167,0,0,0,1,1
x169,0,1,1,1,1
x171,0,1,0,0,0
x173,0,0,0,0,0
x174,0,0,1,1,1
x176,0,0,0,0,0
x178,0,1,1,0,0
x179,0,1,1,1,1
x180,0,0,1,1,1
x181,0,0,0,0,0
x182,0,0,0,1,1
x183,0,0,0,1,1
x184,0,1,1,0,0
x185,0,0,1,1,1
x186,0,0,0,0,0
x187,0,1,0,0,0
x189,0,0,0,1,1
x190,0,0,0,1,1
x191,0,0,0,0,0
x192,0,1,1,0,0
x194,0,0,0,0,0
x195,0,1,1,0,0
x196,0,1,0,0,0
x197,0,1,1,0,0
x199,0,1,0,0,0
x200,0,0,0,0,0
x201,0,0,1,1,1
x202,0,0,1,0,0
x203,0,1,1,1,1
x204,0,0,0,1,0
x205,0,0,1,1,1
x206,0,1,1,1,1
x207,0,0,0,1,1
x209,0,0,0,1,1
x213,0,0,1,1,1
x214,0,0,1,1,1
x215,0,1,0,1,1
x216,0,0,0,1,1
x217,0,0,1,0,0
x218,0,0,1,1,1
x219,0,1,1,1,1
x221,0,1,0,0,0
x224,0,0,0,1,1
x227,0,0,1,1,1
x228,0,1,1,0,0
x229,0,0,0,1,1
x230,0,0,0,0,0
x231,0,1,1,1,1
x232,0,0,1,0,0
x233,0,0,0,1,1
x234,0,1,0,1,1
x235,0,1,1,0,0
x241,0,0,0,0,0
x242,0,0,1,1,1
x244,0,0,0,0,0
x245,0,0,0,1,1
x246,0,0,1,1,1
x247,0,0,0,0,0
x248,0,1,0,0,0
x250,0,1,0,1,1
x251,0,0,1,1,1
x252,0,0,1,1,1
x257,0,1,1,0,0
x259,0,0,1,1,1
x261,0,1,1,0,0
x262,0,1,0,1,0
x265,0,0,1,1,1
x266,0,0,1,0,0
x269,0,0,0,1,1
x270,0,1,0,0,0
x272,0,0,0,1,1
x273,0,0,0,0,0
x274,0,0,1,1,1
x276,0,0,0,0,0
x277,0,0,0,0,0
x278,0,0,1,1,1
x279,0,1,0,0,0
x280,0,1,1,1,1
x281,0,1,0,1,1
x282,0,1,0,0,0
x284,0,0,0,0,0
x287,0,0,1,1,1
x289,0,0,0,1,1
x290,0,0,1,0,0
x291,0,0,1,1,1
x294,0,0,1,0,0
x295,0,0,0,0,0
x296,0,1,1,1,1
x301,0,1,1,0,0
x302,0,0,0,0,0
x303,0,0,1,0,0
x306,0,0,0,1,1
x308,0,0,0,0,0
x309,0,0,0,1,1
x312,0,0,0,0,0
x314,0,1,0,0,0
x315,0,0,0,1,1
x317,0,1,0,1,1
x318,0,0,1,1,1
x320,0,0,0,0,0
x321,0,0,0,0,0
x323,0,0,0,0,0
x327,0,0,0,1,1
x328,0,1,0,0,0
x330,0,1,1,0,0
x334,0,0,1,1,1
x336,0,0,0,0,0
x338,0,0,0,1,1
x341,0,1,1,1,1
x342,0,0,0,1,1
x345,0,1,1,0,1
x347,0,0,0,1,1
x350,0,0,0,1,1
x352,0,0,1,1,1
x355,0,0,0,1,1
x356,0,0,1,1,1
x357,0,0,1,1,1
x358,0,0,0,1,1
x359,0,0,1,1,1
x360,0,0,0,0,0
x361,0,1,0,1,1
x365,0,1,1,0,0
x366,0,1,1,0,0
x367,0,0,0,1,1
x370,0,1,1,1,1
x371,0,0,1,1,1
x372,0,1,1,1,1
x374,0,0,0,0,0
x375,0,0,0,1,1
x376,0,0,1,1,1
x377,0,0,0,0,0
x380,0,0,1,0,0
x381,0,0,1,0,0
x386,0,0,1,1,1
x387,0,0,0,0,0
x388,0,0,0,0,0
x389,0,1,0,0,0
x393,0,0,0,1,1
x394,0,0,0,1,1
x395,0,0,0,0,0
x396,0,0,0,1,1
x402,0,0,0,1,1
x403,0,0,0,1,0
x404,0,0,1,1,1
x405,0,0,1,1,1
x406,0,0,1,1,1
x409,0,0,0,0,0
x412,0,0,1,1,1
x413,0,0,1,1,1
x415,0,0,1,1,1
x417,0,0,1,1,1
x418,0,0,0,1,1
x421,0,1,1,0,0
x424,0,1,1,0,1
x425,0,1,0,1,1
x426,0,0,0,1,1
x427,0,0,0,1,0
x431,0,0,0,0,0
x434,0,0,0,1,1
x436,0,1,1,0,1
x437,0,0,1,0,1
x439,0,0,1,1,1
x440,0,0,0,0,0
x441,0,0,1,1,1
x442,0,0,0,0,0
x443,0,1,1,0,0
x448,0,0,0,1,1
x450,0,1,0,0,0
x451,0,0,0,1,1
x452,0,1,1,1,1
x453,0,0,1,0,0
x459,0,1,0,1,1
x462,0,1,1,1,1
x463,0,0,0,1,1
x465,0,0,1,1,1
x468,0,1,0,0,0
x469,0,1,0,0,0
x470,0,1,0,0,0
x471,0,0,0,0,0
x472,0,1,1,0,1
x473,0,0,1,0,0
x474,0,1,0,0,0
x475,0,0,0,0,0
x477,0,1,1,1,1
x478,0,1,1,1,1
x480,0,1,1,0,1
x482,0,1,1,1,1
x485,0,0,0,0,0
x486,0,0,0,0,0
x488,0,0,1,1,1
x489,0,0,0,1,1
x490,0,1,1,1,1
x491,0,0,0,1,1
x492,0,0,1,1,1
x493,0,1,1,1,1
x494,0,0,1,0,0
x496,0,0,1,1,1
x497,0,0,0,1,1
x499,0,0,1,0,0
x500,0,0,0,1,1
x501,0,0,0,0,0
x502,0,0,1,1,1
x503,0,0,0,0,0
x506,0,0,1,0,0
x509,0,0,0,0,0
x511,0,0,0,0,0
x0,1,1,0,1,1
x1,1,1,0,1,0
x2,1,0,0,1,0
x4,1,1,1,1,1
x5,1,1,1,0,0
x9,1,1,0,1,1
x10,1,1,1,1,1
x12,1,1,1,0,0
x15,1,1,1,1,1
x16,1,1,0,1,1
x19,1,1,1,0,0
x22,1,0,0,0,0
x24,1,1,0,0,0
x25,1,1,1,1,1
x26,1,0,0,1,1
x27,1,1,0,1,1
x30,1,1,1,1,1
x32,1,1,0,1,1
x34,1,1,0,0,0
x37,1,0,0,0,0
x40,1,1,1,1,1
x41,1,1,1,1,1
x44,1,0,1,0,0
x45,1,1,0,1,1
x49,1,1,1,1,1
x50,1,1,1,1,1
x54,1,1,0,0,0
x56,1,1,1,1,1
x60,1,0,1,0,1
x62,1,1,1,0,0
x65,1,1,0,0,0
x66,1,0,1,1,1
x67,1,1,0,0,0
x69,1,1,0,0,0
x71,1,1,1,1,1
x72,1,0,1,0,0
x73,1,1,0,1,1
x74,1,0,1,1,1
x75,1,1,0,0,0
x76,1,0,1,1,1
x80,1,0,0,1,0
x82,1,1,0,0,0
x83,1,1,1,1,1
x84,1,1,1,1,1
x85,1,1,0,0,0
x86,1,1,0,0,0
x88,1,1,0,1,1
x89,1,0,1,0,1
x91,1,1,1,0,0
x94,1,1,0,0,0
x96,1,1,0,0,0
x97,1,1,1,1,1
x99,1,1,1,1,1
x103,1,1,0,1,1
x104,1,0,0,0,0
x105,1,1,1,1,1
x106,1,1,1,0,0
x107,1,1,0,0,0
x109,1,1,0,1,1
x112,1,0,1,1,1
x114,1,1,1,0,0
x119,1,1,0,0,0
x121,1,0,0,0,0
x125,1,1,1,1,1
x132,1,1,1,0,0
x133,1,1,0,0,0
x134,1,0,1,1,0
x135,1,0,1,1,1
x136,1,1,1,1,1
x139,1,1,1,0,1
x142,1,1,1,1,1
x144,1,1,0,0,0
x145,1,1,0,0,0
x146,1,1,1,0,0
x147,1,1,1,1,1
x149,1,1,0,0,0
x151,1,1,0,0,0
x153,1,0,0,0,0
x154,1,0,0,0,0
x156,1,1,0,1,1
x161,1,1,0,0,0
x164,1,1,1,0,1
x165,1,0,1,1,1
x168,1,1,0,1,0
x170,1,1,0,0,0
x172,1,1,1,0,0
x175,1,1,0,0,0
x177,1,0,0,0,0
x188,1,1,0,0,0
x193,1,0,0,1,1
x198,1,0,0,1,1
x208,1,1,1,1,1
x210,1,0,1,1,1
x211,1,0,0,1,1
x212,1,1,0,1,1
x220,1,1,1,1,1
x222,1,1,1,0,0
x223,1,1,0,1,1
x225,1,1,0,1,0
x226,1,1,1,0,0
x236,1,1,1,0,0
x237,1,1,0,1,1
x238,1,0,1,1,1
x239,1,0,0,0,0
x240,1,1,1,1,1
x243,1,1,1,0,0
x249,1,1,1,0,1
x253,1,1,0,0,0
x254,1,1,1,1,1
x255,1,1,0,0,0
x256,1,1,0,1,1
x258,1,1,1,1,1
x260,1,1,1,1,1
x263,1,1,1,0,0
x264,1,0,0,1,1
x267,1,0,0,0,0
x268,1,1,0,1,1
x271,1,0,1,1,1
x275,1,1,0,0,0
x283,1,0,0,0,0
x285,1,1,0,0,0
x286,1,1,1,1,1
x288,1,1,0,0,0
x292,1,1,1,1,1
x293,1,1,0,1,1
x297,1,1,1,1,1
x298,1,0,0,1,1
x299,1,0,1,1,1
x300,1,1,0,0,0
x304,1,1,0,1,1
x305,1,1,1,0,0
x307,1,1,1,1,1
x310,1,1,1,1,1
x311,1,1,0,0,0
x313,1,1,0,1,1
x316,1,0,1,1,1
x319,1,1,1,0,0
x322,1,1,1,0,0
x324,1,1,1,0,0
x325,1,1,0,1,0
x326,1,1,1,1,1
x329,1,1,0,0,0
x331,1,1,1,1,1
x332,1,1,0,0,0
x333,1,1,0,1,1
x335,1,1,0,0,0
x337,1,1,0,0,0
x339,1,0,0,1,1
x340,1,0,0,1,1
x343,1,1,0,1,1
x344,1,0,0,1,1
x346,1,1,1,1,1
x348,1,1,0,0,0
x349,1,1,1,0,0
x351,1,1,1,0,0
