,init,fp1,t1,fp2,fp3
x0,0,1,1,1,1
x4,0,1,0,1,1
x7,0,0,0,0,0
x8,0,1,1,1,1
x10,0,0,0,0,0
x11,0,1,1,1,1
x13,0,1,0,1,1
x15,0,1,0,0,0
x16,0,0,0,0,0
x19,0,1,0,0,0
x20,0,1,0,0,0
x21,0,1,1,1,1
x25,0,1,0,1,1
x26,0,1,0,1,1
x27,0,1,0,0,1
x28,0,1,1,1,1
x29,0,0,0,0,0
x34,0,0,0,0,0
x35,0,1,0,1,1
x37,0,1,0,1,1
x39,0,0,0,1,0
x43,0,1,0,1,1
x44,0,0,0,0,0
x46,0,0,1,1,1
x47,0,1,1,1,1
x49,0,0,0,1,1
x50,0,0,0,0,0
x53,0,1,1,1,1
x55,0,1,0,0,1
x56,0,1,1,0,0
x57,0,1,1,1,1
x61,0,1,1,1,1
x62,0,0,0,1,0
x66,0,0,0,0,0
x67,0,0,0,0,0
x68,0,1,1,1,1
x72,0,1,0,1,1
x76,0,0,0,0,0
x77,0,1,1,1,1
x79,0,0,0,1,1
x80,0,1,1,1,1
x81,0,1,0,1,1
x84,0,0,1,1,1
x85,0,1,1,0,0
x88,0,0,1,1,1
x91,0,1,0,1,1
x92,0,1,0,0,0
x96,0,1,1,1,1
x100,0,1,1,0,1
x101,0,1,0,1,1
x102,0,0,0,0,0
x103,0,1,1,1,1
x104,0,0,1,0,0
x105,0,1,0,1,1
x106,0,1,0,0,0
x107,0,1,0,1,1
x108,0,1,1,1,1
x109,0,0,0,0,0
x113,0,0,0,0,0
x114,0,1,0,0,1
x116,0,1,0,1,1
x117,0,0,0,1,1
x119,0,0,1,0,0
x120,0,1,0,1,1
x122,0,1,0,1,1
x124,0,0,0,0,0
x125,0,0,0,0,0
x126,0,1,0,1,1
x127,0,0,0,1,1
x128,0,1,0,1,1
x129,0,1,1,1,1
x130,0,1,1,0,1
x132,0,0,1,0,0
x134,0,1,1,0,0
x136,0,0,1,1,1
x137,0,0,0,0,0
x140,0,1,1,0,0
x141,0,0,0,0,0
x142,0,0,0,0,0
x143,0,1,0,1,1
x145,0,0,0,0,0
x146,0,0,1,1,1
x148,0,0,0,0,0
x150,0,1,1,0,0
x157,0,1,0,1,1
x159,0,1,1,1,1
x160,0,0,0,0,0
x163,0,0,1,0,0
x164,0,0,0,1,1
x167,0,1,0,1,1
x168,0,0,0,0,0
x171,0,0,1,0,0
x172,0,1,0,1,1
x175,0,0,0,0,0
x176,0,0,0,0,0
x177,0,0,0,0,0
x184,0,1,0,0,0
x185,0,0,1,1,0
x186,0,0,0,0,0
x187,0,0,1,1,0
x188,0,1,0,1,1
x189,0,1,0,0,0
x193,0,0,0,0,0
x195,0,0,0,0,0
x196,0,1,0,1,1
x197,0,1,0,1,1
x198,0,1,0,0,0
x200,0,1,0,1,1
x201,0,1,0,1,1
x203,0,1,0,1,1
x207,0,0,0,0,0
x209,0,1,0,1,1
x211,0,0,0,0,0
x212,0,0,0,0,0
x213,0,1,0,1,1
x214,0,0,1,0,0
x215,0,0,1,1,0
x216,0,1,1,1,1
x217,0,0,0,0,0
x219,0,0,1,0,0
x222,0,1,1,0,1
x223,0,0,0,1,1
x225,0,1,0,1,1
x227,0,1,0,1,1
x228,0,0,0,0,0
x229,0,0,0,0,0
x233,0,1,1,1,1
x235,0,0,0,1,1
x238,0,1,0,1,1
x239,0,0,0,0,0
x242,0,0,0,0,0
x243,0,0,0,0,0
x244,0,0,0,0,0
x246,0,0,0,0,0
x250,0,0,1,0,0
x251,0,0,1,0,0
x253,0,1,1,1,1
x254,0,1,1,1,1
x255,0,1,1,0,0
x258,0,0,0,0,0
x260,0,0,0,0,0
x262,0,0,1,0,0
x264,0,1,0,1,1
x265,0,1,0,1,1
x266,0,0,1,0,0
x272,0,1,0,0,0
x276,0,1,1,0,1
x277,0,0,0,0,0
x283,0,1,0,1,1
x284,0,1,0,1,1
x286,0,0,0,0,0
x288,0,1,1,0,0
x290,0,0,0,0,0
x291,0,0,0,0,0
x294,0,0,0,0,0
x296,0,0,1,0,0
x297,0,0,1,1,1
x303,0,0,0,0,0
x305,0,0,1,0,0
x306,0,0,0,1,1
x308,0,0,1,0,0
x311,0,1,1,1,1
x312,0,0,0,0,0
x313,0,0,1,0,0
x314,0,0,0,0,0
x317,0,0,1,0,0
x318,0,0,0,0,0
x323,0,0,0,0,0
x324,0,1,0,1,1
x327,0,0,0,0,0
x328,0,1,0,1,1
x330,0,1,1,1,1
x335,0,0,0,1,1
x336,0,0,0,0,0
x337,0,0,0,0,0
x338,0,0,0,0,0
x339,0,1,1,1,1
x341,0,0,0,0,0
x342,0,1,0,1,1
x343,0,0,0,0,0
x347,0,0,0,0,0
x349,0,1,1,1,1
x353,0,1,0,1,1
x355,0,1,0,0,0
x358,0,1,0,1,1
x359,0,1,0,0,0
x360,0,0,0,0,0
x362,0,0,1,0,1
x363,0,0,0,1,0
x364,0,1,0,0,0
x365,0,0,0,1,1
x366,0,0,0,0,0
x370,0,1,0,1,1
x371,0,1,0,1,1
x372,0,1,1,0,0
x375,0,0,1,1,1
x382,0,0,0,1,0
x383,0,0,1,1,1
x384,0,0,0,1,0
x386,0,1,0,1,1
x387,0,1,1,1,1
x388,0,1,0,1,1
x389,0,0,0,1,1
x393,0,1,1,1,1
x394,0,0,1,0,0
x395,0,0,1,0,0
x396,0,0,0,0,0
x397,0,1,0,1,1
x400,0,0,0,0,0
x401,0,1,0,0,0
x404,0,1,0,1,1
x405,0,0,0,0,0
x407,0,0,0,0,0
x412,0,0,1,0,0
x414,0,0,0,0,0
x417,0,0,0,0,0
x419,0,0,0,1,0
x420,0,0,0,0,0
x423,0,1,1,1,1
x428,0,1,1,1,1
x429,0,1,0,1,1
x430,0,0,0,1,0
x431,0,0,0,0,0
x435,0,1,0,1,1
x437,0,0,0,1,1
x440,0,1,0,1,1
x442,0,1,0,0,0
x444,0,0,0,0,0
x446,0,0,0,0,0
x448,0,0,0,0,0
x453,0,0,0,0,0
x454,0,1,1,0,1
x455,0,1,1,1,1
x456,0,1,0,1,1
x458,0,0,0,0,0
x460,0,0,0,0,0
x469,0,0,0,0,0
x470,0,0,0,0,0
x474,0,1,0,1,1
x476,0,1,0,0,1
x477,0,1,1,1,1
x479,0,1,0,0,0
x480,0,0,0,0,0
x482,0,1,1,1,1
x486,0,1,0,1,1
x488,0,0,0,0,0
x489,0,1,0,1,1
x492,0,0,0,0,0
x494,0,1,0,1,1
x497,0,1,0,1,1
x498,0,1,0,1,1
x499,0,0,1,0,0
x504,0,0,0,0,0
x505,0,1,0,1,1
x506,0,1,0,1,1
x508,0,1,1,1,1
x509,0,0,0,0,0
x510,0,0,0,0,0
x511,0,1,0,1,1
x1,1,0,0,0,0
x2,1,0,0,0,0
x3,1,1,0,0,1
x5,1,1,0,1,1
x6,1,1,0,0,0
x9,1,1,0,0,0
x12,1,1,0,1,1
x14,1,0,1,1,0
x17,1,1,0,0,0
x18,1,0,0,0,0
x22,1,1,0,0,0
x23,1,1,0,0,1
x24,1,1,1,1,1
x30,1,1,0,0,0
x31,1,1,0,0,0
x32,1,1,0,1,1
x33,1,0,1,0,0
x36,1,1,1,1,1
x38,1,1,0,1,1
x40,1,0,0,0,0
x41,1,0,0,0,0
x42,1,0,0,1,1
x45,1,1,1,1,1
x48,1,1,0,1,1
x51,1,1,0,0,0
x52,1,1,1,1,1
x54,1,1,0,0,0
x58,1,1,1,1,1
x59,1,1,0,1,1
x60,1,0,1,1,1
x63,1,1,1,1,1
x64,1,0,1,1,0
x65,1,1,1,1,1
x69,1,1,0,0,0
x70,1,1,1,1,1
x71,1,0,1,0,0
x73,1,0,1,0,0
x74,1,0,0,0,0
x75,1,0,1,0,0
x78,1,0,1,1,1
x82,1,0,0,0,0
x83,1,1,1,0,0
x86,1,1,1,1,1
x87,1,0,0,0,0
x89,1,1,1,1,1
x90,1,0,0,0,0
x93,1,0,1,1,1
x94,1,0,1,1,1
x95,1,0,0,1,0
x97,1,0,0,1,1
x98,1,0,1,0,0
x99,1,1,1,1,1
x110,1,0,1,0,0
x111,1,1,0,0,0
x112,1,1,1,1,1
x115,1,1,1,1,1
x118,1,0,0,0,0
x121,1,1,1,1,1
x123,1,1,0,1,1
x131,1,1,1,1,1
x133,1,1,1,0,0
x135,1,0,0,1,1
x138,1,0,1,0,0
x139,1,0,0,1,1
x144,1,0,0,1,0
x147,1,1,1,1,1
x149,1,1,0,1,1
x151,1,0,1,1,1
x152,1,0,0,0,0
x153,1,0,0,0,0
x154,1,1,0,1,1
x155,1,0,0,0,0
x156,1,1,1,1,1
x158,1,1,1,1,1
x161,1,1,0,1,1
x162,1,0,0,0,0
x165,1,0,1,0,0
x166,1,1,1,1,1
x169,1,1,1,1,1
x170,1,0,1,1,1
x173,1,1,1,1,1
x174,1,1,0,1,1
x178,1,1,0,0,1
x179,1,1,1,1,1
x180,1,0,1,0,0
x181,1,1,0,1,1
x182,1,1,1,0,0
x183,1,1,1,1,1
x190,1,0,0,0,0
x191,1,1,1,1,1
x192,1,0,1,0,0
x194,1,1,1,1,1
x199,1,1,1,1,1
x202,1,0,1,0,0
x204,1,1,1,1,1
x205,1,0,0,1,0
x206,1,1,1,1,1
x208,1,1,0,1,1
x210,1,1,1,1,1
x218,1,1,1,1,1
x220,1,1,1,1,1
x221,1,1,0,1,1
x224,1,0,0,0,0
x226,1,1,0,1,1
x230,1,1,1,1,1
x231,1,1,1,1,1
x232,1,1,0,1,1
x234,1,1,1,0,0
x236,1,0,0,0,0
x237,1,1,0,0,0
x240,1,0,1,0,0
x241,1,1,1,1,1
x245,1,1,1,1,1
x247,1,1,0,1,1
x248,1,1,1,1,1
x249,1,0,0,0,0
x252,1,0,1,0,0
x256,1,0,1,1,1
x257,1,1,1,1,1
x259,1,0,0,0,0
x261,1,0,1,0,0
x263,1,1,1,1,1
x267,1,0,1,0,0
x268,1,0,1,0,0
x269,1,0,1,0,0
x270,1,1,1,1,1
x271,1,1,0,0,1
x273,1,1,1,0,0
x274,1,1,1,1,1
x275,1,1,1,0,0
x278,1,0,0,0,0
x279,1,1,0,0,0
x280,1,1,1,1,1
x281,1,1,0,1,1
x282,1,1,1,1,1
x285,1,1,1,1,1
x287,1,1,1,1,1
x289,1,0,1,0,0
x292,1,1,1,1,1
x293,1,0,0,0,0
x295,1,1,0,1,1
x298,1,1,1,1,1
x299,1,1,1,1,1
x300,1,1,1,1,1
x301,1,0,1,0,0
x302,1,1,1,1,1
x304,1,1,1,1,1
x307,1,1,1,1,1
x309,1,0,1,0,0
x310,1,0,1,1,1
x315,1,1,1,1,1
x316,1,1,1,1,1
x319,1,1,1,1,1
x320,1,1,0,0,1
x321,1,1,1,0,0
x322,1,1,0,1,1
x325,1,1,1,1,1
x326,1,0,1,0,0
x329,1,1,1,0,1
x331,1,0,1,0,0
x332,1,1,0,0,0
x333,1,0,1,1,1
x334,1,1,1,1,1
x340,1,1,1,1,1
x344,1,0,1,1,0
x345,1,0,0,1,0
x346,1,0,1,0,0
x348,1,0,1,0,0
x350,1,1,1,1,1
x351,1,1,1,1,1
x352,1,0,1,0,0
x354,1,1,1,1,1
x356,1,1,0,0,1
x357,1,1,1,1,1
x361,1,0,0,1,0
x367,1,0,1,0,0
x368,1,1,0,1,1
x369,1,1,1,0,0
x373,1,1,1,1,1
x374,1,0,1,0,0
x376,1,0,0,1,0
x377,1,0,1,0,0
x378,1,1,0,1,1
x379,1,0,1,0,0
x380,1,1,1,1,1
x381,1,0,1,1,1
x385,1,0,1,0,0
x390,1,0,1,0,0
x391,1,0,1,0,0
x392,1,1,1,1,1
x398,1,1,1,0,1
x399,1,0,1,0,0
x402,1,1,1,1,1
x403,1,1,1,1,1
x406,1,0,1,1,1
x408,1,1,1,0,1
x409,1,0,1,0,0
x410,1,1,1,1,1
x411,1,0,1,1,0
x413,1,1,1,0,1
x415,1,0,1,0,0
x416,1,1,1,1,1
x418,1,1,1,1,1
x421,1,1,1,0,1
x422,1,1,0,0,1
x424,1,0,1,1,1
x425,1,1,1,1,1
x426,1,0,1,1,0
x427,1,1,1,1,1
x432,1,0,1,0,0
x433,1,0,0,0,0
x434,1,0,1,0,0
x436,1,0,1,0,0
x438,1,0,0,0,0
x439,1,1,1,0,1
x441,1,1,0,0,0
x443,1,1,1,1,1
x445,1,0,0,0,0
x447,1,1,1,1,1
x449,1,1,0,0,0
x450,1,1,1,1,1
x451,1,1,0,1,1
x452,1,0,1,0,0
x457,1,1,1,1,1
x459,1,1,1,1,1
x461,1,1,1,1,1
x462,1,1,1,1,1
x463,1,1,1,1,1
x464,1,0,1,1,1
x465,1,1,1,1,1
x466,1,1,1,1,1
x467,1,1,0,1,1
x468,1,1,0,0,0
x471,1,1,0,1,1
x472,1,1,1,1,1
x473,1,0,1,0,0
x475,1,1,1,1,1
x478,1,1,1,1,1
x481,1,1,1,1,1
x483,1,0,0,1,1
x484,1,1,0,1,1
x485,1,1,1,1,1
x487,1,0,1,1,0
x490,1,0,1,1,1
x491,1,0,1,0,0
x493,1,1,1,1,1
x495,1,1,1,1,1
x496,1,1,0,1,1
x500,1,0,1,1,1
x501,1,0,0,1,1
x502,1,0,1,1,1
x503,1,1,0,1,1
x507,1,1,1,1,1
