,fp1,fp2,fp3,t1,init
x1,0,0,0,0,0
x2,0,0,1,0,0
x3,0,1,1,0,0
x4,0,1,0,0,0
x10,0,1,0,0,0
x12,0,1,1,0,0
x13,0,1,1,0,0
x14,0,0,0,1,1
x17,0,0,0,1,1
x20,0,1,1,1,0
x21,0,0,0,0,0
x22,0,1,1,0,1
x23,0,1,0,1,1
x24,0,0,1,0,0
x27,0,1,1,1,1
x33,0,0,0,0,1
x37,0,1,0,1,0
x40,0,1,1,0,1
x41,0,1,1,1,0
x42,0,1,1,0,0
x43,0,0,0,0,1
x46,0,0,0,0,0
x47,0,0,0,1,1
x48,0,1,0,1,1
x49,0,1,0,1,1
x52,0,0,0,1,0
x53,0,1,1,0,0
x54,0,1,0,1,0
x55,0,1,1,0,1
x57,0,0,0,0,0
x58,0,0,0,0,0
x59,0,1,0,1,1
x61,0,1,0,0,0
x62,0,1,1,0,0
x64,0,0,0,1,1
x66,0,1,1,1,0
x67,0,0,0,0,0
x70,0,0,0,0,1
x74,0,0,0,0,1
x76,0,1,1,1,1
x77,0,1,0,0,1
x81,0,0,0,1,0
x84,0,0,0,1,1
x88,0,0,0,0,0
x89,0,1,1,0,0
x90,0,0,0,0,1
x91,0,0,0,0,0
x92,0,0,0,1,1
x94,0,1,1,0,0
x95,0,1,0,1,0
x96,0,1,1,0,0
x100,0,1,1,0,1
x101,0,0,0,0,0
x104,0,0,0,0,0
x105,0,0,0,1,1
x106,0,1,1,0,0
x108,0,0,0,0,1
x109,0,1,0,1,1
x110,0,1,1,1,0
x114,0,1,1,1,1
x115,0,1,1,0,0
x117,0,1,0,1,1
x122,0,0,0,1,1
x126,0,1,1,1,1
x128,0,1,1,1,0
x130,0,1,1,0,1
x132,0,0,0,0,1
x134,0,1,1,1,1
x136,0,0,1,1,0
x137,0,0,0,0,1
x141,0,1,1,0,1
x148,0,0,0,1,1
x150,0,1,1,0,1
x151,0,0,0,0,1
x152,0,1,0,1,1
x154,0,1,1,0,0
x157,0,0,0,1,1
x158,0,0,0,1,1
x159,0,1,1,1,0
x164,0,0,0,0,0
x165,0,1,1,1,1
x167,0,0,0,1,1
x168,0,1,0,1,0
x170,0,1,1,1,1
x171,0,1,1,1,0
x173,0,0,0,1,1
x174,0,1,0,1,1
x176,0,1,1,1,1
x177,0,0,0,0,0
x179,0,0,0,0,1
x188,0,1,1,0,0
x189,0,1,1,0,0
x195,0,0,0,1,1
x196,0,1,1,0,0
x197,0,1,1,0,0
x199,0,1,1,0,0
x200,0,1,1,1,1
x201,0,0,0,0,1
x203,0,1,1,1,1
x205,0,0,0,1,0
x206,0,1,1,0,0
x210,0,1,1,0,0
x211,0,0,0,0,0
x212,0,1,1,0,1
x216,0,1,1,0,1
x218,0,0,0,1,0
x220,0,0,0,0,0
x224,0,0,0,1,1
x225,0,0,0,0,0
x227,0,0,0,1,1
x234,0,0,0,1,1
x238,0,0,0,1,0
x241,0,0,0,0,0
x242,0,0,0,0,0
x245,0,0,0,1,0
x247,0,0,0,1,1
x248,0,0,0,0,0
x249,0,1,0,1,1
x250,0,0,0,0,1
x251,0,0,0,1,1
x252,0,0,0,1,0
x253,0,1,1,1,1
x254,0,1,0,0,0
x255,0,0,0,0,1
x257,0,1,1,1,1
x265,0,0,0,1,0
x266,0,0,0,1,1
x267,0,0,0,1,1
x269,0,0,0,1,0
x276,0,0,0,1,1
x277,0,0,0,0,0
x278,0,0,0,1,1
x280,0,1,0,0,0
x281,0,1,0,0,1
x282,0,0,0,0,0
x288,0,0,0,1,0
x289,0,1,1,0,0
x292,0,1,0,0,1
x293,0,0,0,0,0
x298,0,0,1,1,1
x300,0,0,0,0,1
x303,0,0,0,0,0
x305,0,0,1,0,1
x306,0,0,0,0,0
x307,0,1,1,1,0
x308,0,0,0,1,0
x309,0,0,0,0,0
x310,0,0,0,1,0
x312,0,1,1,0,0
x313,0,0,0,0,1
x314,0,0,0,0,0
x315,0,0,0,0,0
x317,0,1,1,0,0
x318,0,0,0,1,0
x319,0,0,0,1,0
x320,0,1,0,0,0
x323,0,1,1,0,0
x324,0,1,0,0,0
x326,0,0,0,1,0
x332,0,1,0,1,0
x335,0,0,0,1,0
x338,0,0,0,1,1
x339,0,1,1,0,0
x340,0,1,1,0,1
x341,0,1,0,1,0
x342,0,0,0,0,0
x343,0,0,0,0,0
x345,0,0,0,1,0
x347,0,1,1,1,1
x348,0,0,0,0,0
x350,0,0,0,0,0
x351,0,0,0,0,0
x354,0,1,0,1,0
x355,0,0,0,0,0
x360,0,1,1,1,1
x361,0,1,1,1,1
x365,0,0,1,0,0
x366,0,1,1,0,0
x369,0,1,1,1,0
x375,0,1,0,0,0
x379,0,0,0,1,1
x380,0,0,0,1,0
x381,0,1,0,0,0
x386,0,0,0,1,0
x388,0,0,0,1,0
x392,0,0,0,0,0
x394,0,1,0,0,0
x395,0,0,0,0,1
x398,0,1,1,0,0
x400,0,0,0,1,1
x402,0,0,0,1,1
x404,0,0,0,0,0
x405,0,0,0,0,0
x406,0,0,0,1,0
x409,0,1,1,0,1
x415,0,1,1,0,1
x421,0,0,0,0,0
x422,0,0,0,0,0
x424,0,1,1,0,1
x428,0,1,0,1,1
x433,0,1,1,1,0
x434,0,0,0,1,1
x438,0,0,0,1,1
x439,0,1,1,0,1
x440,0,0,0,1,1
x442,0,0,0,0,0
x443,0,1,0,1,1
x444,0,0,0,0,0
x446,0,0,0,0,0
x447,0,1,1,1,1
x448,0,0,0,1,0
x449,0,1,1,1,1
x451,0,0,0,0,1
x453,0,1,1,0,0
x456,0,0,0,0,0
x457,0,0,0,1,1
x458,0,0,0,0,0
x462,0,1,0,0,1
x464,0,1,1,0,0
x466,0,0,0,0,0
x468,0,0,0,0,0
x470,0,1,0,1,1
x471,0,0,0,0,0
x472,0,0,0,1,1
x473,0,1,1,0,1
x474,0,0,0,0,0
x482,0,0,0,0,0
x483,0,0,0,1,1
x484,0,0,0,1,1
x485,0,1,0,0,1
x494,0,0,0,0,0
x496,0,0,0,1,1
x497,0,0,0,1,0
x504,0,1,1,0,0
x505,0,1,1,0,1
x506,0,0,0,0,0
x508,0,1,1,1,1
x0,1,0,0,0,0
x5,1,1,1,1,0
x6,1,0,0,0,1
x7,1,0,0,1,1
x8,1,1,1,1,0
x9,1,0,0,1,1
x11,1,1,1,1,1
x15,1,1,1,1,1
x16,1,0,0,0,1
x18,1,1,1,0,1
x19,1,1,1,0,0
x25,1,0,0,1,0
x26,1,0,1,0,0
x28,1,1,1,1,0
x29,1,1,1,1,0
x30,1,0,0,0,1
x31,1,0,0,0,0
x32,1,1,0,1,1
x34,1,1,1,1,1
x35,1,0,0,0,0
x36,1,0,0,1,0
x38,1,0,1,1,0
x39,1,1,1,0,0
x44,1,1,1,0,0
x45,1,0,0,0,1
x50,1,0,1,0,0
x51,1,1,1,0,0
x56,1,1,1,0,0
x60,1,0,0,0,0
x63,1,1,1,1,1
x65,1,0,0,0,1
x68,1,0,0,0,0
x69,1,0,1,0,1
x71,1,1,1,1,1
x72,1,0,0,1,1
x73,1,1,1,0,0
x75,1,1,1,1,0
x78,1,1,1,1,0
x79,1,1,1,0,1
x80,1,1,1,1,0
x82,1,1,1,1,1
x83,1,1,1,1,0
x85,1,1,1,0,1
x86,1,1,1,0,0
x87,1,1,1,1,0
x93,1,1,1,1,0
x97,1,0,0,0,0
x98,1,1,1,0,1
x99,1,1,1,1,0
x102,1,0,0,0,1
x103,1,1,1,0,0
x107,1,0,0,0,0
x111,1,0,0,0,0
x112,1,1,1,1,1
x113,1,1,1,0,0
x116,1,1,1,1,1
x118,1,0,1,0,0
x119,1,1,1,1,1
x120,1,1,1,0,0
x121,1,0,1,0,0
x123,1,1,1,0,0
x124,1,1,1,0,0
x125,1,1,1,1,0
x127,1,1,1,1,1
x129,1,1,1,0,0
x131,1,0,0,1,1
x133,1,1,1,1,0
x135,1,1,1,1,1
x138,1,0,0,0,0
x139,1,1,1,1,0
x140,1,0,0,0,0
x142,1,1,1,1,0
x143,1,1,1,1,1
x144,1,1,1,1,1
x145,1,1,1,0,0
x146,1,0,0,1,0
x147,1,1,0,0,0
x149,1,1,1,1,1
x153,1,1,1,1,1
x155,1,1,1,0,1
x156,1,0,0,1,1
x160,1,1,1,1,0
x161,1,1,0,1,1
x162,1,1,0,1,1
x163,1,0,0,1,1
x166,1,1,1,1,1
x169,1,1,1,1,1
x172,1,1,0,1,0
x175,1,0,0,1,0
x178,1,1,1,1,0
x180,1,0,0,1,0
x181,1,0,0,1,1
x182,1,1,1,0,1
x183,1,0,0,1,1
x184,1,1,1,0,0
x185,1,1,1,0,0
x186,1,0,0,1,1
x187,1,1,0,0,0
x190,1,1,0,0,1
x191,1,0,1,0,0
x192,1,1,1,0,0
x193,1,0,1,0,1
x194,1,1,1,1,0
x198,1,1,1,1,0
x202,1,1,1,1,1
x204,1,1,1,0,0
x207,1,1,1,1,0
x208,1,0,1,0,1
x209,1,1,1,0,0
x213,1,0,1,1,0
x214,1,1,1,0,0
x215,1,0,1,1,0
x217,1,1,1,1,1
x219,1,1,1,0,0
x221,1,1,1,1,1
x222,1,1,1,1,1
x223,1,1,1,1,0
x226,1,0,1,0,0
x228,1,1,1,0,0
x229,1,0,0,0,0
x230,1,1,1,1,1
x231,1,1,1,1,0
x232,1,0,1,1,0
x233,1,1,1,0,1
x235,1,1,1,1,1
x236,1,1,1,1,1
x237,1,1,1,0,0
x239,1,0,0,1,1
x240,1,1,1,1,1
x243,1,1,1,1,1
x244,1,0,1,0,1
x246,1,1,1,0,1
x256,1,0,1,0,1
x258,1,1,1,0,1
x259,1,0,0,0,0
x260,1,1,1,0,0
x261,1,1,1,1,1
x262,1,1,1,1,1
x263,1,0,1,0,1
x264,1,1,1,1,1
x268,1,1,1,0,1
x270,1,1,1,1,1
x271,1,0,0,1,1
x272,1,1,1,0,1
x273,1,1,1,0,1
x274,1,0,0,1,0
x275,1,0,0,1,1
x279,1,1,1,0,0
x283,1,0,0,0,1
x284,1,1,1,1,1
x285,1,0,1,0,1
x286,1,1,1,1,1
x287,1,1,1,1,1
x290,1,0,1,0,1
x291,1,1,0,0,0
x294,1,1,1,1,0
x295,1,1,1,0,0
x296,1,0,1,0,0
x297,1,0,0,1,1
x299,1,1,1,1,1
x301,1,1,1,0,1
x302,1,1,1,1,1
x304,1,1,1,0,0
x311,1,1,1,1,0
x316,1,0,0,1,0
x321,1,0,0,1,1
x322,1,1,1,0,1
x325,1,1,1,1,1
x327,1,0,1,0,0
x328,1,1,1,1,1
x329,1,0,1,1,0
x330,1,1,1,1,1
x331,1,1,1,1,1
x333,1,0,0,1,0
x334,1,1,1,1,1
x336,1,0,1,1,1
x337,1,1,1,0,0
x344,1,1,1,1,1
x346,1,1,1,1,1
x349,1,1,1,1,1
