,fp1,fp3,init,fp2,t1
x0,0,1,0,0,1
x2,0,1,1,0,1
x3,0,0,1,0,0
x4,0,0,1,0,0
x7,0,1,1,1,1
x9,0,0,0,0,1
x12,0,1,1,1,1
x13,0,0,1,0,0
x19,0,1,0,0,0
x25,0,0,0,0,0
x30,0,0,1,1,1
x34,0,0,1,0,0
x38,0,1,1,1,1
x39,0,0,0,0,1
x40,0,1,0,1,1
x41,0,0,0,0,0
x44,0,0,0,0,0
x45,0,1,1,0,1
x46,0,0,0,0,0
x47,0,0,0,0,0
x49,0,0,0,0,1
x51,0,0,0,0,1
x52,0,1,0,1,0
x58,0,0,0,0,0
x61,0,0,0,0,1
x65,0,0,1,0,0
x69,0,0,1,0,1
x71,0,0,1,0,0
x73,0,0,1,0,0
x74,0,1,1,0,0
x76,0,0,0,0,0
x84,0,0,0,0,0
x85,0,0,0,0,0
x86,0,0,0,0,0
x87,0,1,1,0,1
x89,0,1,0,1,0
x91,0,1,0,1,1
x93,0,1,0,1,0
x94,0,0,1,0,0
x96,0,0,0,0,1
x98,0,0,1,0,0
x99,0,0,0,0,0
x100,0,0,1,0,1
x102,0,1,0,1,0
x104,0,0,0,0,0
x105,0,0,0,0,0
x106,0,1,1,0,1
x108,0,0,0,0,0
x114,0,1,1,1,1
x115,0,0,1,0,1
x117,0,0,1,0,1
x118,0,0,0,0,0
x122,0,0,1,0,0
x123,0,0,1,0,0
x126,0,0,0,0,0
x133,0,0,0,0,1
x134,0,1,0,0,1
x135,0,0,0,0,1
x136,0,0,0,0,0
x139,0,0,0,0,0
x144,0,1,1,0,1
x146,0,1,0,1,1
x148,0,0,0,0,0
x149,0,0,0,0,0
x150,0,0,0,0,0
x151,0,1,0,1,0
x152,0,1,0,0,0
x154,0,0,1,0,1
x158,0,1,1,1,1
x159,0,0,0,0,1
x161,0,1,0,1,0
x162,0,1,1,1,1
x165,0,0,0,0,1
x166,0,0,0,0,1
x167,0,0,1,0,1
x168,0,0,0,0,0
x169,0,0,0,0,1
x171,0,0,0,0,1
x172,0,0,1,0,1
x176,0,0,0,0,0
x184,0,0,1,0,0
x185,0,1,1,0,1
x187,0,0,1,0,1
x188,0,0,0,0,0
x190,0,0,0,0,0
x191,0,0,1,0,1
x192,0,0,1,0,1
x193,0,1,1,1,1
x194,0,0,0,0,0
x197,0,0,1,0,1
x202,0,0,0,0,0
x204,0,1,1,0,1
x205,0,0,0,0,0
x207,0,0,0,0,0
x209,0,0,1,0,1
x210,0,0,1,0,1
x212,0,0,0,0,0
x214,0,0,1,0,0
x222,0,0,0,0,0
x223,0,1,1,0,1
x224,0,1,1,1,1
x225,0,0,0,0,0
x226,0,0,1,0,0
x230,0,0,0,0,0
x231,0,0,1,0,1
x237,0,0,0,0,0
x238,0,1,0,0,0
x239,0,0,0,0,0
x241,0,0,0,0,0
x242,0,0,0,0,0
x247,0,0,0,0,1
x249,0,0,0,0,0
x253,0,0,0,0,0
x258,0,0,1,0,1
x259,0,0,0,0,0
x265,0,0,0,0,0
x267,0,1,1,1,0
x268,0,0,1,0,1
x272,0,1,0,0,0
x273,0,0,0,0,0
x274,0,0,0,0,0
x278,0,0,0,0,1
x280,0,0,0,0,1
x281,0,0,0,0,1
x282,0,0,0,0,0
x283,0,0,0,0,1
x284,0,0,0,0,0
x286,0,0,0,0,0
x287,0,1,0,0,0
x288,0,1,1,1,0
x290,0,0,0,0,1
x292,0,0,1,0,0
x293,0,0,0,0,0
x295,0,0,1,0,1
x300,0,1,1,1,1
x301,0,0,0,0,0
x305,0,0,0,0,0
x306,0,0,1,0,1
x308,0,0,0,0,0
x310,0,1,0,1,0
x312,0,0,1,0,1
x314,0,0,0,0,0
x317,0,0,1,0,1
x319,0,0,0,0,0
x320,0,0,0,0,0
x321,0,0,1,0,1
x322,0,0,1,0,0
x326,0,0,0,0,0
x330,0,0,0,0,0
x332,0,0,1,0,0
x333,0,0,1,0,1
x334,0,0,0,0,0
x335,0,0,0,0,0
x336,0,1,1,0,1
x337,0,0,0,0,0
x338,0,0,0,0,0
x344,0,0,0,0,0
x345,0,0,1,0,1
x346,0,1,0,0,1
x347,0,0,0,0,1
x348,0,0,1,0,1
x350,0,0,1,0,0
x354,0,0,0,0,1
x356,0,0,1,0,1
x357,0,0,0,0,0
x359,0,0,0,0,0
x360,0,0,1,0,1
x361,0,0,1,0,0
x367,0,0,0,0,0
x369,0,1,1,1,1
x375,0,0,1,0,1
x377,0,0,1,0,0
x379,0,0,1,0,1
x380,0,1,1,0,0
x381,0,0,1,0,1
x382,0,1,0,0,0
x384,0,0,0,0,0
x386,0,0,0,0,0
x388,0,0,1,0,1
x390,0,0,0,0,0
x391,0,1,1,0,0
x393,0,1,1,0,1
x394,0,0,0,0,1
x396,0,1,1,1,1
x397,0,0,0,0,1
x398,0,0,1,0,1
x400,0,0,0,0,0
x404,0,0,0,0,0
x411,0,0,0,0,0
x415,0,0,0,0,1
x417,0,1,0,0,0
x421,0,0,1,0,1
x425,0,1,0,0,0
x426,0,1,0,0,0
x428,0,0,0,0,0
x430,0,0,1,0,1
x431,0,1,0,0,0
x432,0,1,0,1,0
x433,0,1,0,1,1
x435,0,0,0,0,0
x436,0,0,0,0,1
x437,0,0,0,0,0
x438,0,0,1,0,0
x439,0,0,1,0,1
x442,0,0,0,0,0
x443,0,0,1,0,1
x445,0,1,0,0,0
x446,0,0,1,0,1
x449,0,0,1,0,1
x450,0,1,0,0,0
x451,0,0,0,0,0
x452,0,1,1,1,1
x453,0,0,0,0,0
x456,0,0,0,0,1
x457,0,1,1,0,1
x459,0,0,0,0,0
x460,0,1,1,1,0
x461,0,1,1,1,1
x463,0,0,0,0,0
x472,0,0,0,0,0
x473,0,0,0,0,0
x480,0,1,0,0,0
x481,0,0,0,0,0
x482,0,0,0,0,1
x484,0,0,0,0,0
x485,0,1,0,1,0
x486,0,0,0,0,0
x489,0,0,0,0,0
x490,0,0,1,0,1
x494,0,0,0,0,1
x495,0,0,0,0,0
x500,0,1,0,0,1
x502,0,0,0,0,1
x503,0,0,1,0,1
x504,0,0,0,0,1
x505,0,1,0,0,0
x507,0,0,0,0,1
x510,0,1,0,0,0
x1,1,1,1,1,1
x5,1,1,1,1,1
x6,1,1,0,1,1
x8,1,1,0,1,0
x10,1,1,1,1,0
x11,1,0,1,0,0
x14,1,1,0,1,0
x15,1,1,0,1,1
x16,1,0,1,1,0
x17,1,0,1,1,0
x18,1,1,0,1,1
x20,1,1,1,1,1
x21,1,0,0,0,0
x22,1,1,0,1,1
x23,1,0,1,1,0
x24,1,1,0,1,1
x26,1,0,1,1,0
x27,1,1,0,1,0
x28,1,0,0,0,0
x29,1,0,1,1,0
x31,1,0,0,0,0
x32,1,0,1,0,0
x33,1,1,1,1,1
x35,1,1,0,1,0
x36,1,0,0,1,0
x37,1,0,1,1,1
x42,1,1,1,1,1
x43,1,1,0,1,0
x48,1,0,0,0,0
x50,1,0,1,1,1
x53,1,1,1,1,1
x54,1,0,1,0,0
x55,1,1,0,1,1
x56,1,0,1,0,0
x57,1,0,1,0,1
x59,1,1,0,1,1
x60,1,1,1,1,1
x62,1,1,0,1,1
x63,1,1,0,1,0
x64,1,1,0,1,0
x66,1,1,1,1,1
x67,1,0,0,0,1
x68,1,1,0,1,0
x70,1,1,0,1,0
x72,1,1,0,1,1
x75,1,1,1,1,1
x77,1,1,1,1,1
x78,1,1,0,1,1
x79,1,1,0,1,0
x80,1,1,1,1,1
x81,1,1,1,1,1
x82,1,0,0,0,0
x83,1,1,1,1,1
x88,1,1,1,1,1
x90,1,1,0,1,1
x92,1,1,1,1,1
x95,1,1,1,1,1
x97,1,1,1,1,1
x101,1,1,1,1,1
x103,1,0,1,0,0
x107,1,1,1,1,1
x109,1,0,0,1,0
x110,1,1,0,1,1
x111,1,1,1,1,0
x112,1,1,1,1,1
x113,1,1,1,1,1
x116,1,1,0,1,1
x119,1,1,0,1,0
x120,1,1,1,1,1
x121,1,1,0,1,1
x124,1,0,0,0,1
x125,1,0,1,0,1
x127,1,0,0,1,0
x128,1,1,0,1,0
x129,1,0,1,1,1
x130,1,1,0,1,1
x131,1,1,1,1,1
x132,1,1,1,1,0
x137,1,1,1,1,0
x138,1,1,0,1,1
x140,1,1,1,1,0
x141,1,1,0,1,0
x142,1,0,0,0,1
x143,1,0,1,0,1
x145,1,0,1,0,1
x147,1,1,0,1,0
x153,1,1,1,1,1
x155,1,1,1,1,0
x156,1,1,0,1,0
x157,1,1,0,1,0
x160,1,0,0,1,1
x163,1,1,1,1,0
x164,1,1,1,1,0
x170,1,1,0,1,0
x173,1,0,0,0,0
x174,1,1,0,1,0
x175,1,0,0,1,0
x177,1,1,0,1,1
x178,1,1,0,1,0
x179,1,1,1,1,0
x180,1,1,1,1,1
x181,1,1,0,1,1
x182,1,1,1,1,0
x183,1,0,1,1,1
x186,1,1,1,1,1
x189,1,1,0,1,0
x195,1,1,0,1,0
x196,1,1,1,1,0
x198,1,1,0,1,1
x199,1,1,0,1,0
x200,1,1,1,1,0
x201,1,1,1,1,0
x203,1,0,1,1,0
x206,1,1,1,1,1
x208,1,1,0,1,1
x211,1,1,0,1,0
x213,1,1,0,1,0
x215,1,1,1,1,1
x216,1,1,1,1,1
x217,1,1,1,1,1
x218,1,1,0,1,0
x219,1,1,0,1,1
x220,1,1,1,1,1
x221,1,1,0,1,1
x227,1,1,0,1,0
x228,1,1,1,1,1
x229,1,1,1,1,1
x232,1,1,1,1,1
x233,1,0,0,0,0
x234,1,0,1,1,1
x235,1,1,0,1,0
x236,1,1,1,1,1
x240,1,1,1,1,0
x243,1,0,0,1,1
x244,1,0,0,1,0
x245,1,1,1,1,1
x246,1,0,0,0,0
x248,1,1,1,1,1
x250,1,1,1,1,1
x251,1,1,1,1,1
x252,1,1,1,1,1
x254,1,1,1,1,0
x255,1,1,1,1,0
x256,1,1,1,1,1
x257,1,0,1,0,1
x260,1,1,1,1,0
x261,1,1,0,1,1
x262,1,1,0,1,0
x263,1,0,0,1,0
x264,1,0,1,1,1
x266,1,1,1,1,1
x269,1,1,0,1,0
x270,1,1,0,1,1
x271,1,1,1,1,1
x275,1,1,0,1,1
x276,1,1,1,1,0
x277,1,1,0,1,1
x279,1,1,1,1,1
x285,1,1,1,1,1
x289,1,1,0,1,0
x291,1,1,0,1,0
x294,1,0,1,1,0
x296,1,1,1,1,0
x297,1,1,0,1,0
x298,1,0,1,1,1
x299,1,1,1,1,1
x302,1,1,1,1,0
x303,1,1,1,1,1
x304,1,1,1,1,0
x307,1,1,1,1,1
x309,1,1,0,1,0
x311,1,1,0,1,1
x313,1,1,0,1,0
x315,1,1,0,1,1
x316,1,1,1,1,1
x318,1,0,1,1,1
x323,1,1,0,1,0
x324,1,1,0,1,1
x325,1,1,0,1,0
x327,1,1,0,1,0
x328,1,1,1,1,1
x329,1,0,0,1,1
x331,1,0,0,1,0
x339,1,1,0,1,1
x340,1,0,1,0,0
x341,1,1,0,1,0
x342,1,1,1,1,1
x343,1,1,1,1,1
x349,1,1,0,1,1
x351,1,1,1,1,1
x352,1,1,0,1,0
x353,1,1,1,1,0
x355,1,0,1,0,0
x358,1,1,0,1,1
x362,1,1,1,1,1
x363,1,0,1,1,1
x364,1,1,1,1,1
x365,1,1,1,1,0
x366,1,1,1,1,0
x368,1,1,1,1,1
x370,1,0,1,1,1
x371,1,1,1,1,1
x372,1,1,0,1,0
x373,1,1,0,1,1
x374,1,1,0,1,0
x376,1,1,0,1,0
x378,1,1,1,1,1
x383,1,1,1,1,0
x385,1,0,1,0,1
