,fp2,fp3,init,t1,fp1
x1,0,1,0,0,1
x2,0,0,0,0,0
x6,0,0,0,0,0
x8,0,0,0,0,0
x9,0,0,1,0,0
x13,0,0,1,0,0
x14,0,0,1,0,0
x15,0,0,1,0,0
x16,0,0,0,0,0
x20,0,1,0,1,1
x21,0,0,1,1,0
x22,0,0,1,1,0
x25,0,0,1,0,1
x27,0,0,1,0,0
x28,0,0,1,1,0
x29,0,0,0,0,0
x32,0,0,1,0,0
x33,0,0,0,0,1
x36,0,0,1,0,0
x37,0,0,0,0,0
x40,0,0,1,1,0
x41,0,0,0,1,0
x43,0,0,0,0,0
x44,0,0,0,1,0
x45,0,0,1,0,0
x48,0,0,1,0,1
x50,0,0,0,1,0
x53,0,0,0,0,0
x56,0,0,1,1,0
x58,0,0,0,0,0
x59,0,0,0,0,1
x63,0,0,0,1,0
x64,0,0,0,0,0
x71,0,0,0,1,0
x72,0,0,0,0,0
x73,0,0,0,0,0
x75,0,0,1,1,1
x77,0,0,1,0,1
x78,0,0,0,1,0
x79,0,0,0,1,0
x80,0,0,0,0,0
x82,0,0,1,1,0
x83,0,0,1,1,0
x85,0,0,0,0,1
x86,0,0,1,1,0
x89,0,0,0,0,0
x91,0,0,1,1,0
x92,0,0,0,0,0
x93,0,0,0,0,1
x94,0,0,1,0,0
x97,0,0,0,0,0
x103,0,0,1,1,1
x106,0,0,1,1,1
x107,0,0,0,1,1
x112,0,0,0,0,0
x113,0,0,1,1,0
x115,0,0,1,1,1
x117,0,0,1,1,0
x121,0,0,1,1,0
x122,0,0,0,1,1
x123,0,0,0,0,0
x124,0,0,1,1,0
x128,0,0,0,0,0
x129,0,0,0,1,0
x131,0,0,0,1,0
x133,0,0,1,1,1
x134,0,0,0,0,0
x140,0,0,1,0,0
x142,0,0,1,1,0
x145,0,0,1,1,0
x147,0,0,1,0,0
x149,0,0,1,1,1
x151,0,1,1,1,1
x152,0,0,0,0,0
x154,0,0,1,1,0
x159,0,0,0,0,1
x160,0,0,0,0,0
x161,0,0,0,1,0
x162,0,0,0,0,0
x163,0,0,0,0,0
x166,0,0,0,1,1
x169,0,0,0,0,1
x173,0,0,1,1,0
x176,0,0,1,0,0
x179,0,0,1,1,1
x182,0,0,0,0,0
x183,0,0,1,1,0
x184,0,1,0,1,1
x185,0,0,0,1,0
x186,0,0,1,0,0
x187,0,0,1,0,0
x190,0,0,0,1,0
x191,0,0,0,0,0
x194,0,0,0,0,1
x199,0,0,0,0,0
x201,0,0,0,0,1
x203,0,0,0,1,0
x207,0,0,0,1,0
x209,0,0,0,0,0
x210,0,0,0,0,0
x212,0,0,0,0,0
x214,0,0,1,1,0
x218,0,0,0,0,0
x219,0,0,0,0,1
x220,0,0,1,1,0
x222,0,0,0,0,0
x223,0,0,0,1,0
x224,0,0,0,0,0
x229,0,0,1,0,0
x230,0,0,0,1,0
x232,0,0,0,1,0
x236,0,0,1,1,0
x237,0,0,0,0,1
x239,0,0,0,0,1
x241,0,0,1,1,0
x243,0,0,0,1,0
x245,0,0,1,1,1
x247,0,0,0,0,0
x249,0,0,0,1,0
x250,0,0,1,0,0
x252,0,0,0,0,0
x254,0,0,1,1,0
x255,0,0,0,1,0
x256,0,1,1,1,1
x258,0,0,0,1,0
x262,0,0,0,0,0
x264,0,0,0,0,0
x265,0,0,1,1,0
x266,0,0,0,1,1
x268,0,0,0,0,0
x273,0,0,0,1,0
x275,0,0,1,0,1
x279,0,0,1,1,0
x281,0,0,0,0,0
x283,0,0,0,0,0
x285,0,0,0,0,0
x288,0,0,1,1,0
x289,0,0,0,0,1
x290,0,0,1,1,1
x295,0,0,0,1,0
x298,0,0,1,0,0
x302,0,0,0,1,0
x307,0,0,0,0,1
x310,0,0,0,0,0
x312,0,0,0,1,0
x313,0,0,0,1,0
x314,0,0,1,1,0
x316,0,1,0,0,1
x318,0,0,0,1,1
x320,0,0,0,0,0
x322,0,0,1,1,0
x323,0,1,1,1,1
x327,0,0,0,0,0
x329,0,0,0,0,0
x331,0,0,0,1,0
x333,0,0,0,0,0
x340,0,0,0,0,0
x341,0,0,1,0,0
x342,0,0,0,0,1
x343,0,0,0,1,0
x345,0,0,0,0,0
x346,0,0,0,1,0
x347,0,0,1,1,0
x348,0,0,0,0,1
x350,0,0,0,0,0
x355,0,0,1,0,0
x357,0,0,1,1,0
x359,0,0,0,0,0
x360,0,1,1,0,1
x362,0,0,1,0,0
x365,0,1,1,1,1
x368,0,0,0,0,1
x369,0,0,0,0,0
x371,0,0,0,1,0
x372,0,0,0,0,0
x375,0,0,1,0,0
x376,0,0,0,0,0
x381,0,0,0,0,0
x383,0,0,0,1,0
x385,0,0,0,1,0
x388,0,0,1,1,1
x389,0,0,0,0,0
x392,0,0,0,1,0
x395,0,0,0,0,0
x402,0,0,1,1,1
x403,0,0,0,0,0
x404,0,0,0,0,0
x405,0,0,0,1,1
x406,0,0,0,0,0
x407,0,0,0,0,0
x409,0,0,1,1,0
x411,0,0,1,1,0
x413,0,0,0,0,1
x415,0,0,0,0,0
x416,0,0,0,0,0
x418,0,0,1,1,0
x420,0,0,1,1,0
x421,0,0,0,0,0
x423,0,0,1,1,0
x424,0,0,1,1,0
x427,0,0,0,0,0
x429,0,0,1,1,1
x430,0,0,0,1,0
x431,0,0,0,0,0
x435,0,0,1,1,0
x437,0,0,0,0,0
x440,0,0,0,0,0
x442,0,0,0,1,0
x443,0,0,0,0,0
x445,0,0,0,0,1
x447,0,0,0,0,0
x454,0,0,0,1,0
x456,0,0,0,0,1
x460,0,1,1,1,1
x461,0,0,0,0,0
x463,0,0,0,0,0
x465,0,0,0,0,0
x467,0,0,1,1,0
x468,0,0,1,1,0
x469,0,0,1,1,1
x473,0,0,0,0,0
x474,0,0,0,0,0
x475,0,1,0,0,1
x476,0,0,1,1,0
x477,0,0,1,1,0
x483,0,0,0,0,0
x484,0,1,1,0,1
x487,0,0,0,1,0
x489,0,0,0,0,0
x490,0,0,1,0,0
x491,0,0,0,0,0
x493,0,0,0,1,0
x494,0,0,1,1,0
x497,0,1,0,1,1
x500,0,0,0,1,0
x502,0,1,1,1,1
x503,0,0,0,0,0
x505,0,1,1,0,1
x507,0,0,0,1,0
x508,0,0,0,0,0
x0,1,1,0,1,0
x3,1,0,1,0,0
x4,1,1,0,1,1
x5,1,1,0,1,1
x7,1,1,1,1,1
x10,1,1,1,0,1
x11,1,1,1,1,1
x12,1,1,0,1,1
x17,1,1,0,0,1
x18,1,1,1,1,1
x19,1,1,1,1,1
x23,1,1,1,1,1
x24,1,1,1,1,0
x26,1,1,1,1,1
x30,1,0,0,0,0
x31,1,1,0,1,1
x34,1,1,1,0,1
x35,1,1,0,1,1
x38,1,1,0,1,1
x39,1,1,0,0,1
x42,1,1,1,1,0
x46,1,1,0,1,0
x47,1,1,1,1,1
x49,1,0,1,0,0
x51,1,1,0,1,1
x52,1,1,0,1,1
x54,1,1,0,1,1
x55,1,1,1,0,1
x57,1,1,0,1,1
x60,1,1,0,0,1
x61,1,1,1,0,1
x62,1,1,0,0,1
x65,1,1,0,0,1
x66,1,1,0,0,0
x67,1,1,1,1,1
x68,1,1,0,0,0
x69,1,1,1,1,1
x70,1,1,1,1,1
x74,1,1,1,1,1
x76,1,1,0,1,1
x81,1,1,1,0,1
x84,1,1,1,1,1
x87,1,1,0,1,1
x88,1,1,0,0,1
x90,1,1,1,0,1
x95,1,1,1,0,1
x96,1,1,1,1,1
x98,1,1,0,1,1
x99,1,1,0,1,1
x100,1,1,1,1,0
x101,1,1,1,0,1
x102,1,1,0,0,1
x104,1,1,1,1,1
x105,1,1,1,1,1
x108,1,1,1,1,1
x109,1,1,1,1,0
x110,1,1,1,1,1
x111,1,1,0,0,0
x114,1,1,1,1,1
x116,1,1,1,1,1
x118,1,1,0,1,1
x119,1,1,0,0,0
x120,1,1,1,1,1
x125,1,1,0,1,1
x126,1,1,1,0,1
x127,1,1,1,1,0
x130,1,1,1,0,1
x132,1,0,0,1,0
x135,1,1,0,0,1
x136,1,1,1,1,1
x137,1,1,1,0,1
x138,1,1,1,0,1
x139,1,1,0,1,1
x141,1,1,0,0,1
x143,1,1,1,1,1
x144,1,1,1,1,0
x146,1,1,0,0,0
x148,1,1,0,0,0
x150,1,1,0,0,1
x153,1,1,1,1,1
x155,1,1,0,1,1
x156,1,1,1,1,1
x157,1,1,0,0,0
x158,1,1,0,1,1
x164,1,1,0,1,1
x165,1,1,1,1,1
x167,1,1,1,1,1
x168,1,1,0,1,1
x170,1,1,0,0,1
x171,1,1,1,1,1
x172,1,1,1,1,1
x174,1,1,0,0,1
x175,1,0,0,1,0
x177,1,1,1,1,1
x178,1,1,0,0,1
x180,1,1,1,0,1
x181,1,1,0,0,1
x188,1,1,1,0,1
x189,1,1,0,0,1
x192,1,1,1,0,1
x193,1,0,0,0,0
x195,1,1,1,0,1
x196,1,1,1,1,1
x197,1,1,0,1,1
x198,1,1,0,0,1
x200,1,1,1,1,1
x202,1,1,1,0,1
x204,1,1,0,1,1
x205,1,1,1,0,1
x206,1,1,1,1,1
x208,1,1,0,0,1
x211,1,1,1,1,0
x213,1,1,1,1,1
x215,1,1,1,1,1
x216,1,1,1,0,1
x217,1,1,1,0,1
x221,1,1,0,0,0
x225,1,1,0,1,1
x226,1,1,1,1,1
x227,1,1,0,1,1
x228,1,1,1,1,1
x231,1,1,1,0,1
x233,1,1,0,0,0
x234,1,1,1,1,0
x235,1,1,1,0,1
x238,1,1,1,1,1
x240,1,1,0,1,1
x242,1,1,0,0,1
x244,1,1,0,1,1
x246,1,1,1,0,1
x248,1,1,0,1,1
x251,1,1,1,0,1
x253,1,1,1,1,1
x257,1,1,1,1,1
x259,1,1,0,0,1
x260,1,1,1,1,1
x261,1,1,0,0,1
x263,1,1,1,0,1
x267,1,1,1,1,1
x269,1,1,1,1,1
x270,1,1,1,1,1
x271,1,1,0,0,1
x272,1,1,1,0,1
x274,1,1,0,0,1
x276,1,1,0,1,1
x277,1,1,0,0,1
x278,1,1,1,0,1
x280,1,1,1,1,1
x282,1,1,1,1,1
x284,1,1,1,0,1
x286,1,1,1,0,1
x287,1,0,0,0,0
x291,1,1,0,0,0
x292,1,1,0,1,1
x293,1,1,1,0,1
x294,1,1,1,0,1
x296,1,1,1,0,1
x297,1,1,1,0,1
x299,1,1,1,1,1
x300,1,1,1,1,1
x301,1,1,1,1,1
x303,1,1,0,0,1
x304,1,1,1,0,1
x305,1,1,0,0,1
x306,1,1,1,0,1
x308,1,1,1,0,1
x309,1,1,1,1,1
x311,1,1,1,1,1
x315,1,1,1,1,0
x317,1,1,0,1,1
x319,1,1,1,1,1
x321,1,1,0,0,1
x324,1,1,0,0,0
x325,1,1,1,1,0
x326,1,1,1,1,1
x328,1,1,1,0,1
x330,1,1,0,0,1
x332,1,1,1,1,1
x334,1,1,1,1,1
x335,1,1,0,0,0
x336,1,1,0,0,1
x337,1,1,1,1,1
x338,1,1,1,0,1
x339,1,1,0,1,1
x344,1,1,0,1,1
x349,1,1,1,0,1
x351,1,1,1,1,1
x352,1,1,1,1,1
x353,1,1,1,1,1
x354,1,1,0,1,1
x356,1,1,0,1,1
x358,1,1,0,0,1
x361,1,1,1,1,1
x363,1,1,0,0,1
x364,1,1,1,1,1
x366,1,1,1,0,1
x367,1,1,0,0,1
x370,1,1,1,1,1
x373,1,1,1,1,0
x374,1,1,0,0,1
x377,1,1,0,1,0
x378,1,1,0,1,1
x379,1,1,1,1,1
x380,1,1,1,1,1
x382,1,1,1,1,1
x384,1,1,1,1,1
x386,1,1,1,1,1
x387,1,1,1,1,1
x390,1,1,0,1,1
x391,1,1,0,1,1
x393,1,1,0,0,1
x394,1,1,0,0,1
x396,1,1,1,0,1
x397,1,1,1,0,1
x398,1,1,1,0,1
x399,1,1,0,0,1
x400,1,1,1,0,1
x401,1,1,1,1,0
x408,1,1,0,0,0
x410,1,1,1,0,0
x412,1,1,1,1,1
x414,1,1,1,1,1
x417,1,1,1,1,1
x419,1,1,1,1,1
x422,1,1,1,0,1
x425,1,1,1,1,1
x426,1,1,1,1,1
x428,1,1,1,1,1
x432,1,1,0,1,1
x433,1,1,0,1,1
x434,1,1,0,1,1
x436,1,1,1,1,1
x438,1,1,1,1,1
x439,1,1,1,1,1
x441,1,1,1,0,1
x444,1,1,1,1,1
x446,1,1,1,1,1
x448,1,1,1,1,1
x449,1,1,1,1,1
x450,1,1,1,1,1
x451,1,1,1,1,1
x452,1,1,0,0,1
x453,1,1,1,0,1
x455,1,1,0,0,1
x457,1,1,1,1,1
x458,1,1,1,1,1
x459,1,1,0,1,1
x462,1,1,1,1,0
x464,1,1,1,1,1
x466,1,1,0,0,1
x470,1,1,1,1,1
x471,1,1,1,0,1
x472,1,1,1,1,1
x478,1,1,0,1,1
x479,1,1,1,1,1
x480,1,1,1,1,1
x481,1,1,0,0,1
x482,1,1,0,0,1
x485,1,1,0,1,1
x486,1,1,0,0,1
x488,1,1,1,1,1
x492,1,1,0,1,1
x495,1,1,0,1,1
x496,1,1,1,0,0
x498,1,1,1,1,1
x499,1,1,0,1,1
x501,1,1,0,0,1
x504,1,1,1,1,1
x506,1,1,0,0,1
x509,1,1,1,1,1
x510,1,1,1,1,1
x511,1,1,1,1,1
