,t1,fp2,fp1,init,fp3
x1,0,1,0,1,1
x3,0,1,1,1,1
x6,0,0,1,0,0
x7,0,0,1,0,1
x10,0,1,0,0,0
x13,0,0,0,0,0
x14,0,1,0,1,0
x16,0,1,1,0,1
x17,0,1,1,0,1
x20,0,0,0,0,0
x21,0,0,1,1,0
x22,0,1,0,1,1
x25,0,1,0,0,1
x27,0,1,1,0,1
x28,0,0,1,1,1
x33,0,0,1,1,1
x37,0,1,0,0,0
x42,0,1,1,0,1
x44,0,0,1,0,0
x55,0,1,0,0,0
x60,0,0,0,0,0
x61,0,0,1,1,0
x62,0,0,1,1,1
x68,0,1,0,0,1
x69,0,1,1,0,1
x71,0,1,1,0,1
x72,0,0,1,1,0
x75,0,0,0,1,0
x77,0,0,1,0,0
x78,0,0,1,0,1
x80,0,0,0,0,0
x82,0,1,1,0,1
x83,0,1,0,1,1
x84,0,0,0,0,0
x86,0,1,1,0,1
x87,0,1,0,0,1
x92,0,0,0,0,0
x93,0,0,0,1,0
x99,0,0,1,0,0
x100,0,1,1,0,1
x101,0,0,0,0,0
x104,0,1,1,0,1
x106,0,1,1,0,1
x107,0,1,1,0,1
x109,0,1,1,1,1
x112,0,0,0,0,0
x113,0,1,0,0,1
x114,0,1,1,1,1
x116,0,1,1,0,1
x117,0,0,0,1,0
x118,0,1,0,0,1
x119,0,1,0,0,1
x121,0,1,1,0,1
x123,0,0,0,0,0
x127,0,0,0,0,0
x130,0,1,1,0,1
x131,0,1,0,0,1
x134,0,0,1,0,0
x138,0,0,0,0,0
x139,0,0,1,0,0
x140,0,0,1,1,0
x141,0,1,0,0,1
x149,0,0,1,0,1
x150,0,1,1,1,1
x151,0,0,0,1,0
x153,0,0,1,0,1
x154,0,0,1,1,0
x157,0,1,0,0,1
x158,0,1,0,1,1
x160,0,1,0,0,0
x162,0,1,1,1,1
x163,0,1,1,1,1
x164,0,1,0,1,1
x166,0,1,1,1,1
x168,0,0,1,0,0
x171,0,1,1,0,1
x172,0,0,0,0,0
x175,0,1,0,1,1
x179,0,0,0,1,0
x180,0,1,0,0,1
x181,0,0,0,0,0
x182,0,1,0,1,1
x184,0,1,0,0,0
x185,0,0,0,0,0
x186,0,1,0,0,1
x187,0,0,0,0,0
x196,0,1,1,0,1
x197,0,1,1,1,1
x198,0,1,0,1,1
x202,0,1,1,1,1
x204,0,1,1,0,1
x209,0,1,1,1,1
x212,0,0,0,0,0
x213,0,1,1,1,1
x215,0,0,1,0,0
x217,0,1,0,0,1
x218,0,0,0,0,0
x219,0,0,0,0,0
x222,0,1,1,0,1
x224,0,1,1,1,1
x225,0,0,1,0,1
x226,0,1,1,1,1
x227,0,1,0,0,0
x228,0,0,1,1,0
x229,0,0,1,1,1
x232,0,1,0,0,1
x238,0,0,1,0,1
