,fp3,fp2,init,t1,fp1
x0,0,0,0,0,1
x3,0,0,1,1,1
x4,0,0,0,0,1
x7,0,0,0,0,1
x9,0,0,1,1,1
x10,0,0,1,1,0
x13,0,0,1,1,0
x18,0,0,1,1,1
x20,0,0,0,1,1
x22,0,0,0,0,1
x24,0,0,1,0,1
x26,0,0,0,1,1
x27,0,0,1,1,1
x28,0,0,1,1,1
x30,0,1,1,1,0
x32,0,0,1,1,1
x34,0,0,1,1,1
x38,0,0,0,0,1
x42,0,0,0,1,1
x43,0,0,1,1,1
x44,0,0,1,0,1
x45,0,0,0,1,1
x46,0,0,0,0,1
x51,0,1,0,0,0
x52,0,0,1,1,1
x53,0,0,1,1,1
x56,0,1,0,0,0
x58,0,1,0,0,0
x1,1,0,0,1,1
x2,1,1,1,1,0
x5,1,1,0,0,0
x6,1,1,0,1,0
x8,1,1,0,0,0
x11,1,1,0,0,0
x12,1,1,0,0,1
x14,1,0,0,0,1
x15,1,1,0,0,0
x16,1,1,0,0,0
x17,1,1,0,0,0
x19,1,1,1,1,0
x21,1,0,1,0,1
x23,1,1,0,0,0
x25,1,1,0,0,0
x29,1,1,0,0,0
x31,1,1,1,1,1
x33,1,1,1,0,0
x35,1,1,0,0,0
x36,1,1,1,0,1
x37,1,1,0,0,0
x39,1,1,0,1,0
x40,1,1,0,0,0
x41,1,1,0,0,0
x47,1,1,0,1,0
x48,1,1,0,0,0
x49,1,1,0,0,0
x50,1,1,1,1,0
x54,1,1,0,0,0
x55,1,1,1,1,0
x57,1,1,0,0,0
x59,1,1,0,1,0
x60,1,1,1,1,1
x61,1,1,0,0,0
x62,1,1,0,0,0
x63,1,1,1,1,1
