name,marker_type,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,start_time
cegar_dense_128_3fp_mc16_seed_280399,marker1,1,53,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,2,53,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,1,53,synthesis,maxclause32,cegar3_nocanonic,0,0.24s,SAT,2,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,2,53,synthesis,maxclause32,cegar3_nocanonic,0,0.19s,SAT,1,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,3,53,synthesis,maxclause32,cegar3_nocanonic,0,14.17s,SAT,3,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker1,1,19,synthesis,maxclause32,cegar3_nocanonic,0,0.03s,UNSAT,0,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker,1,19,synthesis,maxclause32,cegar3_nocanonic,0,0.33s,SAT,3,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker1,2,19,synthesis,maxclause32,cegar3_nocanonic,0,0.03s,UNSAT,0,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker,2,19,synthesis,maxclause32,cegar3_nocanonic,0,0.38s,SAT,3,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker,3,19,synthesis,maxclause32,cegar3_nocanonic,124,0.29s,TO,4,0.00s
cegar_dense_128_3fp_mc8_seed_2814331,marker1,1,62,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,0,0.00s
cegar_dense_128_3fp_mc8_seed_2814331,marker1,2,62,synthesis,maxclause32,cegar3_nocanonic,0,0.02s,UNSAT,0,0.00s
cegar_dense_128_3fp_mc8_seed_2814331,marker,1,62,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,1,0.00s
cegar_dense_128_3fp_mc8_seed_2814331,marker,2,62,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,2,0.00s
cegar_dense_128_3fp_mc8_seed_2814331,marker,3,62,synthesis,maxclause32,cegar3_nocanonic,0,0.06s,UNSAT,1,0.00s
cegar_dense_192_3fp_mc16.toml_seed_1149526,marker1,1,36,synthesis,maxclause32,cegar3_nocanonic,0,0.04s,UNSAT,0,0.00s
cegar_dense_192_3fp_mc16.toml_seed_1149526,marker1,2,36,synthesis,maxclause32,cegar3_nocanonic,0,0.04s,UNSAT,0,0.00s
cegar_dense_192_3fp_mc16.toml_seed_1149526,marker,1,36,synthesis,maxclause32,cegar3_nocanonic,0,0.10s,UNSAT,1,0.00s
