name,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
L1_2012_Saadatpour_et_al,P3,k1,cegar1,0,0.03s,UNSAT,1,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k1,cegar2,0,0.04s,UNSAT,1,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k1,cegar3,0,0.04s,UNSAT,1,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k1,cegar4,0,0.03s,UNSAT,1,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k1,complementary,0,0.19s,UNSAT,0,,,0,0.01s
L1_2012_Saadatpour_et_al,P3,k1,naive,0,1.93s,UNSAT,0,,,0,0.01s
L1_2012_Saadatpour_et_al,P3,k2,cegar1,0,2.23s,UNSAT,18,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k2,cegar2,0,2.55s,UNSAT,18,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k2,cegar3,0,0.04s,UNSAT,1,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k2,cegar4,0,0.03s,UNSAT,1,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k2,complementary,0,3.81s,UNSAT,0,,,0,0.01s
L1_2012_Saadatpour_et_al,P3,k2,naive,0,113.49s,UNSAT,0,,,0,0.01s
L1_2012_Saadatpour_et_al,P3,k4,cegar1,124,591.79s,TO,156,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k4,cegar2,124,579.25s,TO,159,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k4,cegar3,0,3.40s,SAT,5,0.12s,2,83,0.00s
L1_2012_Saadatpour_et_al,P3,k4,cegar4,0,3.33s,SAT,6,0.09s,2,83,0.00s
L1_2012_Saadatpour_et_al,P3,k4,complementary,124,127.06s,TO,0,126.61s,0,2,0.01s
L1_2012_Saadatpour_et_al,P3,k4,naive,124,0.01s,TO,0,,,0,0.01s
L1_2012_Saadatpour_et_al,P3,k6,cegar1,124,592.07s,TO,159,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k6,cegar2,124,590.93s,TO,161,,,0,0.00s
L1_2012_Saadatpour_et_al,P3,k6,cegar3,124,500.74s,TO,20,0.18s,3,2227,0.00s
L1_2012_Saadatpour_et_al,P3,k6,cegar4,124,599.33s,TO,20,0.14s,3,2709,0.00s
L1_2012_Saadatpour_et_al,P3,k6,complementary,124,127.19s,TO,0,127.18s,0,2,0.01s
L1_2012_Saadatpour_et_al,P3,k6,naive,124,0.01s,TO,0,,,0,0.01s
L2_2012_Singh_et_al,P3,k1,cegar1,0,14.18s,SAT,41,0.37s,7,18,0.00s
L2_2012_Singh_et_al,P3,k1,cegar2,0,13.58s,SAT,41,0.42s,7,18,0.00s
L2_2012_Singh_et_al,P3,k1,cegar3,0,0.45s,SAT,1,0.06s,1,18,0.00s
L2_2012_Singh_et_al,P3,k1,cegar4,0,0.40s,SAT,1,0.05s,1,18,0.00s
L2_2012_Singh_et_al,P3,k1,complementary,0,0.19s,SAT,0,0.19s,0,18,0.01s
L2_2012_Singh_et_al,P3,k1,naive,0,2.54s,SAT,0,0.18s,0,18,0.00s
L2_2012_Singh_et_al,P3,k2,cegar1,124,594.96s,TO,181,0.47s,8,8,0.00s
