name,marker_type,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
cegar_dense_128_3fp_mc16_seed_280399,marker1,1,53,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,1,53,P3,k2,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,1,53,P3,k4,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,1,53,P3,k6,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,2,53,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,2,53,P3,k2,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,2,53,P3,k4,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker1,2,53,P3,k6,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,1,53,P3,k1,cegar3,0,0.10s,UNSAT,2,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,1,53,P3,k2,cegar3,0,1.39s,SAT,2,0.16s,2,20,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,1,53,P3,k4,cegar3,0,1.40s,SAT,2,0.17s,2,20,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,1,53,P3,k6,cegar3,0,1.38s,SAT,2,0.17s,2,20,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,2,53,P3,k1,cegar3,0,0.10s,UNSAT,2,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,2,53,P3,k2,cegar3,0,0.16s,SAT,2,0.16s,2,1,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,2,53,P3,k4,cegar3,0,4.76s,SAT,2,0.16s,2,74,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,2,53,P3,k6,cegar3,0,4.76s,SAT,2,0.16s,2,74,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,3,53,P3,k1,cegar3,0,0.12s,UNSAT,2,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,3,53,P3,k2,cegar3,0,0.48s,SAT,2,0.18s,2,6,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,3,53,P3,k4,cegar3,0,4.10s,SAT,3,0.18s,2,62,0.00s
cegar_dense_128_3fp_mc16_seed_280399,marker,3,53,P3,k6,cegar3,0,4.37s,SAT,4,0.18s,2,62,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker1,1,19,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker1,1,19,P3,k2,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker1,1,19,P3,k4,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
cegar_dense_128_3fp_mc16_seed_45545,marker1,1,19,P3,k6,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
