name,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
47_InflammatoryBowelDisease,1,1,P3,k1,cegar3,0,0.26s,SAT,0,0.12s,0,3,0.00s
47_InflammatoryBowelDisease,1,1,P3,k1,cegar3,0,0.98s,SAT,0,0.12s,0,12,0.00s
47_InflammatoryBowelDisease,1,1,P3,k2,cegar3,0,2.33s,SAT,0,0.12s,0,29,0.00s
47_InflammatoryBowelDisease,1,1,P3,k2,cegar3,0,3.29s,SAT,0,0.12s,0,41,0.00s
47_InflammatoryBowelDisease,1,1,P3,k4,cegar3,0,144.58s,SAT,15,0.15s,0,613,0.00s
47_InflammatoryBowelDisease,1,1,P3,k4,cegar3,0,7.39s,SAT,1,0.12s,0,85,0.00s
47_InflammatoryBowelDisease,1,1,P3,k6,cegar3,0,1614.88s,SAT,34,0.12s,0,1630,0.00s
47_InflammatoryBowelDisease,1,1,P3,k6,cegar3,0,245.89s,SAT,16,0.13s,0,702,0.00s
47_InflammatoryBowelDisease,2,1,P3,k1,cegar3,0,0.27s,SAT,0,0.13s,0,3,0.00s
47_InflammatoryBowelDisease,2,1,P3,k1,cegar3,0,1.00s,SAT,0,0.12s,0,12,0.00s
47_InflammatoryBowelDisease,2,1,P3,k2,cegar3,0,2.22s,SAT,0,0.11s,0,29,0.00s
47_InflammatoryBowelDisease,2,1,P3,k2,cegar3,0,3.27s,SAT,0,0.12s,0,41,0.00s
47_InflammatoryBowelDisease,2,1,P3,k4,cegar3,0,140.24s,SAT,15,0.12s,0,613,0.00s
47_InflammatoryBowelDisease,2,1,P3,k4,cegar3,0,7.41s,SAT,1,0.11s,0,85,0.00s
47_InflammatoryBowelDisease,2,1,P3,k6,cegar3,0,1354.07s,SAT,34,0.13s,0,1630,0.00s
47_InflammatoryBowelDisease,2,1,P3,k6,cegar3,0,279.89s,SAT,16,0.12s,0,702,0.00s
61_TLGLSurvival,1,1,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
61_TLGLSurvival,1,1,P3,k2,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
61_TLGLSurvival,1,1,P3,k4,cegar3,0,0.31s,SAT,3,0.20s,2,2,0.00s
61_TLGLSurvival,1,1,P3,k6,cegar3,0,9.15s,SAT,9,0.21s,2,106,0.00s
61_TLGLSurvival,1,2,P3,k1,cegar3,0,0.56s,SAT,4,0.25s,2,5,0.00s
61_TLGLSurvival,1,2,P3,k2,cegar3,0,13.17s,SAT,12,0.23s,2,140,0.00s
61_TLGLSurvival,1,2,P3,k4,cegar3,0,330.62s,SAT,37,0.23s,2,667,0.00s
61_TLGLSurvival,1,2,P3,k6,cegar3,0,1158.12s,SAT,64,0.25s,2,1097,0.00s
61_TLGLSurvival,2,1,P3,k1,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
61_TLGLSurvival,2,1,P3,k2,cegar3,0,0.27s,SAT,2,0.18s,2,3,0.00s
61_TLGLSurvival,2,1,P3,k4,cegar3,0,6.12s,SAT,6,0.18s,2,95,0.00s
61_TLGLSurvival,2,1,P3,k6,cegar3,0,9.11s,SAT,7,0.12s,1,128,0.00s
61_TLGLSurvival,2,2,P3,k1,cegar3,0,0.02s,UNSAT,0,,,0,0.00s
61_TLGLSurvival,2,2,P3,k2,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
61_TLGLSurvival,2,2,P3,k4,cegar3,0,0.35s,SAT,3,0.30s,3,2,0.00s
61_TLGLSurvival,2,2,P3,k6,cegar3,0,11.65s,SAT,5,0.35s,4,186,0.00s
61_TLGLSurvival,3,1,P3,k1,cegar3,0,0.66s,SAT,5,0.19s,2,5,0.00s
61_TLGLSurvival,3,1,P3,k2,cegar3,0,10.32s,SAT,10,0.18s,2,140,0.00s
61_TLGLSurvival,3,1,P3,k4,cegar3,0,331.52s,SAT,39,0.21s,2,667,0.00s
61_TLGLSurvival,3,1,P3,k6,cegar3,0,1391.97s,SAT,61,0.22s,2,1097,0.00s
61_TLGLSurvival,3,2,P3,k1,cegar3,0,0.13s,UNSAT,1,,,0,0.00s
61_TLGLSurvival,3,2,P3,k2,cegar3,0,0.31s,UNSAT,3,,,0,0.00s
61_TLGLSurvival,3,2,P3,k4,cegar3,0,13.40s,SAT,6,0.35s,3,179,0.00s
61_TLGLSurvival,3,2,P3,k6,cegar3,0,38.60s,SAT,10,0.28s,2,432,0.00s
61_TLGLSurvival,4,1,P3,k1,cegar3,0,0.07s,SAT,0,0.07s,0,1,0.00s
61_TLGLSurvival,4,1,P3,k2,cegar3,0,0.07s,SAT,0,0.07s,0,1,0.00s
61_TLGLSurvival,4,1,P3,k4,cegar3,0,0.07s,SAT,0,0.07s,0,1,0.00s
61_TLGLSurvival,4,1,P3,k6,cegar3,0,0.07s,SAT,0,0.07s,0,1,0.00s
61_TLGLSurvival,4,2,P3,k1,cegar3,0,0.06s,UNSAT,1,,,0,0.00s
61_TLGLSurvival,4,2,P3,k2,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
61_TLGLSurvival,4,2,P3,k4,cegar3,0,0.53s,SAT,3,0.24s,3,6,0.00s
61_TLGLSurvival,4,2,P3,k6,cegar3,0,12.15s,SAT,7,0.26s,3,211,0.00s
