name,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,start_time
47_InflammatoryBowelDisease,1,1,synthesis,maxclause32,cegar3_nocanonic,0,0.79s,SAT,0,0.00s
47_InflammatoryBowelDisease,1,1,synthesis,maxclause32,cegar3_nocanonic,0,1.82s,SAT,1,0.00s
47_InflammatoryBowelDisease,2,1,synthesis,maxclause32,cegar3_nocanonic,0,0.73s,SAT,0,0.00s
47_InflammatoryBowelDisease,2,1,synthesis,maxclause32,cegar3_nocanonic,0,1.84s,SAT,1,0.00s
61_TLGLSurvival,1,1,synthesis,maxclause32,cegar3_nocanonic,0,0.29s,SAT,0,0.00s
61_TLGLSurvival,1,2,synthesis,maxclause32,cegar3_nocanonic,0,0.46s,SAT,1,0.00s
61_TLGLSurvival,2,1,synthesis,maxclause32,cegar3_nocanonic,0,0.25s,SAT,0,0.00s
61_TLGLSurvival,2,2,synthesis,maxclause32,cegar3_nocanonic,0,0.26s,SAT,0,0.00s
61_TLGLSurvival,3,1,synthesis,maxclause32,cegar3_nocanonic,0,0.25s,SAT,0,0.00s
61_TLGLSurvival,3,2,synthesis,maxclause32,cegar3_nocanonic,0,0.27s,SAT,0,0.00s
61_TLGLSurvival,4,1,synthesis,maxclause32,cegar3_nocanonic,0,0.44s,SAT,1,0.00s
61_TLGLSurvival,4,2,synthesis,maxclause32,cegar3_nocanonic,0,0.52s,SAT,1,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,100,3,synthesis,maxclause32,cegar3_nocanonic,0,3.79s,SAT,9,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,1,synthesis,maxclause32,cegar3_nocanonic,0,0.21s,SAT,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,10,3,synthesis,maxclause32,cegar3_nocanonic,0,22.94s,SAT,15,0.00s
